Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Acts of War '' by the Sandhurst historian Richard Holmes describes the sociology of battle , with each chapter covering a subject such as what it is like to endure artillery fire , alcohol and combat , why men desert , or what it is to be wounded .","Acts/act/NNS of/of/IN War/War/NNP ''/''/'' by/by/IN the/the/DT Sandhurst/Sandhurst/NNP historian/historian/NN Richard/Richard/NNP Holmes/Holmes/NNP describes/describe/VBZ the/the/DT sociology/sociology/NN of/of/IN battle/battle/NN ,/,/, with/with/IN each/each/DT chapter/chapter/NN covering/cover/VBG a/a/DT subject/subject/JJ such/such/JJ as/as/IN what/what/WP it/it/PRP is/be/VBZ like/like/IN to/to/TO endure/endure/VB artillery/artillery/NN fire/fire/NN ,/,/, alcohol/alcohol/NN and/and/CC combat/combat/NN ,/,/, why/why/WRB men/man/NNS desert/desert/NN ,/,/, or/or/CC what/what/WP it/it/PRP is/be/VBZ to/to/TO be/be/VB wounded/wound/VBN ././. ","ROOT (ROOT-0, describes-11) nsubj (describes-11, Acts-1) case (War-3, of-2) nmod:of (Acts-1, War-3) punct (War-3, ''-4) case (Holmes-10, by-5) det (Holmes-10, the-6) compound (Holmes-10, Sandhurst-7) compound (Holmes-10, historian-8) compound (Holmes-10, Richard-9) nmod:by (War-3, Holmes-10) det (sociology-13, the-12) dobj (describes-11, sociology-13) case (battle-15, of-14) nmod:of (sociology-13, battle-15) punct (describes-11, ,-16) case (chapter-19, with-17) det (chapter-19, each-18) nmod:with (describes-11, chapter-19) acl (chapter-19, covering-20) det (subject-22, a-21) dobj (covering-20, subject-22) mark (is-27, such-23) mwe (such-23, as-24) dobj (is-27, what-25) nsubj (is-27, it-26) advcl:such_as (covering-20, is-27) mark (endure-30, like-28) mark (endure-30, to-29) advcl:to (is-27, endure-30) compound (fire-32, artillery-31) dobj (endure-30, fire-32) punct (fire-32, ,-33) appos (fire-32, alcohol-34) cc (alcohol-34, and-35) appos (fire-32, combat-36) conj:and (alcohol-34, combat-36) punct (fire-32, ,-37) advmod (desert-40, why-38) dep (desert-40, men-39) acl:relcl (fire-32, desert-40) punct (endure-30, ,-41) cc (endure-30, or-42) dobj (is-45, what-43) nsubjpass:xsubj (wounded-48, what-43) nsubj (is-45, it-44) advcl:to (is-27, is-45) conj:or (endure-30, is-45) mark (wounded-48, to-46) auxpass (wounded-48, be-47) xcomp (is-45, wounded-48) punct (describes-11, .-49) ",artillery,31,"compound (fire-32, artillery-31) ","it is like to endure artillery fire , alcohol and combat",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['fire'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
I did not have to flop alongside a trail or wonder if an artillery shell would find me in an inadequate foxhole .,I/I/PRP did/do/VBD not/not/RB have/have/VB to/to/TO flop/flop/VB alongside/alongside/IN a/a/DT trail/trail/NN or/or/CC wonder/wonder/VB if/if/IN an/a/DT artillery/artillery/NN shell/shell/NN would/would/MD find/find/VB me/I/PRP in/in/IN an/a/DT inadequate/inadequate/JJ foxhole/foxhole/NN ././. ,"ROOT (ROOT-0, have-4) nsubj (have-4, I-1) nsubj:xsubj (flop-6, I-1) nsubj:xsubj (wonder-11, I-1) aux (have-4, did-2) neg (have-4, not-3) mark (flop-6, to-5) xcomp (have-4, flop-6) case (trail-9, alongside-7) det (trail-9, a-8) nmod:alongside (flop-6, trail-9) cc (flop-6, or-10) xcomp (have-4, wonder-11) conj:or (flop-6, wonder-11) mark (find-17, if-12) det (shell-15, an-13) compound (shell-15, artillery-14) nsubj (find-17, shell-15) aux (find-17, would-16) advcl:if (wonder-11, find-17) dobj (find-17, me-18) case (foxhole-22, in-19) det (foxhole-22, an-20) amod (foxhole-22, inadequate-21) nmod:in (find-17, foxhole-22) punct (have-4, .-23) ",artillery,14,"compound (shell-15, artillery-14) ",trail or wonder if an artillery shell would find me in,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['shell'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
On the way back I passed a few pieces of rusting artillery in front of municipal buildings .,On/on/IN the/the/DT way/way/NN back/back/RB I/I/PRP passed/pass/VBD a/a/DT few/few/JJ pieces/piece/NNS of/of/IN rusting/rusting/JJ artillery/artillery/NN in/in/IN front/front/NN of/of/IN municipal/municipal/JJ buildings/building/NNS ././. ,"ROOT (ROOT-0, passed-6) case (back-4, On-1) det (way-3, the-2) nmod:npmod (back-4, way-3) advcl:on (passed-6, back-4) nsubj (passed-6, I-5) det (pieces-9, a-7) amod (pieces-9, few-8) dobj (passed-6, pieces-9) case (artillery-12, of-10) amod (artillery-12, rusting-11) nmod:of (pieces-9, artillery-12) case (buildings-17, in-13) mwe (in-13, front-14) mwe (in-13, of-15) amod (buildings-17, municipal-16) nmod:in_front_of (passed-6, buildings-17) punct (passed-6, .-18) ",artillery,12,"case (artillery-12, of-10) amod (artillery-12, rusting-11) nmod:of (pieces-9, artillery-12) ",a few pieces of rusting artillery in front of municipal buildings,NN,[],,,,,[],[],[],,"[('of', 'pieces', 9)]",['of'],[],['pieces'],[],[],[],[],[],[],[],['rusting'],[0.015],[0.045],[0.035],[0.0075],[0.0375],[0.05],[0.198625],[0.0325],[0.035],[0.285],[0.19287500000000002],[0.04333333333333334],[0.022666666666666665],[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"One purchase negotiated in spring 1983 reportedly '' netted China $1.3 billion for J-6 ( F-6 ) fighters , T-59 tanks , 130 mm artillery and light arms to be delivered over a three year period . ''","One/one/CD purchase/purchase/NN negotiated/negotiate/VBN in/in/IN spring/spring/NN 1983/1983/CD reportedly/reportedly/RB ''/''/'' netted/net/VBD China/China/NNP $/$/$ 1.3/1.3/CD billion/billion/CD for/for/IN J-6/j-6/NN -LRB-/-lrb-/-LRB- F-6/f-6/NN -RRB-/-rrb-/-RRB- fighters/fighter/NNS ,/,/, T-59/t-59/JJ tanks/tank/NNS ,/,/, 130/130/CD mm/mm/NN artillery/artillery/NN and/and/CC light/light/JJ arms/arm/NNS to/to/TO be/be/VB delivered/deliver/VBN over/over/IN a/a/DT three/three/CD year/year/NN period/period/NN ././. ''/''/'' ","ROOT (ROOT-0, netted-9) nummod (purchase-2, One-1) nsubj (netted-9, purchase-2) acl (purchase-2, negotiated-3) case (spring-5, in-4) nmod:in (negotiated-3, spring-5) nummod (spring-5, 1983-6) advmod (negotiated-3, reportedly-7) punct (negotiated-3, ''-8) iobj (netted-9, China-10) iobj (netted-9, $-11) compound (billion-13, 1.3-12) nummod ($-11, billion-13) case (J-6-15, for-14) nmod:for ($-11, J-6-15) punct (F-6-17, (-16) appos ($-11, F-6-17) punct (F-6-17, )-18) dobj (netted-9, fighters-19) punct (fighters-19, ,-20) amod (fighters-19, T-59-21) nmod:tmod (T-59-21, tanks-22) punct (tanks-22, ,-23) nummod (artillery-26, 130-24) compound (artillery-26, mm-25) nmod:tmod (T-59-21, artillery-26) conj:and (tanks-22, artillery-26) cc (tanks-22, and-27) amod (arms-29, light-28) nmod:tmod (T-59-21, arms-29) conj:and (tanks-22, arms-29) mark (delivered-32, to-30) auxpass (delivered-32, be-31) advcl:to (netted-9, delivered-32) case (period-37, over-33) det (period-37, a-34) nummod (period-37, three-35) compound (period-37, year-36) nmod:over (delivered-32, period-37) punct (netted-9, .-38) punct (netted-9, ''-39) ",artillery,26,"nummod (artillery-26, 130-24) compound (artillery-26, mm-25) nmod:tmod (T-59-21, artillery-26) conj:and (tanks-22, artillery-26) ","tanks , 130 mm artillery and light arms to be delivered",NN,[],,,,,[],[],[],,"[('tmod', 'T-59', 21)]",['tmod'],[],['T-59'],[],[],"[('and', 'tanks', 22)]",['and'],[tanks-22],[],['mm'],[],,,,,,,,,,,,,,[],[],['130'],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,1,unknown,130,other,digits,large
"24 Following the 9 March announcement , another U.S. official complained that China was '' still shipping heavy artillery and ammunition to Iran . ''","24/24/CD Following/follow/VBG the/the/DT 9/9/CD March/March/NNP announcement/announcement/NN ,/,/, another/another/DT U.S./U.S./NNP official/official/NN complained/complain/VBD that/that/IN China/China/NNP was/be/VBD ''/''/'' still/still/RB shipping/ship/VBG heavy/heavy/JJ artillery/artillery/NN and/and/CC ammunition/ammunition/NN to/to/TO Iran/Iran/NNP ././. ''/''/'' ","ROOT (ROOT-0, complained-11) nsubj (complained-11, 24-1) case (announcement-6, Following-2) det (announcement-6, the-3) nummod (announcement-6, 9-4) compound (announcement-6, March-5) nmod:following (24-1, announcement-6) punct (announcement-6, ,-7) det (official-10, another-8) compound (official-10, U.S.-9) appos (announcement-6, official-10) mark (Iran-23, that-12) nsubj (Iran-23, China-13) cop (Iran-23, was-14) punct (Iran-23, ''-15) advmod (shipping-17, still-16) ccomp (Iran-23, shipping-17) amod (artillery-19, heavy-18) dobj (shipping-17, artillery-19) cc (artillery-19, and-20) dobj (shipping-17, ammunition-21) conj:and (artillery-19, ammunition-21) case (Iran-23, to-22) ccomp (complained-11, Iran-23) punct (complained-11, .-24) punct (complained-11, ''-25) ",artillery,19,"amod (artillery-19, heavy-18) dobj (shipping-17, artillery-19) cc (artillery-19, and-20) conj:and (artillery-19, ammunition-21) ",was '' still shipping heavy artillery and ammunition to Iran .,NN,[],shipping-17,ship,VBG,object,['still'],[],[],,[],[],[],[],[],[],"[('and', 'ammunition', 21)]",['and'],[ammunition-21],[],[],['heavy'],[0.0],[0.45825595238095224],[0.005],[0.0],[0.005],[0.005],[0.007916666666666666],[0.01],[0.005],[0.01],[0.4904940476190481],[0.0025],[0.0008333333333333333],[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
Israel wanted to include all the hills and ranges from which Jewish Jerusalem was vulnerable to artillery shelling by the Jordanians .,Israel/Israel/NNP wanted/want/VBD to/to/TO include/include/VB all/all/PDT the/the/DT hills/hill/NNS and/and/CC ranges/range/NNS from/from/IN which/which/WDT Jewish/jewish/JJ Jerusalem/Jerusalem/NNP was/be/VBD vulnerable/vulnerable/JJ to/to/TO artillery/artillery/NN shelling/shell/VBG by/by/IN the/the/DT Jordanians/Jordanians/NNPS ././. ,"ROOT (ROOT-0, wanted-2) nsubj (wanted-2, Israel-1) nsubj:xsubj (include-4, Israel-1) mark (include-4, to-3) xcomp (wanted-2, include-4) dep (hills-7, all-5) det (hills-7, the-6) dobj (include-4, hills-7) cc (hills-7, and-8) dobj (include-4, ranges-9) conj:and (hills-7, ranges-9) mark (vulnerable-15, from-10) dobj (vulnerable-15, which-11) amod (Jerusalem-13, Jewish-12) nsubj (vulnerable-15, Jerusalem-13) cop (vulnerable-15, was-14) advcl:from (include-4, vulnerable-15) case (artillery-17, to-16) nmod:to (vulnerable-15, artillery-17) acl (artillery-17, shelling-18) case (Jordanians-21, by-19) det (Jordanians-21, the-20) nmod:by (shelling-18, Jordanians-21) punct (wanted-2, .-22) ",artillery,17,"case (artillery-17, to-16) nmod:to (vulnerable-15, artillery-17) acl (artillery-17, shelling-18) ",Jewish Jerusalem was vulnerable to artillery shelling by the Jordanians .,NN,[],,,,,[],[],[],,"[('to', 'vulnerable', 15)]",['to'],[],['vulnerable'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
Secretary of State Baker informed the alliance of President Bush 's decision to discontinue the development of a follow-on system for Lance and to dispense with the modernization of nuclear artillery grenades in Europe .,Secretary/Secretary/NNP of/of/IN State/State/NNP Baker/Baker/NNP informed/inform/VBD the/the/DT alliance/alliance/NN of/of/IN President/President/NNP Bush/Bush/NNP 's/'s/POS decision/decision/NN to/to/TO discontinue/discontinue/VB the/the/DT development/development/NN of/of/IN a/a/DT follow-on/follow-on/JJ system/system/NN for/for/IN Lance/Lance/NNP and/and/CC to/to/TO dispense/dispense/VB with/with/IN the/the/DT modernization/modernization/NN of/of/IN nuclear/nuclear/JJ artillery/artillery/NN grenades/grenade/NNS in/in/IN Europe/Europe/NNP ././. ,"ROOT (ROOT-0, informed-5) nsubj (informed-5, Secretary-1) case (Baker-4, of-2) compound (Baker-4, State-3) nmod:of (Secretary-1, Baker-4) det (alliance-7, the-6) dobj (informed-5, alliance-7) case (decision-12, of-8) compound (Bush-10, President-9) nmod:poss (decision-12, Bush-10) case (Bush-10, 's-11) nmod:of (alliance-7, decision-12) mark (discontinue-14, to-13) dep (decision-12, discontinue-14) det (development-16, the-15) dobj (discontinue-14, development-16) case (system-20, of-17) det (system-20, a-18) amod (system-20, follow-on-19) nmod:of (development-16, system-20) case (Lance-22, for-21) nmod:for (system-20, Lance-22) cc (discontinue-14, and-23) mark (dispense-25, to-24) dep (decision-12, dispense-25) conj:and (discontinue-14, dispense-25) case (modernization-28, with-26) det (modernization-28, the-27) nmod:with (dispense-25, modernization-28) case (grenades-32, of-29) amod (grenades-32, nuclear-30) compound (grenades-32, artillery-31) nmod:of (modernization-28, grenades-32) case (Europe-34, in-33) nmod:in (dispense-25, Europe-34) punct (informed-5, .-35) ",artillery,31,"compound (grenades-32, artillery-31) ",with the modernization of nuclear artillery grenades in Europe .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['grenades'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
Nuclear artillery ammunition must not be excluded from disarmament either .,Nuclear/nuclear/JJ artillery/artillery/NN ammunition/ammunition/NN must/must/MD not/not/RB be/be/VB excluded/exclude/VBN from/from/IN disarmament/disarmament/NN either/either/CC ././. ,"ROOT (ROOT-0, excluded-7) amod (ammunition-3, Nuclear-1) compound (ammunition-3, artillery-2) nsubjpass (excluded-7, ammunition-3) aux (excluded-7, must-4) neg (excluded-7, not-5) auxpass (excluded-7, be-6) case (disarmament-9, from-8) nmod:from (excluded-7, disarmament-9) advmod (excluded-7, either-10) punct (excluded-7, .-11) ",artillery,2,"compound (ammunition-3, artillery-2) ",Nuclear artillery ammunition must not be excluded,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['ammunition'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"In El Salvador , rebel-controlled areas are frequently napalmed , shelled with artillery , and hit with 500- and 750-pound bombs .","In/in/IN El/El/NNP Salvador/Salvador/NNP ,/,/, rebel-controlled/rebel-controlled/JJ areas/area/NNS are/be/VBP frequently/frequently/RB napalmed/napalm/VBN ,/,/, shelled/shell/VBN with/with/IN artillery/artillery/NN ,/,/, and/and/CC hit/hit/VBN with/with/IN 500/500/CD -/-/: and/and/CC 750-pound/750-pound/JJ bombs/bomb/NNS ././. ","ROOT (ROOT-0, napalmed-9) case (Salvador-3, In-1) compound (Salvador-3, El-2) nmod:in (napalmed-9, Salvador-3) punct (napalmed-9, ,-4) amod (areas-6, rebel-controlled-5) nsubjpass (napalmed-9, areas-6) nsubjpass (shelled-11, areas-6) nsubjpass (hit-16, areas-6) auxpass (napalmed-9, are-7) advmod (napalmed-9, frequently-8) punct (napalmed-9, ,-10) conj:and (napalmed-9, shelled-11) case (artillery-13, with-12) nmod:with (shelled-11, artillery-13) punct (napalmed-9, ,-14) cc (napalmed-9, and-15) conj:and (napalmed-9, hit-16) case (500-18, with-17) nmod:with (hit-16, 500-18) punct (500-18, --19) cc (500-18, and-20) amod (bombs-22, 750-pound-21) nmod:with (hit-16, bombs-22) conj:and (500-18, bombs-22) punct (napalmed-9, .-23) ",artillery,13,"case (artillery-13, with-12) nmod:with (shelled-11, artillery-13) ","frequently napalmed , shelled with artillery , and hit with 500-",NN,[],,,,,[],[],[],,"[('with', 'shelled', 11)]",['with'],[],['shelled'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['with'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"Training exercises , bombing and artillery practice , weapons testing , and refuse disposal affect many environments continuously , unlike actual war .","Training/train/VBG exercises/exercise/NNS ,/,/, bombing/bombing/NN and/and/CC artillery/artillery/NN practice/practice/NN ,/,/, weapons/weapon/NNS testing/testing/NN ,/,/, and/and/CC refuse/refuse/VBP disposal/disposal/NN affect/affect/VB many/many/JJ environments/environment/NNS continuously/continuously/RB ,/,/, unlike/unlike/IN actual/actual/JJ war/war/NN ././. ","ROOT (ROOT-0, Training-1) dobj (Training-1, exercises-2) punct (exercises-2, ,-3) compound (practice-7, bombing-4) cc (bombing-4, and-5) conj:and (bombing-4, artillery-6) compound (practice-7, artillery-6) appos (exercises-2, practice-7) punct (practice-7, ,-8) compound (testing-10, weapons-9) appos (practice-7, testing-10) punct (Training-1, ,-11) cc (Training-1, and-12) conj:and (Training-1, refuse-13) nsubj (affect-15, disposal-14) ccomp (refuse-13, affect-15) amod (environments-17, many-16) dobj (affect-15, environments-17) advmod (affect-15, continuously-18) punct (affect-15, ,-19) case (war-22, unlike-20) amod (war-22, actual-21) nmod:unlike (affect-15, war-22) punct (Training-1, .-23) ",artillery,6,"conj:and (bombing-4, artillery-6) compound (practice-7, artillery-6) ","Training exercises , bombing and artillery practice , weapons testing ,",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'bombing', 4)]",['and'],[bombing-4],['practice'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
