Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"In lakes , rivers , bays , and sounds and within 3 nautical miles of the shore , it is illegal to dump plastic , paper , rags , glass , metal , crockery , floating dunnage , or food .","In/in/IN lakes/lake/NNS ,/,/, rivers/river/NNS ,/,/, bays/bay/NNS ,/,/, and/and/CC sounds/sound/VBZ and/and/CC within/within/IN 3/3/CD nautical/nautical/JJ miles/mile/NNS of/of/IN the/the/DT shore/shore/NN ,/,/, it/it/PRP is/be/VBZ illegal/illegal/JJ to/to/TO dump/dump/VB plastic/plastic/NN ,/,/, paper/paper/NN ,/,/, rags/rag/NNS ,/,/, glass/glass/NN ,/,/, metal/metal/NN ,/,/, crockery/crockery/NN ,/,/, floating/float/VBG dunnage/dunnage/NN ,/,/, or/or/CC food/food/NN ././. ","ROOT (ROOT-0, illegal-21) case (lakes-2, In-1) nmod:in (illegal-21, lakes-2) punct (lakes-2, ,-3) conj:and (lakes-2, rivers-4) nmod:in (illegal-21, rivers-4) punct (lakes-2, ,-5) conj:and (lakes-2, bays-6) nmod:in (illegal-21, bays-6) punct (lakes-2, ,-7) cc (lakes-2, and-8) conj:and (lakes-2, sounds-9) nmod:in (illegal-21, sounds-9) cc (sounds-9, and-10) case (miles-14, within-11) nummod (miles-14, 3-12) amod (miles-14, nautical-13) conj:and (lakes-2, miles-14) conj:and (sounds-9, miles-14) case (shore-17, of-15) det (shore-17, the-16) nmod:of (miles-14, shore-17) punct (illegal-21, ,-18) nsubj (illegal-21, it-19) nsubj:xsubj (dump-23, it-19) cop (illegal-21, is-20) mark (dump-23, to-22) xcomp (illegal-21, dump-23) compound (crockery-34, plastic-24) punct (crockery-34, ,-25) dep (crockery-34, paper-26) punct (crockery-34, ,-27) dep (crockery-34, rags-28) punct (crockery-34, ,-29) dep (crockery-34, glass-30) punct (crockery-34, ,-31) dep (crockery-34, metal-32) punct (crockery-34, ,-33) dobj (dump-23, crockery-34) punct (crockery-34, ,-35) amod (dunnage-37, floating-36) dobj (dump-23, dunnage-37) conj:or (crockery-34, dunnage-37) punct (crockery-34, ,-38) cc (crockery-34, or-39) dobj (dump-23, food-40) conj:or (crockery-34, food-40) punct (illegal-21, .-41) ",crockery,34,"compound (crockery-34, plastic-24) punct (crockery-34, ,-25) dep (crockery-34, paper-26) punct (crockery-34, ,-27) dep (crockery-34, rags-28) punct (crockery-34, ,-29) dep (crockery-34, glass-30) punct (crockery-34, ,-31) dep (crockery-34, metal-32) punct (crockery-34, ,-33) dobj (dump-23, crockery-34) punct (crockery-34, ,-35) conj:or (crockery-34, dunnage-37) punct (crockery-34, ,-38) cc (crockery-34, or-39) conj:or (crockery-34, food-40) ",", glass , metal , crockery , floating dunnage , or",NN,[],dump-23,dump,VB,object,[],[],[],,[],[],[],[],[],[],"[('or', 'dunnage', 37), ('or', 'food', 40)]","['or', 'or']","[dunnage-37, food-40]",[],['plastic'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,"[2, True, False, 1, 0.5, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1998.txt_3.csv,0,0,0,0,unknown,,,,
"As in the description above , each shelf is filled with porcelain crockery .","As/as/IN in/in/IN the/the/DT description/description/NN above/above/IN ,/,/, each/each/DT shelf/shelf/NN is/be/VBZ filled/fill/VBN with/with/IN porcelain/porcelain/NN crockery/crockery/NN ././. ","ROOT (ROOT-0, filled-10) case (description-4, As-1) case (description-4, in-2) det (description-4, the-3) nmod:above (filled-10, description-4) case (description-4, above-5) punct (filled-10, ,-6) det (shelf-8, each-7) nsubjpass (filled-10, shelf-8) auxpass (filled-10, is-9) case (crockery-13, with-11) compound (crockery-13, porcelain-12) nmod:with (filled-10, crockery-13) punct (filled-10, .-14) ",crockery,13,"case (crockery-13, with-11) compound (crockery-13, porcelain-12) nmod:with (filled-10, crockery-13) ",shelf is filled with porcelain crockery .,NN,[],,,,,[],[],[],,"[('with', 'filled', 10)]",['with'],[],['filled'],[],[],[],[],[],[],['porcelain'],[],,,,,,,,,,,,,,[],[],[],['with'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2009.txt_2.csv,0,0,0,0,unknown,,,,
"When the screen door slapped shut they sat down at the bare wooden table against the wall and began to eat , sitting across from each other , chewing quietly and then listening and looking at each other and beginning to chew again , their brown heads and blue eyes almost identical above the crockery plates .","When/when/WRB the/the/DT screen/screen/NN door/door/NN slapped/slap/VBD shut/shut/VBN they/they/PRP sat/sit/VBD down/down/RP at/at/IN the/the/DT bare/bare/JJ wooden/wooden/JJ table/table/NN against/against/IN the/the/DT wall/wall/NN and/and/CC began/begin/VBD to/to/TO eat/eat/VB ,/,/, sitting/sit/VBG across/across/IN from/from/IN each/each/DT other/other/JJ ,/,/, chewing/chew/VBG quietly/quietly/RB and/and/CC then/then/RB listening/listen/VBG and/and/CC looking/look/VBG at/at/IN each/each/DT other/other/JJ and/and/CC beginning/begin/VBG to/to/TO chew/chew/VB again/again/RB ,/,/, their/they/PRP$ brown/brown/JJ heads/head/NNS and/and/CC blue/blue/JJ eyes/eye/NNS almost/almost/RB identical/identical/JJ above/above/IN the/the/DT crockery/crockery/NN plates/plate/NNS ././. ","ROOT (ROOT-0, sat-8) advmod (slapped-5, When-1) det (door-4, the-2) compound (door-4, screen-3) nsubj (slapped-5, door-4) advcl (sat-8, slapped-5) xcomp (slapped-5, shut-6) nsubj (sat-8, they-7) nsubj (began-19, they-7) nsubj:xsubj (eat-21, they-7) compound:prt (sat-8, down-9) case (table-14, at-10) det (table-14, the-11) amod (table-14, bare-12) amod (table-14, wooden-13) nmod:at (sat-8, table-14) case (wall-17, against-15) det (wall-17, the-16) nmod:against (table-14, wall-17) cc (sat-8, and-18) conj:and (sat-8, began-19) mark (eat-21, to-20) xcomp (began-19, eat-21) punct (eat-21, ,-22) ccomp (eat-21, sitting-23) case (other-27, across-24) mwe (across-24, from-25) det (other-27, each-26) nmod:across_from (sitting-23, other-27) punct (sitting-23, ,-28) ccomp (eat-21, chewing-29) conj:and (sitting-23, chewing-29) advmod (chewing-29, quietly-30) cc (chewing-29, and-31) advmod (listening-33, then-32) conj:and (sitting-23, listening-33) conj:and (chewing-29, listening-33) cc (listening-33, and-34) conj:and (chewing-29, looking-35) conj:and (listening-33, looking-35) case (other-38, at-36) det (other-38, each-37) nmod:at (listening-33, other-38) cc (sitting-23, and-39) ccomp (eat-21, beginning-40) conj:and (sitting-23, beginning-40) mark (chew-42, to-41) xcomp (beginning-40, chew-42) advmod (chew-42, again-43) punct (sat-8, ,-44) nmod:poss (heads-47, their-45) amod (heads-47, brown-46) dep (identical-52, heads-47) cc (heads-47, and-48) amod (eyes-50, blue-49) conj:and (heads-47, eyes-50) dep (identical-52, eyes-50) advmod (identical-52, almost-51) parataxis (sat-8, identical-52) case (plates-56, above-53) det (plates-56, the-54) compound (plates-56, crockery-55) nmod:above (identical-52, plates-56) punct (sat-8, .-57) ",crockery,55,"compound (plates-56, crockery-55) ",eyes almost identical above the crockery plates .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['plates'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_2.csv,0,0,0,0,unknown,,,,
We kept ours in a crockery jar .,We/we/PRP kept/keep/VBD ours/ours/PRP in/in/IN a/a/DT crockery/crockery/NN jar/jar/NN ././. ,"ROOT (ROOT-0, kept-2) nsubj (kept-2, We-1) dobj (kept-2, ours-3) case (jar-7, in-4) det (jar-7, a-5) compound (jar-7, crockery-6) nmod:in (kept-2, jar-7) punct (kept-2, .-8) ",crockery,6,"compound (jar-7, crockery-6) ",We kept ours in a crockery jar .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['jar'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_2.csv,0,0,0,0,unknown,,,,
"They sat at a sturdy table with high-backed chairs , ate mutton soup and fresh tortillas off colorful crockery and drank cinnamon-laced coffee , the best Cassidy had ever tasted .","They/they/PRP sat/sit/VBD at/at/IN a/a/DT sturdy/sturdy/JJ table/table/NN with/with/IN high-backed/high-backed/JJ chairs/chair/NNS ,/,/, ate/eat/VBD mutton/mutton/NN soup/soup/NN and/and/CC fresh/fresh/JJ tortillas/tortilla/NNS off/off/IN colorful/colorful/JJ crockery/crockery/NN and/and/CC drank/drink/VBD cinnamon-laced/cinnamon-laced/JJ coffee/coffee/NN ,/,/, the/the/DT best/best/JJS Cassidy/Cassidy/NNP had/have/VBD ever/ever/RB tasted/taste/VBN ././. ","ROOT (ROOT-0, sat-2) nsubj (sat-2, They-1) nsubj (ate-11, They-1) nsubj (drank-21, They-1) case (table-6, at-3) det (table-6, a-4) amod (table-6, sturdy-5) nmod:at (sat-2, table-6) case (chairs-9, with-7) amod (chairs-9, high-backed-8) nmod:with (sat-2, chairs-9) punct (sat-2, ,-10) conj:and (sat-2, ate-11) compound (soup-13, mutton-12) dobj (ate-11, soup-13) cc (soup-13, and-14) amod (tortillas-16, fresh-15) dobj (ate-11, tortillas-16) conj:and (soup-13, tortillas-16) case (crockery-19, off-17) amod (crockery-19, colorful-18) nmod:off (ate-11, crockery-19) cc (sat-2, and-20) conj:and (sat-2, drank-21) amod (coffee-23, cinnamon-laced-22) dobj (drank-21, coffee-23) punct (coffee-23, ,-24) det (best-26, the-25) appos (coffee-23, best-26) nsubj (tasted-30, Cassidy-27) aux (tasted-30, had-28) advmod (tasted-30, ever-29) acl:relcl (best-26, tasted-30) punct (sat-2, .-31) ",crockery,19,"case (crockery-19, off-17) amod (crockery-19, colorful-18) nmod:off (ate-11, crockery-19) ","and fresh tortillas off colorful crockery and drank cinnamon-laced coffee ,",NN,[],,,,,[],[],[],,"[('off', 'ate', 11)]",['off'],[],['ate'],[],[],[],[],[],[],[],['colorful'],[0.135],[0.08541666666666668],[0.06],[0.06266666666666666],[0.06791666666666667],[0.0325],[0.06633333333333333],[0.0475],[0.075],[0.08975],[0.13387500000000002],[0.12820833333333334],[0.01583333333333333],[],[],[],['off'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1999.txt_1.csv,0,0,0,0,unknown,,,,
"Inside are no signs of former occupancy save some shards of broken crockery and ashes on the hearth , and only mice move within the sagging roof and defeated walls .","Inside/inside/IN are/be/VBP no/no/DT signs/sign/NNS of/of/IN former/former/JJ occupancy/occupancy/NN save/save/VB some/some/DT shards/shard/NNS of/of/IN broken/broken/JJ crockery/crockery/NN and/and/CC ashes/ash/NNS on/on/IN the/the/DT hearth/hearth/NN ,/,/, and/and/CC only/only/RB mice/mouse/NNS move/move/VBP within/within/IN the/the/DT sagging/sag/VBG roof/roof/NN and/and/CC defeated/defeat/VBD walls/wall/NNS ././. ","ROOT (ROOT-0, signs-4) nmod (signs-4, Inside-1) cop (signs-4, are-2) neg (signs-4, no-3) case (occupancy-7, of-5) amod (occupancy-7, former-6) nmod:of (signs-4, occupancy-7) ccomp (signs-4, save-8) det (shards-10, some-9) nsubj (move-23, shards-10) nsubj (defeated-29, shards-10) case (crockery-13, of-11) amod (crockery-13, broken-12) nmod:of (shards-10, crockery-13) cc (crockery-13, and-14) nmod:of (shards-10, ashes-15) conj:and (crockery-13, ashes-15) case (hearth-18, on-16) det (hearth-18, the-17) nmod:on (crockery-13, hearth-18) punct (hearth-18, ,-19) cc (hearth-18, and-20) advmod (hearth-18, only-21) dep (hearth-18, mice-22) ccomp (save-8, move-23) case (roof-27, within-24) det (roof-27, the-25) amod (roof-27, sagging-26) nmod:within (move-23, roof-27) cc (move-23, and-28) ccomp (save-8, defeated-29) conj:and (move-23, defeated-29) dobj (defeated-29, walls-30) punct (signs-4, .-31) ",crockery,13,"case (crockery-13, of-11) amod (crockery-13, broken-12) nmod:of (shards-10, crockery-13) cc (crockery-13, and-14) conj:and (crockery-13, ashes-15) nmod:on (crockery-13, hearth-18) ",save some shards of broken crockery and ashes on the hearth,NN,[],,,,,[],[],[],,"[('of', 'shards', 10), ('on', 'hearth', 18)]","['of', 'on']",['hearth'],['shards'],[],[],"[('and', 'ashes', 15)]",['and'],[ashes-15],[],[],['broken'],[0.0],[0.01],[0.0],[0.0],[0.445488095238095],[0.0075],[0.009583333333333334],[0.0075],[0.0025],[0.025],[0.4843035714285716],[0.0075],[0.000625],[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1999.txt_1.csv,0,0,0,0,unknown,,,,
Mary Cougan served stirabout from a witch 's pot and strong tea from tannin-colored crockery .,Mary/Mary/NNP Cougan/Cougan/NNP served/serve/VBD stirabout/stirabout/NN from/from/IN a/a/DT witch/witch/NN 's/'s/POS pot/pot/NN and/and/CC strong/strong/JJ tea/tea/NN from/from/IN tannin-colored/tannin-colored/JJ crockery/crockery/NN ././. ,"ROOT (ROOT-0, served-3) compound (Cougan-2, Mary-1) nsubj (served-3, Cougan-2) dobj (served-3, stirabout-4) case (pot-9, from-5) det (witch-7, a-6) nmod:poss (pot-9, witch-7) case (witch-7, 's-8) nmod:from (served-3, pot-9) cc (pot-9, and-10) amod (tea-12, strong-11) nmod:from (served-3, tea-12) conj:and (pot-9, tea-12) case (crockery-15, from-13) amod (crockery-15, tannin-colored-14) nmod:from (pot-9, crockery-15) punct (served-3, .-16) ",crockery,15,"case (crockery-15, from-13) amod (crockery-15, tannin-colored-14) nmod:from (pot-9, crockery-15) ",and strong tea from tannin-colored crockery .,NN,[],,,,,[],[],[],,"[('from', 'pot', 9)]",['from'],[],['pot'],[],[],[],[],[],[],[],['tannin-colored'],,,,,,,,,,,,,,[],[],[],['from'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1995.txt_1.csv,0,0,0,0,unknown,,,,
"I could hear faint sounds , the rattle of crockery .","I/I/PRP could/could/MD hear/hear/VB faint/faint/JJ sounds/sound/NNS ,/,/, the/the/DT rattle/rattle/VB of/of/IN crockery/crockery/NN ././. ","ROOT (ROOT-0, hear-3) nsubj (hear-3, I-1) aux (hear-3, could-2) amod (sounds-5, faint-4) dobj (hear-3, sounds-5) punct (hear-3, ,-6) nsubj (rattle-8, the-7) dep (hear-3, rattle-8) case (crockery-10, of-9) nmod:of (rattle-8, crockery-10) punct (hear-3, .-11) ",crockery,10,"case (crockery-10, of-9) nmod:of (rattle-8, crockery-10) ","sounds , the rattle of crockery .",NN,[],,,,,[],[],[],,"[('of', 'rattle', 8)]",['of'],[],['rattle'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1995.txt_1.csv,0,0,0,0,unknown,,,,
"The darkened room heaved , floor rippling beneath a cascade of glass and crockery and books .","The/the/DT darkened/darkened/JJ room/room/NN heaved/heave/VBD ,/,/, floor/floor/NN rippling/ripple/VBG beneath/beneath/IN a/a/DT cascade/cascade/NN of/of/IN glass/glass/NN and/and/CC crockery/crockery/NN and/and/CC books/book/NNS ././. ","ROOT (ROOT-0, heaved-4) det (room-3, The-1) amod (room-3, darkened-2) nsubj (heaved-4, room-3) punct (heaved-4, ,-5) nsubj (rippling-7, floor-6) dep (heaved-4, rippling-7) case (cascade-10, beneath-8) det (cascade-10, a-9) nmod:beneath (rippling-7, cascade-10) case (glass-12, of-11) nmod:of (cascade-10, glass-12) cc (glass-12, and-13) nmod:of (cascade-10, crockery-14) conj:and (glass-12, crockery-14) cc (glass-12, and-15) nmod:of (cascade-10, books-16) conj:and (glass-12, books-16) punct (heaved-4, .-17) ",crockery,14,"nmod:of (cascade-10, crockery-14) conj:and (glass-12, crockery-14) ",a cascade of glass and crockery and books .,NN,[],,,,,[],[],[],,"[('of', 'cascade', 10)]",['of'],[],['cascade'],[],[],"[('and', 'glass', 12)]",['and'],[glass-12],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1997.txt_1.csv,0,0,0,0,unknown,,,,
"Della pictured a baby sitting on a porch somewhere , lapping water from a plastic crockery dish .","Della/Della/NNP pictured/picture/VBD a/a/DT baby/baby/NN sitting/sit/VBG on/on/IN a/a/DT porch/porch/NN somewhere/somewhere/RB ,/,/, lapping/lap/VBG water/water/NN from/from/IN a/a/DT plastic/plastic/JJ crockery/crockery/NN dish/dish/NN ././. ","ROOT (ROOT-0, pictured-2) nsubj (pictured-2, Della-1) det (baby-4, a-3) dobj (pictured-2, baby-4) acl (baby-4, sitting-5) case (porch-8, on-6) det (porch-8, a-7) nmod:on (sitting-5, porch-8) advmod (sitting-5, somewhere-9) punct (sitting-5, ,-10) advcl (sitting-5, lapping-11) dobj (lapping-11, water-12) case (dish-17, from-13) det (dish-17, a-14) amod (dish-17, plastic-15) compound (dish-17, crockery-16) nmod:from (lapping-11, dish-17) punct (pictured-2, .-18) ",crockery,16,"compound (dish-17, crockery-16) ",lapping water from a plastic crockery dish .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['dish'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1997.txt_1.csv,0,0,0,0,unknown,,,,
