Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"These Third World companies tend to operate in labor-intensive manufacturing enterprises : furniture , fabricated metal products ( bicycles , cutlery ) , manufactured plastics products ( toys ) , and , most noticeably , textiles and related industries .","These/these/DT Third/Third/NNP World/World/NNP companies/company/NNS tend/tend/VBP to/to/TO operate/operate/VB in/in/IN labor-intensive/labor-intensive/JJ manufacturing/manufacturing/NN enterprises/enterprise/NNS :/:/: furniture/furniture/NN ,/,/, fabricated/fabricate/VBN metal/metal/NN products/product/NNS -LRB-/-lrb-/-LRB- bicycles/bicycle/NNS ,/,/, cutlery/cutlery/NN -RRB-/-rrb-/-RRB- ,/,/, manufactured/manufactured/JJ plastics/plastic/NNS products/product/NNS -LRB-/-lrb-/-LRB- toys/toy/NNS -RRB-/-rrb-/-RRB- ,/,/, and/and/CC ,/,/, most/most/JJS noticeably/noticeably/RB ,/,/, textiles/textile/NNS and/and/CC related/related/JJ industries/industry/NNS ././. ","ROOT (ROOT-0, tend-5) det (companies-4, These-1) compound (companies-4, Third-2) compound (companies-4, World-3) nsubj (tend-5, companies-4) nsubj:xsubj (operate-7, companies-4) mark (operate-7, to-6) xcomp (tend-5, operate-7) case (enterprises-11, in-8) amod (enterprises-11, labor-intensive-9) compound (enterprises-11, manufacturing-10) nmod:in (operate-7, enterprises-11) punct (enterprises-11, :-12) dep (enterprises-11, furniture-13) punct (enterprises-11, ,-14) amod (products-17, fabricated-15) compound (products-17, metal-16) nmod:in (operate-7, products-17) conj:and (enterprises-11, products-17) punct (bicycles-19, (-18) dep (products-17, bicycles-19) punct (bicycles-19, ,-20) appos (bicycles-19, cutlery-21) punct (bicycles-19, )-22) punct (enterprises-11, ,-23) amod (products-26, manufactured-24) compound (products-26, plastics-25) nmod:in (operate-7, products-26) conj:and (enterprises-11, products-26) punct (toys-28, (-27) appos (products-26, toys-28) punct (toys-28, )-29) punct (enterprises-11, ,-30) cc (enterprises-11, and-31) punct (enterprises-11, ,-32) nmod:in (operate-7, most-33) conj:and (enterprises-11, most-33) advmod (most-33, noticeably-34) punct (most-33, ,-35) appos (most-33, textiles-36) cc (enterprises-11, and-37) amod (industries-39, related-38) nmod:in (operate-7, industries-39) conj:and (enterprises-11, industries-39) punct (tend-5, .-40) ",cutlery,21,"appos (bicycles-19, cutlery-21) ","metal products ( bicycles , cutlery ) , manufactured plastics products",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],"['modifier', 'bicycles']",['bicycles'],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"The dishes , cutlery , chairs , rugs , and couches in the house were mostly bought secondhand , at the local flea markets and at the Swanage Oxfam shop where Oakeshott also assembled much of his wardrobe .","The/the/DT dishes/dish/NNS ,/,/, cutlery/cutlery/NN ,/,/, chairs/chair/NNS ,/,/, rugs/rug/NNS ,/,/, and/and/CC couches/couch/NNS in/in/IN the/the/DT house/house/NN were/be/VBD mostly/mostly/RB bought/buy/VBN secondhand/secondhand/NN ,/,/, at/at/IN the/the/DT local/local/JJ flea/flea/NN markets/market/NNS and/and/CC at/at/IN the/the/DT Swanage/Swanage/NNP Oxfam/Oxfam/NNP shop/shop/NN where/where/WRB Oakeshott/Oakeshott/NNP also/also/RB assembled/assemble/VBD much/much/JJ of/of/IN his/he/PRP$ wardrobe/wardrobe/NN ././. ","ROOT (ROOT-0, bought-17) det (dishes-2, The-1) nsubjpass (bought-17, dishes-2) nsubjpass (bought-17, dishes-2) punct (dishes-2, ,-3) conj:and (dishes-2, cutlery-4) nsubjpass (bought-17, cutlery-4) punct (dishes-2, ,-5) conj:and (dishes-2, chairs-6) nsubjpass (bought-17, chairs-6) punct (dishes-2, ,-7) conj:and (dishes-2, rugs-8) nsubjpass (bought-17, rugs-8) punct (dishes-2, ,-9) cc (dishes-2, and-10) conj:and (dishes-2, couches-11) nsubjpass (bought-17, couches-11) case (house-14, in-12) det (house-14, the-13) nmod:in (couches-11, house-14) auxpass (bought-17, were-15) advmod (bought-17, mostly-16) conj:and (bought-17, bought-17) dobj (bought-17, secondhand-18) punct (bought-17, ,-19) case (markets-24, at-20) det (markets-24, the-21) amod (markets-24, local-22) compound (markets-24, flea-23) nmod:at (bought-17, markets-24) cc (bought-17, and-25) case (shop-30, at-26) det (shop-30, the-27) compound (shop-30, Swanage-28) compound (shop-30, Oxfam-29) nmod:at (bought-17, shop-30) advmod (assembled-34, where-31) nsubj (assembled-34, Oakeshott-32) advmod (assembled-34, also-33) acl:relcl (shop-30, assembled-34) dobj (assembled-34, much-35) case (wardrobe-38, of-36) nmod:poss (wardrobe-38, his-37) nmod:of (much-35, wardrobe-38) punct (bought-17, .-39) ",cutlery,4,"conj:and (dishes-2, cutlery-4) nsubjpass (bought-17, cutlery-4) ","The dishes , cutlery , chairs , rugs ,",NN,[],bought-17,buy,VBN,passive,['mostly'],[],[],,[],[],[],[],[],[],"[('and', 'dishes', 2)]",['and'],[dishes-2],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
Starch-based plastic products such as biodegradable cutlery and garbage bags have already made headlines .,Starch-based/starch-based/JJ plastic/plastic/NN products/product/NNS such/such/JJ as/as/IN biodegradable/biodegradable/JJ cutlery/cutlery/NN and/and/CC garbage/garbage/NN bags/bag/NNS have/have/VBP already/already/RB made/make/VBN headlines/headline/NNS ././. ,"ROOT (ROOT-0, made-13) amod (products-3, Starch-based-1) compound (products-3, plastic-2) nsubj (made-13, products-3) case (cutlery-7, such-4) mwe (such-4, as-5) amod (cutlery-7, biodegradable-6) nmod:such_as (products-3, cutlery-7) cc (cutlery-7, and-8) compound (bags-10, garbage-9) nmod:such_as (products-3, bags-10) conj:and (cutlery-7, bags-10) aux (made-13, have-11) advmod (made-13, already-12) dobj (made-13, headlines-14) punct (made-13, .-15) ",cutlery,7,"case (cutlery-7, such-4) amod (cutlery-7, biodegradable-6) nmod:such_as (products-3, cutlery-7) cc (cutlery-7, and-8) conj:and (cutlery-7, bags-10) ",plastic products such as biodegradable cutlery and garbage bags have already,NN,[],,,,,[],[],[],,"[('such_as', 'products', 3)]",['such_as'],[],['products'],[],[],"[('and', 'bags', 10)]",['and'],[bags-10],[],[],['biodegradable'],[0.0325],[0.05529166666666667],[0.01625],[0.0075],[0.025],[0.025],[0.1405],[0.040625],[0.0275],[0.0825],[0.4531666666666667],[0.08],[0.014166666666666666],[],[],[],['such'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1994.txt_3.csv,0,0,0,0,unknown,,,,
"Both , but especially Birmingham , moved quickly to the '' toys '' ( buttons , buckles , japanned ware , stamped and engraved ornamental goods ) , table-ware , cutlery , silver and silver-plated ware , candelabra and small furnishings made in brass , and cut and coloured glassware which provided the household decencies and semi-luxuries of the expanding middle classes of early industrializing Britain and her settler colonies .","Both/both/DT ,/,/, but/but/CC especially/especially/RB Birmingham/Birmingham/NNP ,/,/, moved/move/VBD quickly/quickly/RB to/to/TO the/the/DT ''/''/'' toys/toy/NNS ''/''/'' -LRB-/-lrb-/-LRB- buttons/button/NNS ,/,/, buckles/buckle/NNS ,/,/, japanned/japan/VBN ware/ware/NN ,/,/, stamped/stamp/VBN and/and/CC engraved/engrave/VBN ornamental/ornamental/JJ goods/goods/NNS -RRB-/-rrb-/-RRB- ,/,/, table-ware/table-ware/NN ,/,/, cutlery/cutlery/NN ,/,/, silver/silver/NN and/and/CC silver-plated/silver-plated/JJ ware/ware/NN ,/,/, candelabra/candelabra/NN and/and/CC small/small/JJ furnishings/furnishings/NNS made/make/VBN in/in/IN brass/brass/NN ,/,/, and/and/CC cut/cut/NN and/and/CC coloured/colour/VBN glassware/glassware/NN which/which/WDT provided/provide/VBD the/the/DT household/household/NN decencies/decency/NNS and/and/CC semi-luxuries/semi-luxury/NNS of/of/IN the/the/DT expanding/expand/VBG middle/middle/JJ classes/class/NNS of/of/IN early/early/JJ industrializing/industrializing/JJ Britain/Britain/NNP and/and/CC her/she/PRP$ settler/settler/NN colonies/colony/NNS ././. ","ROOT (ROOT-0, moved-7) nsubj (moved-7, Both-1) punct (Birmingham-5, ,-2) cc (Birmingham-5, but-3) dep (Birmingham-5, especially-4) dep (Both-1, Birmingham-5) punct (Birmingham-5, ,-6) advmod (moved-7, quickly-8) case (the-10, to-9) nmod:to (quickly-8, the-10) punct (moved-7, ''-11) xcomp (moved-7, toys-12) punct (toys-12, ''-13) punct (buttons-15, (-14) dep (toys-12, buttons-15) punct (buttons-15, ,-16) appos (buttons-15, buckles-17) punct (buckles-17, ,-18) dep (buckles-17, japanned-19) dobj (japanned-19, ware-20) punct (japanned-19, ,-21) dep (buckles-17, stamped-22) conj:and (japanned-19, stamped-22) cc (japanned-19, and-23) dep (buckles-17, engraved-24) conj:and (japanned-19, engraved-24) amod (goods-26, ornamental-25) dobj (engraved-24, goods-26) punct (buttons-15, )-27) punct (toys-12, ,-28) compound (silver-33, table-ware-29) punct (silver-33, ,-30) conj:and (silver-33, cutlery-31) compound (ware-36, cutlery-31) punct (silver-33, ,-32) compound (ware-36, silver-33) cc (silver-33, and-34) conj:and (silver-33, silver-plated-35) compound (ware-36, silver-plated-35) xcomp (moved-7, ware-36) punct (ware-36, ,-37) xcomp (moved-7, candelabra-38) conj:and (ware-36, candelabra-38) cc (ware-36, and-39) amod (furnishings-41, small-40) xcomp (moved-7, furnishings-41) conj:and (ware-36, furnishings-41) acl (furnishings-41, made-42) case (brass-44, in-43) nmod:in (made-42, brass-44) punct (furnishings-41, ,-45) cc (furnishings-41, and-46) conj:and (ware-36, cut-47) conj:and (furnishings-41, cut-47) cc (cut-47, and-48) amod (glassware-50, coloured-49) conj:and (furnishings-41, glassware-50) conj:and (cut-47, glassware-50) nsubj (provided-52, which-51) ccomp (moved-7, provided-52) det (household-54, the-53) iobj (provided-52, household-54) dobj (provided-52, decencies-55) cc (decencies-55, and-56) dobj (provided-52, semi-luxuries-57) conj:and (decencies-55, semi-luxuries-57) case (classes-62, of-58) det (classes-62, the-59) amod (classes-62, expanding-60) amod (classes-62, middle-61) nmod:of (decencies-55, classes-62) case (Britain-66, of-63) amod (Britain-66, early-64) amod (Britain-66, industrializing-65) nmod:of (classes-62, Britain-66) cc (Britain-66, and-67) nmod:poss (colonies-70, her-68) compound (colonies-70, settler-69) nmod:of (classes-62, colonies-70) conj:and (Britain-66, colonies-70) punct (moved-7, .-71) ",cutlery,31,"conj:and (silver-33, cutlery-31) compound (ware-36, cutlery-31) ","goods ) , table-ware , cutlery , silver and silver-plated ware",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'silver', 33)]",['and'],[silver-33],['ware'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,,,,
"Sheffield 's manufactures were more specialised in trades related to the cutlery manufacture , and there were fewer women employed as such in these trades .","Sheffield/Sheffield/NNP 's/'s/POS manufactures/manufacture/VBZ were/be/VBD more/more/RBR specialised/specialise/VBN in/in/IN trades/trade/NNS related/relate/VBN to/to/TO the/the/DT cutlery/cutlery/NN manufacture/manufacture/NN ,/,/, and/and/CC there/there/EX were/be/VBD fewer/fewer/JJR women/woman/NNS employed/employ/VBN as/as/IN such/such/JJ in/in/IN these/these/DT trades/trade/NNS ././. ","ROOT (ROOT-0, manufactures-3) nsubj (manufactures-3, Sheffield-1) case (Sheffield-1, 's-2) auxpass (specialised-6, were-4) advmod (specialised-6, more-5) ccomp (manufactures-3, specialised-6) case (trades-8, in-7) nmod:in (specialised-6, trades-8) acl (trades-8, related-9) case (manufacture-13, to-10) det (manufacture-13, the-11) compound (manufacture-13, cutlery-12) nmod:to (related-9, manufacture-13) punct (manufactures-3, ,-14) cc (manufactures-3, and-15) expl (were-17, there-16) conj:and (manufactures-3, were-17) amod (women-19, fewer-18) nsubj (were-17, women-19) acl (women-19, employed-20) case (such-22, as-21) nmod:as (employed-20, such-22) case (trades-25, in-23) det (trades-25, these-24) nmod:in (such-22, trades-25) punct (manufactures-3, .-26) ",cutlery,12,"compound (manufacture-13, cutlery-12) ","in trades related to the cutlery manufacture , and there were",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['manufacture'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,,,,
"A single English manufactory for cutlery , Mr. Walker 's in Rotheram , produced twice as much as all the craftsmen of Eskilstuna , which , in Kuttner 's view in 1798 , gave a '' tolerably correct idea of the state of Swedish manufactures . ''","A/a/DT single/single/JJ English/English/NNP manufactory/manufactory/NN for/for/IN cutlery/cutlery/NN ,/,/, Mr./Mr./NNP Walker/Walker/NNP 's/'s/POS in/in/IN Rotheram/Rotheram/NNP ,/,/, produced/produce/VBD twice/twice/RB as/as/RB much/much/JJ as/as/IN all/all/PDT the/the/DT craftsmen/craftsman/NNS of/of/IN Eskilstuna/Eskilstuna/NNP ,/,/, which/which/WDT ,/,/, in/in/IN Kuttner/Kuttner/NNP 's/'s/POS view/view/NN in/in/IN 1798/1798/CD ,/,/, gave/give/VBD a/a/DT ''/''/'' tolerably/tolerably/RB correct/correct/JJ idea/idea/NN of/of/IN the/the/DT state/state/NN of/of/IN Swedish/swedish/JJ manufactures/manufacture/VBZ ././. ''/''/'' ","ROOT (ROOT-0, produced-14) det (manufactory-4, A-1) amod (manufactory-4, single-2) compound (manufactory-4, English-3) nsubj (produced-14, manufactory-4) case (cutlery-6, for-5) nmod:for (manufactory-4, cutlery-6) punct (manufactory-4, ,-7) compound (Walker-9, Mr.-8) appos (manufactory-4, Walker-9) case (Walker-9, 's-10) case (Rotheram-12, in-11) nmod:in (Walker-9, Rotheram-12) punct (manufactory-4, ,-13) advmod (much-17, twice-15) advmod (much-17, as-16) dobj (produced-14, much-17) case (craftsmen-21, as-18) det:predet (craftsmen-21, all-19) det (craftsmen-21, the-20) nmod:as (produced-14, craftsmen-21) nsubj (gave-34, craftsmen-21) case (Eskilstuna-23, of-22) nmod:of (craftsmen-21, Eskilstuna-23) punct (craftsmen-21, ,-24) ref (craftsmen-21, which-25) punct (gave-34, ,-26) case (view-30, in-27) nmod:poss (view-30, Kuttner-28) case (Kuttner-28, 's-29) nmod:in (gave-34, view-30) case (1798-32, in-31) nmod:in (view-30, 1798-32) punct (gave-34, ,-33) acl:relcl (craftsmen-21, gave-34) dobj (gave-34, a-35) punct (a-35, ''-36) advmod (correct-38, tolerably-37) amod (idea-39, correct-38) nsubj (manufactures-45, idea-39) case (state-42, of-40) det (state-42, the-41) nmod:of (idea-39, state-42) case (Swedish-44, of-43) nmod:of (state-42, Swedish-44) acl:relcl (a-35, manufactures-45) punct (produced-14, .-46) punct (produced-14, ''-47) ",cutlery,6,"case (cutlery-6, for-5) nmod:for (manufactory-4, cutlery-6) ","A single English manufactory for cutlery , Mr. Walker 's in",NN,[],,,,,[],[],[],,"[('for', 'manufactory', 4)]",['for'],[],['manufactory'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['for'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_3.csv,0,0,0,0,unknown,,,,
"He quickly diversified into cloth , tea , paper , and cutlery in a general import-export business .","He/he/PRP quickly/quickly/RB diversified/diversify/VBD into/into/IN cloth/cloth/NN ,/,/, tea/tea/NN ,/,/, paper/paper/NN ,/,/, and/and/CC cutlery/cutlery/NN in/in/IN a/a/DT general/general/JJ import-export/import-export/JJ business/business/NN ././. ","ROOT (ROOT-0, diversified-3) nsubj (diversified-3, He-1) advmod (diversified-3, quickly-2) case (cloth-5, into-4) nmod:into (diversified-3, cloth-5) punct (cloth-5, ,-6) nmod:into (diversified-3, tea-7) conj:and (cloth-5, tea-7) punct (cloth-5, ,-8) nmod:into (diversified-3, paper-9) conj:and (cloth-5, paper-9) punct (cloth-5, ,-10) cc (cloth-5, and-11) nmod:into (diversified-3, cutlery-12) conj:and (cloth-5, cutlery-12) case (business-17, in-13) det (business-17, a-14) amod (business-17, general-15) amod (business-17, import-export-16) nmod:in (cloth-5, business-17) punct (diversified-3, .-18) ",cutlery,12,"nmod:into (diversified-3, cutlery-12) conj:and (cloth-5, cutlery-12) ","tea , paper , and cutlery in a general import-export business",NN,[],,,,,[],[],[],,"[('into', 'diversified', 3)]",['into'],[],['diversified'],[],[],"[('and', 'cloth', 5)]",['and'],[cloth-5],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1997.txt_1.csv,0,0,0,0,unknown,,,,
This was the only place where one could buy clothes and shoes and cutlery .,This/this/DT was/be/VBD the/the/DT only/only/JJ place/place/NN where/where/WRB one/one/CD could/could/MD buy/buy/VB clothes/clothes/NNS and/and/CC shoes/shoe/NNS and/and/CC cutlery/cutlery/NN ././. ,"ROOT (ROOT-0, place-5) nsubj (place-5, This-1) cop (place-5, was-2) det (place-5, the-3) amod (place-5, only-4) advmod (buy-9, where-6) nsubj (buy-9, one-7) aux (buy-9, could-8) acl:relcl (place-5, buy-9) dobj (buy-9, clothes-10) cc (clothes-10, and-11) dobj (buy-9, shoes-12) conj:and (clothes-10, shoes-12) cc (clothes-10, and-13) dobj (buy-9, cutlery-14) conj:and (clothes-10, cutlery-14) punct (place-5, .-15) ",cutlery,14,"dobj (buy-9, cutlery-14) conj:and (clothes-10, cutlery-14) ",buy clothes and shoes and cutlery .,NN,[],buy-9,buy,VB,object,['where'],[],['could'],,[],[],[],[],[],[],"[('and', 'clothes', 10)]",['and'],[clothes-10],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],could,[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2010.txt_2.csv,0,0,0,0,unknown,,,,
"Over the years her esophagus started giving her trouble , so she created a flea act to fall back on and , by 1940 , was doing double duty swallowing cutlery and directing her tiny circus .","Over/over/IN the/the/DT years/year/NNS her/she/PRP$ esophagus/esophagus/NN started/start/VBD giving/give/VBG her/she/PRP$ trouble/trouble/NN ,/,/, so/so/IN she/she/PRP created/create/VBD a/a/DT flea/flea/NN act/act/NN to/to/TO fall/fall/VB back/back/RB on/on/IN and/and/CC ,/,/, by/by/IN 1940/1940/CD ,/,/, was/be/VBD doing/do/VBG double/double/JJ duty/duty/NN swallowing/swallow/VBG cutlery/cutlery/NN and/and/CC directing/direct/VBG her/she/PRP$ tiny/tiny/JJ circus/circus/NN ././. ","ROOT (ROOT-0, started-6) case (years-3, Over-1) det (years-3, the-2) nmod:over (started-6, years-3) nmod:poss (esophagus-5, her-4) nsubj (started-6, esophagus-5) xcomp (started-6, giving-7) nmod:poss (trouble-9, her-8) dobj (giving-7, trouble-9) punct (started-6, ,-10) dep (started-6, so-11) nsubj (created-13, she-12) nsubj (doing-27, she-12) parataxis (started-6, created-13) det (act-16, a-14) compound (act-16, flea-15) dobj (created-13, act-16) mark (fall-18, to-17) advcl:to (created-13, fall-18) advmod (fall-18, back-19) nmod (fall-18, on-20) cc (created-13, and-21) punct (1940-24, ,-22) case (1940-24, by-23) dep (created-13, 1940-24) punct (1940-24, ,-25) aux (doing-27, was-26) parataxis (started-6, doing-27) conj:and (created-13, doing-27) amod (duty-29, double-28) dobj (doing-27, duty-29) dep (doing-27, swallowing-30) dobj (swallowing-30, cutlery-31) cc (swallowing-30, and-32) dep (doing-27, directing-33) conj:and (swallowing-30, directing-33) nmod:poss (circus-36, her-34) amod (circus-36, tiny-35) dobj (directing-33, circus-36) punct (started-6, .-37) ",cutlery,31,"dobj (swallowing-30, cutlery-31) ",was doing double duty swallowing cutlery and directing her tiny circus,NN,[],swallowing-30,swallow,VBG,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_1.csv,0,0,0,0,unknown,,,,
"There , archaeologists discovered household items such as cutlery , as well as models of WWII-era airplanes that children presumably kept as toys and military badges that may have been given to soldiers ' girlfriends or siblings as keepsakes .","There/there/RB ,/,/, archaeologists/archaeologist/NNS discovered/discover/VBD household/household/NN items/item/NNS such/such/JJ as/as/IN cutlery/cutlery/NN ,/,/, as/as/RB well/well/RB as/as/IN models/model/NNS of/of/IN WWII-era/wwii-era/JJ airplanes/airplane/NNS that/that/WDT children/child/NNS presumably/presumably/RB kept/keep/VBD as/as/IN toys/toy/NNS and/and/CC military/military/JJ badges/badge/NNS that/that/WDT may/may/MD have/have/VB been/be/VBN given/give/VBN to/to/TO soldiers/soldier/NNS '/'/POS girlfriends/girlfriend/NNS or/or/CC siblings/sibling/NNS as/as/IN keepsakes/keepsake/NNS ././. ","ROOT (ROOT-0, discovered-4) advmod (discovered-4, There-1) punct (discovered-4, ,-2) nsubj (discovered-4, archaeologists-3) compound (items-6, household-5) dobj (discovered-4, items-6) case (cutlery-9, such-7) mwe (such-7, as-8) nmod:such_as (items-6, cutlery-9) punct (items-6, ,-10) cc (items-6, as-11) mwe (as-11, well-12) mwe (as-11, as-13) dobj (discovered-4, models-14) conj:and (items-6, models-14) det (children-19, models-14) case (airplanes-17, of-15) amod (airplanes-17, WWII-era-16) nmod:of (models-14, airplanes-17) ref (models-14, that-18) nsubj (kept-21, children-19) advmod (kept-21, presumably-20) acl:relcl (models-14, kept-21) case (toys-23, as-22) nmod:as (kept-21, toys-23) cc (items-6, and-24) amod (badges-26, military-25) dobj (discovered-4, badges-26) conj:and (items-6, badges-26) nsubjpass (given-31, badges-26) ref (badges-26, that-27) aux (given-31, may-28) aux (given-31, have-29) auxpass (given-31, been-30) acl:relcl (badges-26, given-31) case (girlfriends-35, to-32) nmod:poss (girlfriends-35, soldiers-33) case (soldiers-33, '-34) nmod:to (given-31, girlfriends-35) cc (girlfriends-35, or-36) nmod:to (given-31, siblings-37) conj:or (girlfriends-35, siblings-37) case (keepsakes-39, as-38) nmod:as (girlfriends-35, keepsakes-39) punct (discovered-4, .-40) ",cutlery,9,"case (cutlery-9, such-7) nmod:such_as (items-6, cutlery-9) ","discovered household items such as cutlery , as well as models",NN,[],,,,,[],[],[],,"[('such_as', 'items', 6)]",['such_as'],[],['items'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['such'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_1.csv,0,0,0,0,unknown,,,,
