Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Earthenware , 20.3cm ( 8 '' ) .","Earthenware/Earthenware/NNP ,/,/, 20.3/20.3/CD cm/cm/NN -LRB-/-lrb-/-LRB- 8/8/CD ''/''/'' -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) nummod (cm-4, 20.3-3) appos (Earthenware-1, cm-4) punct (8-6, (-5) dep (cm-4, 8-6) punct (8-6, ''-7) punct (8-6, )-8) punct (Earthenware-1, .-9) ",Earthenware,1,"ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) appos (Earthenware-1, cm-4) punct (Earthenware-1, .-9) ","Earthenware , 20.3cm ( 8 ''",NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],"['modified', 'cm']",[],['cm'],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1997.txt_2.csv,0,0,0,0,unknown,,,,
"Earthenware , 25.7cm ( 10.1 '' ) , 21.5cm ( 8.5 '' ) .","Earthenware/Earthenware/NNP ,/,/, 25.7/25.7/CD cm/cm/NN -LRB-/-lrb-/-LRB- 10.1/10.1/CD ''/''/'' -RRB-/-rrb-/-RRB- ,/,/, 21.5/21.5/CD cm/cm/NN -LRB-/-lrb-/-LRB- 8.5/8.5/CD ''/''/'' -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) nummod (cm-4, 25.7-3) appos (Earthenware-1, cm-4) punct (10.1-6, (-5) dep (cm-4, 10.1-6) punct (10.1-6, ''-7) punct (10.1-6, )-8) punct (cm-4, ,-9) nummod (cm-11, 21.5-10) appos (cm-4, cm-11) punct (8.5-13, (-12) dep (cm-11, 8.5-13) punct (8.5-13, ''-14) punct (8.5-13, )-15) punct (Earthenware-1, .-16) ",Earthenware,1,"ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) appos (Earthenware-1, cm-4) punct (Earthenware-1, .-16) ","Earthenware , 25.7cm ( 10.1 ''",NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],"['modified', 'cm']",[],['cm'],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1997.txt_2.csv,0,0,0,0,unknown,,,,
"Earthenware , 38.2cm ( 15 '' ) .","Earthenware/Earthenware/NNP ,/,/, 38.2/38.2/CD cm/cm/NN -LRB-/-lrb-/-LRB- 15/15/CD ''/''/'' -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) nummod (cm-4, 38.2-3) appos (Earthenware-1, cm-4) punct (15-6, (-5) dep (cm-4, 15-6) punct (15-6, ''-7) punct (15-6, )-8) punct (Earthenware-1, .-9) ",Earthenware,1,"ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) appos (Earthenware-1, cm-4) punct (Earthenware-1, .-9) ","Earthenware , 38.2cm ( 15 ''",NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],"['modified', 'cm']",[],['cm'],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1997.txt_2.csv,0,0,0,0,unknown,,,,
"PHOTO ( COLOR ) : French colonial sites around Mobile have yielded , from top , Chinese porcelain , English wine bottles , and faence and coarse earthenware from France .","PHOTO/photo/NN -LRB-/-lrb-/-LRB- COLOR/color/NN -RRB-/-rrb-/-RRB- :/:/: French/french/JJ colonial/colonial/NN sites/site/NNS around/around/IN Mobile/Mobile/NNP have/have/VBP yielded/yield/VBN ,/,/, from/from/IN top/top/JJ ,/,/, Chinese/chinese/JJ porcelain/porcelain/NN ,/,/, English/English/NNP wine/wine/NN bottles/bottle/NNS ,/,/, and/and/CC faence/faence/NN and/and/CC coarse/coarse/JJ earthenware/earthenware/NN from/from/IN France/France/NNP ././. ","ROOT (ROOT-0, PHOTO-1) punct (COLOR-3, (-2) appos (PHOTO-1, COLOR-3) punct (COLOR-3, )-4) punct (PHOTO-1, :-5) amod (sites-8, French-6) compound (sites-8, colonial-7) dep (PHOTO-1, sites-8) case (yielded-12, around-9) nsubj (yielded-12, Mobile-10) aux (yielded-12, have-11) nmod:around (sites-8, yielded-12) punct (yielded-12, ,-13) case (porcelain-18, from-14) amod (porcelain-18, top-15) punct (porcelain-18, ,-16) amod (porcelain-18, Chinese-17) nmod:from (yielded-12, porcelain-18) punct (porcelain-18, ,-19) compound (bottles-22, English-20) compound (bottles-22, wine-21) nmod:from (yielded-12, bottles-22) conj:and (porcelain-18, bottles-22) punct (porcelain-18, ,-23) cc (porcelain-18, and-24) nmod:from (yielded-12, faence-25) conj:and (porcelain-18, faence-25) cc (yielded-12, and-26) amod (earthenware-28, coarse-27) nmod:around (sites-8, earthenware-28) conj:and (yielded-12, earthenware-28) case (France-30, from-29) nmod:from (earthenware-28, France-30) punct (PHOTO-1, .-31) ",earthenware,28,"amod (earthenware-28, coarse-27) nmod:around (sites-8, earthenware-28) conj:and (yielded-12, earthenware-28) nmod:from (earthenware-28, France-30) ",", and faence and coarse earthenware from France .",NN,[],,,,,[],[],[],,"[('around', 'sites', 8), ('from', 'France', 30)]","['around', 'from']",['France'],['sites'],[],[],"[('and', 'yielded', 12)]",['and'],[yielded-12],[],[],['coarse'],[0.02],[0.06958333333333333],[0.02],[0.0175],[0.0325],[0.0225],[0.4475],[0.0175],[0.0175],[0.04416666666666667],[0.22208333333333333],[0.05333333333333333],[0.01583333333333333],[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2004.txt_3.csv,0,0,0,0,unknown,,,,
18b profile view 19a Palm wine jar Ngbetu Black earthenware ; 21.6cm x 16.3cm ( 8 1/2 '' x 6 1/2 '' ) Collection of the Ursuline Sisters of Onze-LieveVrouw-Waver.,18b/18b/NN profile/profile/NN view/view/NN 19a/19a/CD Palm/Palm/NNP wine/wine/NN jar/jar/NN Ngbetu/Ngbetu/NNP Black/Black/NNP earthenware/earthenware/NN ;/;/: 21.6/21.6/CD cm/cm/NN x/x/NN 16.3/16.3/CD cm/cm/NN -LRB-/-lrb-/-LRB- 8 1/2/8 1/2/CD ''/''/'' x/x/CC 6 1/2/6 1/2/CD ''/''/'' -RRB-/-rrb-/-RRB- Collection/collection/NN of/of/IN the/the/DT Ursuline/Ursuline/NNP Sisters/sister/NNS of/of/IN Onze-LieveVrouw-Waver/onze-lievevrouw-waver/NN ././. ,"ROOT (ROOT-0, jar-7) compound (jar-7, 18b-1) compound (jar-7, profile-2) compound (jar-7, view-3) nummod (jar-7, 19a-4) compound (jar-7, Palm-5) compound (jar-7, wine-6) compound (Black-9, Ngbetu-8) dep (jar-7, Black-9) dep (Black-9, earthenware-10) punct (Black-9, ;-11) nummod (x-14, 21.6-12) compound (x-14, cm-13) dep (Black-9, x-14) nummod (cm-16, 16.3-15) dep (x-14, cm-16) punct (cm-16, (-17) punct (cm-16, )-23) dep (jar-7, Collection-24) case (Sisters-28, of-25) det (Sisters-28, the-26) compound (Sisters-28, Ursuline-27) nmod:of (Collection-24, Sisters-28) case (Onze-LieveVrouw-Waver-30, of-29) nmod:of (Sisters-28, Onze-LieveVrouw-Waver-30) punct (jar-7, .-31) ",earthenware,10,"dep (Black-9, earthenware-10) ",Palm wine jar Ngbetu Black earthenware ; 21.6cm x 16.3cm (,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2008.txt_3.csv,0,0,0,0,unknown,,,,
The lower shelf holds smaller earthenware and ceramic containers containing other empowered materials ; these containers are difficult to see in this image as a result of the recent offerings that obscure one 's view .,The/the/DT lower/lower/JJR shelf/shelf/NN holds/hold/VBZ smaller/smaller/JJR earthenware/earthenware/NN and/and/CC ceramic/ceramic/JJ containers/container/NNS containing/contain/VBG other/other/JJ empowered/empower/VBN materials/material/NNS ;/;/: these/these/DT containers/container/NNS are/be/VBP difficult/difficult/JJ to/to/TO see/see/VB in/in/IN this/this/DT image/image/NN as/as/IN a/a/DT result/result/NN of/of/IN the/the/DT recent/recent/JJ offerings/offering/NNS that/that/WDT obscure/obscure/VBP one/one/CD 's/'s/POS view/view/NN ././. ,"ROOT (ROOT-0, holds-4) det (shelf-3, The-1) amod (shelf-3, lower-2) nsubj (holds-4, shelf-3) amod (earthenware-6, smaller-5) dobj (holds-4, earthenware-6) cc (earthenware-6, and-7) amod (containers-9, ceramic-8) dobj (holds-4, containers-9) conj:and (earthenware-6, containers-9) acl (earthenware-6, containing-10) dobj (containing-10, other-11) acl (other-11, empowered-12) dobj (empowered-12, materials-13) punct (holds-4, ;-14) det (containers-16, these-15) nsubj (difficult-18, containers-16) nsubj:xsubj (see-20, containers-16) cop (difficult-18, are-17) parataxis (holds-4, difficult-18) mark (see-20, to-19) xcomp (difficult-18, see-20) case (image-23, in-21) det (image-23, this-22) nmod:in (see-20, image-23) case (result-26, as-24) det (result-26, a-25) nmod:as (see-20, result-26) case (offerings-30, of-27) det (offerings-30, the-28) amod (offerings-30, recent-29) nmod:of (result-26, offerings-30) nsubj (obscure-32, offerings-30) ref (offerings-30, that-31) acl:relcl (offerings-30, obscure-32) nmod:poss (view-35, one-33) case (one-33, 's-34) dobj (obscure-32, view-35) punct (holds-4, .-36) ",earthenware,6,"amod (earthenware-6, smaller-5) dobj (holds-4, earthenware-6) cc (earthenware-6, and-7) conj:and (earthenware-6, containers-9) acl (earthenware-6, containing-10) ",The lower shelf holds smaller earthenware and ceramic containers containing other,NN,[],holds-4,hold,VBZ,object,[],[],[],,[],[],[],[],[],[],"[('and', 'containers', 9)]",['and'],[containers-9],[],[],['smaller'],[0.04],[0.08],[0.0425],[0.028958333333333336],[0.10041666666666665],[0.055],[0.03333333333333333],[0.0675],[0.075],[0.10416666666666666],[0.21087500000000003],[0.14141666666666666],[0.020833333333333336],[],[],[],[],[],[],[],[],[],[],singular,bare singular,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2009.txt_2.csv,0,0,0,0,unknown,,,,
"Most of these items are made from a mixture of clay and sand , of dark and granular appearance , although some are in yellow and finely textured earthenware .","Most/most/JJS of/of/IN these/these/DT items/item/NNS are/be/VBP made/make/VBN from/from/IN a/a/DT mixture/mixture/NN of/of/IN clay/clay/NN and/and/CC sand/sand/NN ,/,/, of/of/IN dark/dark/JJ and/and/CC granular/granular/JJ appearance/appearance/NN ,/,/, although/although/IN some/some/DT are/be/VBP in/in/IN yellow/yellow/JJ and/and/CC finely/finely/RB textured/textured/JJ earthenware/earthenware/NN ././. ","ROOT (ROOT-0, made-6) nsubjpass (made-6, Most-1) case (items-4, of-2) det (items-4, these-3) nmod:of (Most-1, items-4) auxpass (made-6, are-5) case (mixture-9, from-7) det (mixture-9, a-8) nmod:from (made-6, mixture-9) case (clay-11, of-10) nmod:of (mixture-9, clay-11) cc (clay-11, and-12) nmod:of (mixture-9, sand-13) conj:and (clay-11, sand-13) punct (mixture-9, ,-14) case (appearance-19, of-15) amod (appearance-19, dark-16) cc (dark-16, and-17) conj:and (dark-16, granular-18) amod (appearance-19, granular-18) nmod:of (mixture-9, appearance-19) punct (made-6, ,-20) mark (earthenware-29, although-21) nsubj (earthenware-29, some-22) cop (earthenware-29, are-23) case (earthenware-29, in-24) amod (earthenware-29, yellow-25) cc (yellow-25, and-26) advmod (textured-28, finely-27) conj:and (yellow-25, textured-28) amod (earthenware-29, textured-28) advcl:although (made-6, earthenware-29) punct (made-6, .-30) ",earthenware,29,"mark (earthenware-29, although-21) nsubj (earthenware-29, some-22) cop (earthenware-29, are-23) case (earthenware-29, in-24) amod (earthenware-29, yellow-25) amod (earthenware-29, textured-28) advcl:although (made-6, earthenware-29) ",in yellow and finely textured earthenware .,NN,[],earthenware-29,,NN,CopObject,[],[],[],VBP,[],[],[],[],[],[],[],[],[],[],[],"['yellow', 'textured']","[0.0025, 0.05333333333333333]","[0.0255, 0.06125]","[0.005, 0.05291666666666666]","[0.0025, 0.04]","[0.02, 0.0525]","[0.0025, 0.04625]","[0.6816666666666665, 0.25875]","[0.03, 0.0175]","[0.0075, 0.025]","[0.0625, 0.09375]","[0.11925, 0.187375]","[0.03, 0.07833333333333334]","[0.011083333333333334, 0.03304166666666667]",[],[],[],['in'],[],[],[],[],[],although,singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2000.txt_3.csv,0,0,0,0,unknown,,,,
"Earthenware , 57.2cm ( 221/2 ? )","Earthenware/Earthenware/NNP ,/,/, 57.2/57.2/CD cm/cm/NN -LRB-/-lrb-/-LRB- 221/2/221/2/CD ?/?/. -RRB-/-rrb-/-RRB- ","ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) amod (Earthenware-1, 57.2-3) dep (Earthenware-1, cm-4) punct (221/2-6, (-5) dep (cm-4, 221/2-6) punct (221/2-6, ?-7) punct (221/2-6, )-8) ",Earthenware,1,"ROOT (ROOT-0, Earthenware-1) punct (Earthenware-1, ,-2) amod (Earthenware-1, 57.2-3) dep (Earthenware-1, cm-4) ","Earthenware , 57.2cm ( 221/2 ?",NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],['57.2'],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2003.txt_2.csv,0,0,0,0,unknown,,,,
He served as the CEO and president of Turkish Cement and Earthenware Ind .,He/he/PRP served/serve/VBD as/as/IN the/the/DT CEO/CEO/NNP and/and/CC president/president/NN of/of/IN Turkish/turkish/JJ Cement/cement/NN and/and/CC Earthenware/Earthenware/NNP Ind/Ind/NNP ././. ,"ROOT (ROOT-0, served-2) nsubj (served-2, He-1) case (CEO-5, as-3) det (CEO-5, the-4) nmod:as (served-2, CEO-5) cc (CEO-5, and-6) nmod:as (served-2, president-7) conj:and (CEO-5, president-7) case (Cement-10, of-8) amod (Cement-10, Turkish-9) nmod:of (president-7, Cement-10) cc (Cement-10, and-11) compound (Ind-13, Earthenware-12) nmod:of (president-7, Ind-13) conj:and (Cement-10, Ind-13) punct (served-2, .-14) ",Earthenware,12,"compound (Ind-13, Earthenware-12) ",president of Turkish Cement and Earthenware Ind .,NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['Ind'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2003.txt_3.csv,0,0,0,0,unknown,,,,
"Men and women blow into their cold hands to warm them , pinching this and sniffing that , bargaining as if for their souls , undeterred by the crash of a stall that collapses under its mountain of earthenware .","Men/men/NN and/and/CC women/woman/NNS blow/blow/VBP into/into/IN their/they/PRP$ cold/cold/JJ hands/hand/NNS to/to/TO warm/warm/VB them/they/PRP ,/,/, pinching/pinch/VBG this/this/DT and/and/CC sniffing/sniff/VBG that/that/IN ,/,/, bargaining/bargaining/NN as/as/IN if/if/IN for/for/IN their/they/PRP$ souls/soul/NNS ,/,/, undeterred/undeterred/JJ by/by/IN the/the/DT crash/crash/NN of/of/IN a/a/DT stall/stall/VBP that/that/IN collapses/collapse/VBZ under/under/IN its/its/PRP$ mountain/mountain/NN of/of/IN earthenware/earthenware/NN ././. ","ROOT (ROOT-0, blow-4) nsubj (blow-4, Men-1) nsubj:xsubj (warm-10, Men-1) cc (Men-1, and-2) conj:and (Men-1, women-3) nsubj (blow-4, women-3) nsubj:xsubj (warm-10, women-3) case (hands-8, into-5) nmod:poss (hands-8, their-6) amod (hands-8, cold-7) nmod:into (blow-4, hands-8) mark (warm-10, to-9) xcomp (blow-4, warm-10) dobj (warm-10, them-11) punct (warm-10, ,-12) dep (warm-10, pinching-13) dobj (pinching-13, this-14) cc (pinching-13, and-15) dep (warm-10, sniffing-16) conj:and (pinching-13, sniffing-16) mark (stall-32, that-17) punct (stall-32, ,-18) nsubj (stall-32, bargaining-19) cc (souls-24, as-20) dep (as-20, if-21) case (souls-24, for-22) nmod:poss (souls-24, their-23) nmod:for (bargaining-19, souls-24) punct (souls-24, ,-25) nmod:by (souls-24, undeterred-26) case (undeterred-26, by-27) det (crash-29, the-28) dep (undeterred-26, crash-29) case (a-31, of-30) nmod:of (crash-29, a-31) ccomp (sniffing-16, stall-32) mark (collapses-34, that-33) ccomp (stall-32, collapses-34) case (mountain-37, under-35) nmod:poss (mountain-37, its-36) nmod:under (collapses-34, mountain-37) case (earthenware-39, of-38) nmod:of (mountain-37, earthenware-39) punct (blow-4, .-40) ",earthenware,39,"case (earthenware-39, of-38) nmod:of (mountain-37, earthenware-39) ",collapses under its mountain of earthenware .,NN,[],,,,,[],[],[],,"[('of', 'mountain', 37)]",['of'],[],['mountain'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1999.txt_2.csv,0,0,0,0,unknown,,,,
