Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Systematic breakdowns of the population according to occupation were not available before the 1851 census -- then the metal and related trades including guns , buttons and jewellery accounted for 34.15 per cent of Birmingham 's working population and 45 per cent of Sheffield's.","Systematic/systematic/JJ breakdowns/breakdown/NNS of/of/IN the/the/DT population/population/NN according/accord/VBG to/to/TO occupation/occupation/NN were/be/VBD not/not/RB available/available/JJ before/before/IN the/the/DT 1851/1851/CD census/census/NN --/--/: then/then/RB the/the/DT metal/metal/NN and/and/CC related/related/JJ trades/trade/NNS including/include/VBG guns/gun/NNS ,/,/, buttons/button/NNS and/and/CC jewellery/jewellery/NN accounted/account/VBD for/for/IN 34.15/34.15/CD per/per/IN cent/cent/NN of/of/IN Birmingham/Birmingham/NNP 's/'s/POS working/work/VBG population/population/NN and/and/CC 45/45/CD per/per/IN cent/cent/NN of/of/IN Sheffield/Sheffield/NNP 's/'s/POS ././. ","ROOT (ROOT-0, available-11) amod (breakdowns-2, Systematic-1) nsubj (available-11, breakdowns-2) case (population-5, of-3) det (population-5, the-4) nmod:of (breakdowns-2, population-5) case (occupation-8, according-6) mwe (according-6, to-7) nmod:according_to (population-5, occupation-8) cop (available-11, were-9) neg (available-11, not-10) case (census-15, before-12) det (census-15, the-13) nummod (census-15, 1851-14) nmod:before (available-11, census-15) punct (available-11, ---16) advmod (accounted-29, then-17) det (trades-22, the-18) amod (trades-22, metal-19) cc (metal-19, and-20) conj:and (metal-19, related-21) amod (trades-22, related-21) nsubj (accounted-29, trades-22) case (guns-24, including-23) nmod:including (trades-22, guns-24) punct (guns-24, ,-25) nmod:including (trades-22, buttons-26) conj:and (guns-24, buttons-26) cc (guns-24, and-27) nmod:including (trades-22, jewellery-28) conj:and (guns-24, jewellery-28) parataxis (available-11, accounted-29) case (34.15-31, for-30) nmod:for (accounted-29, 34.15-31) case (cent-33, per-32) nmod:per (34.15-31, cent-33) case (population-38, of-34) nmod:poss (population-38, Birmingham-35) case (Birmingham-35, 's-36) amod (population-38, working-37) nmod:of (cent-33, population-38) cc (population-38, and-39) nmod:of (cent-33, 45-40) conj:and (population-38, 45-40) case (cent-42, per-41) nmod:per (45-40, cent-42) case (Sheffield-44, of-43) nmod:'s (cent-42, Sheffield-44) case (Sheffield-44, 's-45) punct (available-11, .-46) ",jewellery,28,"nmod:including (trades-22, jewellery-28) conj:and (guns-24, jewellery-28) ","including guns , buttons and jewellery accounted for 34.15 per cent",NN,[],,,,,[],[],[],,"[('including', 'trades', 22)]",['including'],[],['trades'],[],[],"[('and', 'guns', 24)]",['and'],[guns-24],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,,,,
"64 The gender divisions on what was appropriate to bequeath were starkly drawn by Grace Genn of Sheffield in 1769 when she left her daughter clothes , linen , her tea table and chest and her jewellery , but her son her black horse and clock.","64/64/CD The/the/DT gender/gender/NN divisions/division/NNS on/on/IN what/what/WP was/be/VBD appropriate/appropriate/JJ to/to/TO bequeath/bequeath/VB were/be/VBD starkly/starkly/RB drawn/draw/VBN by/by/IN Grace/Grace/NNP Genn/Genn/NNP of/of/IN Sheffield/Sheffield/NNP in/in/IN 1769/1769/CD when/when/WRB she/she/PRP left/leave/VBD her/she/PRP daughter/daughter/NN clothes/clothes/NNS ,/,/, linen/linen/NN ,/,/, her/she/PRP$ tea/tea/NN table/table/NN and/and/CC chest/chest/NN and/and/CC her/she/PRP$ jewellery/jewellery/NN ,/,/, but/but/CC her/she/PRP$ son/son/NN her/she/PRP$ black/black/JJ horse/horse/NN and/and/CC clock/clock/NN ././. ","ROOT (ROOT-0, drawn-13) nmod:on (gender-3, 64-1) nsubjpass (drawn-13, 64-1) det (gender-3, The-2) nsubj (appropriate-8, gender-3) nsubj:xsubj (bequeath-10, gender-3) dep (gender-3, divisions-4) case (what-6, on-5) ref (64-1, what-6) cop (appropriate-8, was-7) acl:relcl (64-1, appropriate-8) mark (bequeath-10, to-9) xcomp (appropriate-8, bequeath-10) auxpass (drawn-13, were-11) advmod (drawn-13, starkly-12) case (Genn-16, by-14) compound (Genn-16, Grace-15) nmod:agent (drawn-13, Genn-16) case (Sheffield-18, of-17) nmod:of (Genn-16, Sheffield-18) case (1769-20, in-19) nmod:in (drawn-13, 1769-20) advmod (left-23, when-21) nsubj (left-23, she-22) acl:relcl (1769-20, left-23) nsubj (clothes-26, her-24) compound (clothes-26, daughter-25) xcomp (left-23, clothes-26) punct (clothes-26, ,-27) xcomp (left-23, linen-28) conj:and (clothes-26, linen-28) punct (clothes-26, ,-29) nmod:poss (table-32, her-30) compound (table-32, tea-31) xcomp (left-23, table-32) conj:and (clothes-26, table-32) cc (table-32, and-33) conj:and (clothes-26, chest-34) conj:and (table-32, chest-34) cc (clothes-26, and-35) nmod:poss (jewellery-37, her-36) xcomp (left-23, jewellery-37) conj:and (clothes-26, jewellery-37) punct (1769-20, ,-38) cc (1769-20, but-39) nmod:poss (son-41, her-40) nmod:in (drawn-13, son-41) conj:but (1769-20, son-41) nmod:poss (horse-44, her-42) amod (horse-44, black-43) dep (son-41, horse-44) cc (horse-44, and-45) dep (son-41, clock-46) conj:and (horse-44, clock-46) punct (drawn-13, .-47) ",jewellery,37,"nmod:poss (jewellery-37, her-36) xcomp (left-23, jewellery-37) conj:and (clothes-26, jewellery-37) ","table and chest and her jewellery , but her son her",NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('and', 'clothes', 26)]",['and'],[clothes-26],[],[],[],,,,,,,,,,,,,,['her'],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,,,,
"There was a definite protocol in bequests of certain goods followed by men and women : jewellery , some silver and pewter , religious books and basic household goods , furnishings and linen were distributed down male or female lines and among close or more distant kin .","There/there/EX was/be/VBD a/a/DT definite/definite/JJ protocol/protocol/NN in/in/IN bequests/bequest/NNS of/of/IN certain/certain/JJ goods/goods/NNS followed/follow/VBN by/by/IN men/man/NNS and/and/CC women/woman/NNS :/:/: jewellery/jewellery/NN ,/,/, some/some/DT silver/silver/NN and/and/CC pewter/pewter/NN ,/,/, religious/religious/JJ books/book/NNS and/and/CC basic/basic/JJ household/household/NN goods/goods/NNS ,/,/, furnishings/furnishings/NNS and/and/CC linen/linen/NN were/be/VBD distributed/distribute/VBN down/down/RB male/male/JJ or/or/CC female/female/JJ lines/line/NNS and/and/CC among/among/IN close/close/JJ or/or/CC more/more/RBR distant/distant/JJ kin/kin/NN ././. ","ROOT (ROOT-0, was-2) expl (was-2, There-1) det (protocol-5, a-3) amod (protocol-5, definite-4) nsubj (was-2, protocol-5) case (bequests-7, in-6) nmod:in (protocol-5, bequests-7) case (goods-10, of-8) amod (goods-10, certain-9) nmod:of (bequests-7, goods-10) acl (goods-10, followed-11) case (men-13, by-12) nmod:by (followed-11, men-13) cc (men-13, and-14) nmod:by (followed-11, women-15) conj:and (men-13, women-15) punct (was-2, :-16) nsubjpass (distributed-35, jewellery-17) punct (jewellery-17, ,-18) det (silver-20, some-19) conj:and (jewellery-17, silver-20) nsubjpass (distributed-35, silver-20) cc (silver-20, and-21) conj:and (jewellery-17, pewter-22) conj:and (silver-20, pewter-22) punct (jewellery-17, ,-23) amod (books-25, religious-24) conj:and (jewellery-17, books-25) nsubjpass (distributed-35, books-25) cc (jewellery-17, and-26) amod (goods-29, basic-27) compound (goods-29, household-28) conj:and (jewellery-17, goods-29) nsubjpass (distributed-35, goods-29) punct (jewellery-17, ,-30) conj:and (jewellery-17, furnishings-31) nsubjpass (distributed-35, furnishings-31) cc (jewellery-17, and-32) conj:and (jewellery-17, linen-33) nsubjpass (distributed-35, linen-33) auxpass (distributed-35, were-34) parataxis (was-2, distributed-35) advmod (and-41, down-36) nmod:npmod (down-36, male-37) cc (male-37, or-38) amod (lines-40, female-39) nmod:npmod (down-36, lines-40) conj:or (male-37, lines-40) advmod (distributed-35, and-41) case (kin-47, among-42) amod (kin-47, close-43) cc (close-43, or-44) advmod (distant-46, more-45) conj:or (close-43, distant-46) amod (kin-47, distant-46) conj (and-41, kin-47) punct (was-2, .-48) ",jewellery,17,"nsubjpass (distributed-35, jewellery-17) punct (jewellery-17, ,-18) conj:and (jewellery-17, silver-20) conj:and (jewellery-17, pewter-22) punct (jewellery-17, ,-23) conj:and (jewellery-17, books-25) cc (jewellery-17, and-26) conj:and (jewellery-17, goods-29) punct (jewellery-17, ,-30) conj:and (jewellery-17, furnishings-31) cc (jewellery-17, and-32) conj:and (jewellery-17, linen-33) ","by men and women : jewellery , some silver and pewter",NN,[],distributed-35,distribute,VBN,passive,['and'],[],[],,[],[],[],[],[],[],"[('and', 'silver', 20), ('and', 'pewter', 22), ('and', 'books', 25), ('and', 'goods', 29), ('and', 'furnishings', 31), ('and', 'linen', 33)]","['and', 'and', 'and', 'and', 'and', 'and']","[silver-20, pewter-22, books-25, goods-29, furnishings-31, linen-33]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,,,,
There were three trunks of jewellery . '',There/there/EX were/be/VBD three/three/CD trunks/trunk/NNS of/of/IN jewellery/jewellery/NN ././. ''/''/'' ,"ROOT (ROOT-0, were-2) expl (were-2, There-1) nummod (trunks-4, three-3) nsubj (were-2, trunks-4) case (jewellery-6, of-5) nmod:of (trunks-4, jewellery-6) punct (were-2, .-7) punct (were-2, ''-8) ",jewellery,6,"case (jewellery-6, of-5) nmod:of (trunks-4, jewellery-6) ",There were three trunks of jewellery . '',NN,[],,,,,[],[],[],,"[('of', 'trunks', 4)]",['of'],[],['trunks'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2006.txt_1.csv,0,0,0,0,unknown,,,,
Damage to the condom may occur while opening the packet or from fingernails or jewellery .,Damage/damage/NN to/to/TO the/the/DT condom/condom/NN may/may/MD occur/occur/VB while/while/IN opening/open/VBG the/the/DT packet/packet/NN or/or/CC from/from/IN fingernails/fingernail/NNS or/or/CC jewellery/jewellery/NN ././. ,"ROOT (ROOT-0, occur-6) nsubj (occur-6, Damage-1) case (condom-4, to-2) det (condom-4, the-3) nmod:to (Damage-1, condom-4) aux (occur-6, may-5) mark (opening-8, while-7) nmod (occur-6, opening-8) det (packet-10, the-9) dobj (opening-8, packet-10) cc (opening-8, or-11) case (fingernails-13, from-12) nmod (occur-6, fingernails-13) conj:or (opening-8, fingernails-13) cc (fingernails-13, or-14) conj:or (opening-8, jewellery-15) conj:or (fingernails-13, jewellery-15) punct (occur-6, .-16) ",jewellery,15,"conj:or (opening-8, jewellery-15) conj:or (fingernails-13, jewellery-15) ",packet or from fingernails or jewellery .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],"[('or', 'opening', 8), ('or', 'fingernails', 13)]","['or', 'or']","[opening-8, fingernails-13]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_1.csv,0,0,0,0,unknown,,,,
"CHILDREN </p> CHILD DEPORTATION </p> Camilla Pemberton speaks to actress Emily Watson who plays the Nottinghamshire social worker whose diligence exposed the child deportation scandal featured in the new film Oranges and Sunshine </p> Curled up , almost hiding , on an enormous sofa in a London hotel , Emily Watson is relaxed and dressed down : no make-up ; no jewellery ; a navy hoodie zipped up casually over a pink silk blouse .","CHILDREN/child/NNS </p>/</p>/VBP CHILD/child/NN DEPORTATION/deportation/NN </p>/</p>/NN Camilla/Camilla/NNP Pemberton/Pemberton/NNP speaks/speak/VBZ to/to/TO actress/actress/NN Emily/Emily/NNP Watson/Watson/NNP who/who/WP plays/play/VBZ the/the/DT Nottinghamshire/Nottinghamshire/NNP social/social/JJ worker/worker/NN whose/whose/WP$ diligence/diligence/NN exposed/expose/VBD the/the/DT child/child/NN deportation/deportation/NN scandal/scandal/NN featured/feature/VBD in/in/IN the/the/DT new/new/JJ film/film/NN Oranges/orange/NNS and/and/CC Sunshine/Sunshine/NNP </p>/</p>/NNP Curled/curl/VBD up/up/RP ,/,/, almost/almost/RB hiding/hide/VBG ,/,/, on/on/IN an/a/DT enormous/enormous/JJ sofa/sofa/NN in/in/IN a/a/DT London/London/NNP hotel/hotel/NN ,/,/, Emily/Emily/NNP Watson/Watson/NNP is/be/VBZ relaxed/relax/VBN and/and/CC dressed/dress/VBN down/down/RP :/:/: no/no/DT make-up/make-up/NN ;/;/: no/no/DT jewellery/jewellery/NN ;/;/: a/a/DT navy/navy/NN hoodie/hoodie/NN zipped/zip/VBD up/up/RP casually/casually/RB over/over/IN a/a/DT pink/pink/JJ silk/silk/NN blouse/blouse/NN ././. ","ROOT (ROOT-0, </p>-2) nsubj (</p>-2, CHILDREN-1) compound (Pemberton-7, CHILD-3) compound (Pemberton-7, DEPORTATION-4) compound (Pemberton-7, </p>-5) compound (Pemberton-7, Camilla-6) nsubj (speaks-8, Pemberton-7) ccomp (</p>-2, speaks-8) case (Watson-12, to-9) compound (Watson-12, actress-10) compound (Watson-12, Emily-11) nmod:to (speaks-8, Watson-12) nsubj (plays-14, Watson-12) ref (Watson-12, who-13) acl:relcl (Watson-12, plays-14) det (Nottinghamshire-16, the-15) iobj (plays-14, Nottinghamshire-16) amod (worker-18, social-17) dobj (plays-14, worker-18) nmod:poss (diligence-20, worker-18) ref (worker-18, whose-19) nsubj (exposed-21, diligence-20) acl:relcl (worker-18, exposed-21) det (scandal-25, the-22) compound (scandal-25, child-23) compound (scandal-25, deportation-24) nsubj (featured-26, scandal-25) dep (exposed-21, featured-26) case (Oranges-31, in-27) det (Oranges-31, the-28) amod (Oranges-31, new-29) compound (Oranges-31, film-30) nmod:in (featured-26, Oranges-31) cc (featured-26, and-32) compound (</p>-34, Sunshine-33) nsubj (Curled-35, </p>-34) dep (exposed-21, Curled-35) conj:and (featured-26, Curled-35) compound:prt (Curled-35, up-36) punct (Curled-35, ,-37) advmod (hiding-39, almost-38) xcomp (Curled-35, hiding-39) punct (relaxed-53, ,-40) case (sofa-44, on-41) det (sofa-44, an-42) amod (sofa-44, enormous-43) nmod:on (relaxed-53, sofa-44) case (hotel-48, in-45) det (hotel-48, a-46) compound (hotel-48, London-47) nmod:in (sofa-44, hotel-48) punct (relaxed-53, ,-49) compound (Watson-51, Emily-50) nsubjpass (relaxed-53, Watson-51) nsubjpass (dressed-55, Watson-51) auxpass (relaxed-53, is-52) ccomp (hiding-39, relaxed-53) cc (relaxed-53, and-54) ccomp (hiding-39, dressed-55) conj:and (relaxed-53, dressed-55) compound:prt (dressed-55, down-56) punct (plays-14, :-57) neg (make-up-59, no-58) parataxis (plays-14, make-up-59) punct (make-up-59, ;-60) neg (jewellery-62, no-61) dep (make-up-59, jewellery-62) punct (</p>-2, ;-63) det (hoodie-66, a-64) compound (hoodie-66, navy-65) nsubj (zipped-67, hoodie-66) parataxis (</p>-2, zipped-67) compound:prt (zipped-67, up-68) advmod (zipped-67, casually-69) case (blouse-74, over-70) det (blouse-74, a-71) amod (blouse-74, pink-72) compound (blouse-74, silk-73) nmod:over (zipped-67, blouse-74) punct (</p>-2, .-75) ",jewellery,62,"neg (jewellery-62, no-61) dep (make-up-59, jewellery-62) ",: no make-up ; no jewellery ; a navy hoodie zipped,NN,['no'],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_3.csv,0,0,0,0,unknown,,,,
She was wearing lots of jewellery ; I particularly admired the wide choker of pearls .,She/she/PRP was/be/VBD wearing/wear/VBG lots/lot/NNS of/of/IN jewellery/jewellery/NN ;/;/: I/I/PRP particularly/particularly/RB admired/admire/VBD the/the/DT wide/wide/JJ choker/choker/NN of/of/IN pearls/pearl/NNS ././. ,"ROOT (ROOT-0, wearing-3) nsubj (wearing-3, She-1) aux (wearing-3, was-2) det:qmod (jewellery-6, lots-4) mwe (lots-4, of-5) dobj (wearing-3, jewellery-6) punct (wearing-3, ;-7) nsubj (admired-10, I-8) advmod (admired-10, particularly-9) parataxis (wearing-3, admired-10) det (choker-13, the-11) amod (choker-13, wide-12) dobj (admired-10, choker-13) case (pearls-15, of-14) nmod:of (choker-13, pearls-15) punct (wearing-3, .-16) ",jewellery,6,"det:qmod (jewellery-6, lots-4) dobj (wearing-3, jewellery-6) ",She was wearing lots of jewellery ; I particularly admired the,NN,[],wearing-3,wear,VBG,object,[],[],['was'],,[],[],[],[],['lots'],['other'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_1.csv,0,0,0,0,unknown,lots of,non-Denumerator,non quantificational,
Her only jewellery was a plain band of steel round the third finger of her left hand .,Her/she/PRP$ only/only/JJ jewellery/jewellery/NN was/be/VBD a/a/DT plain/plain/JJ band/band/NN of/of/IN steel/steel/NN round/round/VBP the/the/DT third/third/JJ finger/finger/NN of/of/IN her/she/PRP$ left/left/JJ hand/hand/NN ././. ,"ROOT (ROOT-0, band-7) nmod:poss (jewellery-3, Her-1) amod (jewellery-3, only-2) nsubj (band-7, jewellery-3) cop (band-7, was-4) det (band-7, a-5) amod (band-7, plain-6) case (steel-9, of-8) nmod:of (band-7, steel-9) acl:relcl (band-7, round-10) det (finger-13, the-11) amod (finger-13, third-12) dobj (round-10, finger-13) case (hand-17, of-14) nmod:poss (hand-17, her-15) amod (hand-17, left-16) nmod:of (finger-13, hand-17) punct (band-7, .-18) ",jewellery,3,"nmod:poss (jewellery-3, Her-1) amod (jewellery-3, only-2) nsubj (band-7, jewellery-3) ",Her only jewellery was a plain band of,NN,[],was-4,,VBD,CopSubject,[],[],[],NN,[],[],[],[],[],[],[],[],[],[],[],['only'],[0.0175],[0.004375],[0.0175],[0.0025],[0.04],[0.005],[0.02479166666666667],[0.71375],[0.03916666666666666],[0.065625],[0.027291666666666665],[0.04],[0.0025],['Her'],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_2.csv,0,0,0,0,unknown,,,,
"STREET ( FLASHBACK - DAY We open on a smart , casually dressed man selling perfume and jewellery on a street corner .","STREET/STREET/NNP -LRB-/-lrb-/-LRB- FLASHBACK/FLASHBACK/NNP -/-/: DAY/day/NN We/we/PRP open/open/VBP on/on/IN a/a/DT smart/smart/JJ ,/,/, casually/casually/RB dressed/dress/VBN man/man/NN selling/sell/VBG perfume/perfume/NN and/and/CC jewellery/jewellery/NN on/on/IN a/a/DT street/street/NN corner/corner/NN ././. ","ROOT (ROOT-0, FLASHBACK-3) compound (FLASHBACK-3, STREET-1) punct (FLASHBACK-3, (-2) punct (FLASHBACK-3, --4) dep (FLASHBACK-3, DAY-5) nsubj (open-7, We-6) acl:relcl (DAY-5, open-7) case (smart-10, on-8) det (smart-10, a-9) nmod:on (open-7, smart-10) punct (smart-10, ,-11) advmod (dressed-13, casually-12) acl (smart-10, dressed-13) dobj (dressed-13, man-14) xcomp (dressed-13, selling-15) dobj (selling-15, perfume-16) cc (perfume-16, and-17) dobj (selling-15, jewellery-18) conj:and (perfume-16, jewellery-18) case (corner-22, on-19) det (corner-22, a-20) compound (corner-22, street-21) nmod:on (selling-15, corner-22) punct (FLASHBACK-3, .-23) ",jewellery,18,"dobj (selling-15, jewellery-18) conj:and (perfume-16, jewellery-18) ",dressed man selling perfume and jewellery on a street corner .,NN,[],selling-15,sell,VBG,object,[],[],[],,[],[],[],[],[],[],"[('and', 'perfume', 16)]",['and'],[perfume-16],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_2.csv,0,0,0,0,unknown,,,,
( All jewellery must be surrendered . ),-LRB-/-lrb-/-LRB- All/all/DT jewellery/jewellery/NN must/must/MD be/be/VB surrendered/surrender/VBN ././. -RRB-/-rrb-/-RRB- ,"ROOT (ROOT-0, surrendered-6) punct (surrendered-6, (-1) det (jewellery-3, All-2) nsubjpass (surrendered-6, jewellery-3) aux (surrendered-6, must-4) auxpass (surrendered-6, be-5) punct (surrendered-6, .-7) punct (surrendered-6, )-8) ",jewellery,3,"det (jewellery-3, All-2) nsubjpass (surrendered-6, jewellery-3) ",( All jewellery must be surrendered . ),NN,[],surrendered-6,surrender,VBN,passive,[],[],['must'],,[],[],[],[],['All'],['quantifier'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],must,[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1997.txt_1.csv,0,0,1,0,uncountable,,,,
