Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"With this machine they took turns producing knitwear which they sold first to friends and neighbors , but which their husbands now sell to several shops in San Isidro .","With/with/IN this/this/DT machine/machine/NN they/they/PRP took/take/VBD turns/turn/VBZ producing/produce/VBG knitwear/knitwear/NN which/which/WDT they/they/PRP sold/sell/VBD first/first/RB to/to/TO friends/friend/NNS and/and/CC neighbors/neighbor/NNS ,/,/, but/but/CC which/which/WDT their/they/PRP$ husbands/husband/NNS now/now/RB sell/sell/VBP to/to/TO several/several/JJ shops/shop/NNS in/in/IN San/San/NNP Isidro/Isidro/NNP ././. ","ROOT (ROOT-0, took-5) case (machine-3, With-1) det (machine-3, this-2) nmod:with (took-5, machine-3) nsubj (took-5, they-4) dep (took-5, turns-6) xcomp (turns-6, producing-7) dobj (producing-7, knitwear-8) dobj (sold-11, knitwear-8) ref (knitwear-8, which-9) nsubj (sold-11, they-10) acl:relcl (knitwear-8, sold-11) advmod (sold-11, first-12) case (friends-14, to-13) nmod:to (sold-11, friends-14) cc (friends-14, and-15) nmod:to (sold-11, neighbors-16) conj:and (friends-14, neighbors-16) punct (turns-6, ,-17) cc (turns-6, but-18) dobj (sell-23, which-19) nmod:poss (husbands-21, their-20) nsubj (sell-23, husbands-21) advmod (sell-23, now-22) dep (took-5, sell-23) conj:but (turns-6, sell-23) case (shops-26, to-24) amod (shops-26, several-25) nmod:to (sell-23, shops-26) case (Isidro-29, in-27) compound (Isidro-29, San-28) nmod:in (shops-26, Isidro-29) punct (took-5, .-30) ",knitwear,8,"dobj (producing-7, knitwear-8) dobj (sold-11, knitwear-8) ref (knitwear-8, which-9) acl:relcl (knitwear-8, sold-11) ",machine they took turns producing knitwear which they sold first to,NN,[],producing-7,produce,VBG,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1997.txt_2.csv,0,0,0,0,unknown,,,,
"Knitwear , meatpacking , metal working , and graphic arts are the main economic supports of Olot today .","Knitwear/knitwear/NN ,/,/, meatpacking/meatpacking/NN ,/,/, metal/metal/NN working/working/NN ,/,/, and/and/CC graphic/graphic/JJ arts/art/NNS are/be/VBP the/the/DT main/main/JJ economic/economic/JJ supports/support/NNS of/of/IN Olot/olot/JJ today/today/NN ././. ","ROOT (ROOT-0, supports-15) nsubj (supports-15, Knitwear-1) punct (Knitwear-1, ,-2) conj:and (Knitwear-1, meatpacking-3) nsubj (supports-15, meatpacking-3) punct (Knitwear-1, ,-4) compound (working-6, metal-5) conj:and (Knitwear-1, working-6) nsubj (supports-15, working-6) punct (Knitwear-1, ,-7) cc (Knitwear-1, and-8) amod (arts-10, graphic-9) conj:and (Knitwear-1, arts-10) nsubj (supports-15, arts-10) cop (supports-15, are-11) det (supports-15, the-12) amod (supports-15, main-13) amod (supports-15, economic-14) case (today-18, of-16) amod (today-18, Olot-17) nmod:of (supports-15, today-18) punct (supports-15, .-19) ",knitwear,1,"nsubj (supports-15, Knitwear-1) punct (Knitwear-1, ,-2) conj:and (Knitwear-1, meatpacking-3) punct (Knitwear-1, ,-4) conj:and (Knitwear-1, working-6) punct (Knitwear-1, ,-7) cc (Knitwear-1, and-8) conj:and (Knitwear-1, arts-10) ","Knitwear , meatpacking , metal working",NN,[],are-11,,VBP,CopSubject,[],[],[],NNS,[],[],[],[],[],[],"[('and', 'meatpacking', 3), ('and', 'working', 6), ('and', 'arts', 10)]","['and', 'and', 'and']","[meatpacking-3, working-6, arts-10]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/done/w_acad_2003.txt_1.csv,0,0,0,0,unknown,,,,
Past the Highland Knitwear Centre .,Past/past/JJ the/the/DT Highland/Highland/NNP Knitwear/Knitwear/NNP Centre/Centre/NNP ././. ,"ROOT (ROOT-0, Past-1) det (Centre-5, the-2) compound (Centre-5, Highland-3) compound (Centre-5, Knitwear-4) dep (Past-1, Centre-5) punct (Past-1, .-6) ",Knitwear,4,"compound (Centre-5, Knitwear-4) ",Past the Highland Knitwear Centre .,NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['Centre'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_1.csv,0,0,0,0,unknown,,,,
"In the ready-to-wear sector ( which covers everything from men 's and ladies ' suits to jeans and knitwear ) , Italy 's preeminence is largely based on productive specialization in weaving and spinning .","In/in/IN the/the/DT ready-to-wear/ready-to-wear/JJ sector/sector/NN -LRB-/-lrb-/-LRB- which/which/WDT covers/cover/VBZ everything/everything/NN from/from/IN men/man/NNS 's/'s/POS and/and/CC ladies/lady/NNS '/'/POS suits/suit/NNS to/to/TO jeans/jeans/NNS and/and/CC knitwear/knitwear/NN -RRB-/-rrb-/-RRB- ,/,/, Italy/Italy/NNP 's/'s/POS preeminence/preeminence/NN is/be/VBZ largely/largely/RB based/base/VBN on/on/IN productive/productive/JJ specialization/specialization/NN in/in/IN weaving/weave/VBG and/and/CC spinning/spin/VBG ././. ","ROOT (ROOT-0, based-27) case (sector-4, In-1) det (sector-4, the-2) amod (sector-4, ready-to-wear-3) nmod:in (based-27, sector-4) punct (covers-7, (-5) nsubj (covers-7, which-6) dep (sector-4, covers-7) dobj (covers-7, everything-8) case (men-10, from-9) nmod:'s (covers-7, men-10) case (men-10, 's-11) cc (men-10, and-12) nmod:poss (suits-15, ladies-13) case (ladies-13, '-14) nmod:'s (covers-7, suits-15) conj:and (men-10, suits-15) case (jeans-17, to-16) nmod:to (suits-15, jeans-17) cc (jeans-17, and-18) nmod:to (suits-15, knitwear-19) conj:and (jeans-17, knitwear-19) punct (covers-7, )-20) punct (based-27, ,-21) nmod:poss (preeminence-24, Italy-22) case (Italy-22, 's-23) nsubjpass (based-27, preeminence-24) auxpass (based-27, is-25) advmod (based-27, largely-26) case (specialization-30, on-28) amod (specialization-30, productive-29) nmod:on (based-27, specialization-30) mark (weaving-32, in-31) advcl:in (based-27, weaving-32) cc (weaving-32, and-33) advcl:in (based-27, spinning-34) conj:and (weaving-32, spinning-34) punct (based-27, .-35) ",knitwear,19,"nmod:to (suits-15, knitwear-19) conj:and (jeans-17, knitwear-19) ","' suits to jeans and knitwear ) , Italy 's preeminence",NN,[],,,,,[],[],[],,"[('to', 'suits', 15)]",['to'],[],['suits'],[],[],"[('and', 'jeans', 17)]",['and'],[jeans-17],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2002.txt_1.csv,0,0,0,0,unknown,,,,
"The famed creativity of Italian knitwear starts with this variety of materials and is reinforced by a long-established tradition of excellence in outer knitwear , a specialization that includes knitted underwear , men 's and ladies ' hosiery , and coverage of 7211/o of worldwide production of ladies ' stockings and tights .","The/the/DT famed/famed/JJ creativity/creativity/NN of/of/IN Italian/italian/JJ knitwear/knitwear/NN starts/start/VBZ with/with/IN this/this/DT variety/variety/NN of/of/IN materials/material/NNS and/and/CC is/be/VBZ reinforced/reinforce/VBN by/by/IN a/a/DT long-established/long-established/JJ tradition/tradition/NN of/of/IN excellence/excellence/NN in/in/IN outer/outer/JJ knitwear/knitwear/NN ,/,/, a/a/DT specialization/specialization/NN that/that/WDT includes/include/VBZ knitted/knit/VBN underwear/underwear/NN ,/,/, men/man/NNS 's/'s/POS and/and/CC ladies/lady/NNS '/'/POS hosiery/hosiery/NN ,/,/, and/and/CC coverage/coverage/NN of/of/IN 7211/o/7211/o/NN of/of/IN worldwide/worldwide/JJ production/production/NN of/of/IN ladies/lady/NNS '/'/POS stockings/stocking/NNS and/and/CC tights/tights/NNS ././. ","ROOT (ROOT-0, starts-7) det (creativity-3, The-1) amod (creativity-3, famed-2) nsubj (starts-7, creativity-3) nsubjpass (reinforced-15, creativity-3) case (knitwear-6, of-4) amod (knitwear-6, Italian-5) nmod:of (creativity-3, knitwear-6) case (variety-10, with-8) det (variety-10, this-9) nmod:with (starts-7, variety-10) case (materials-12, of-11) nmod:of (variety-10, materials-12) cc (starts-7, and-13) auxpass (reinforced-15, is-14) conj:and (starts-7, reinforced-15) case (tradition-19, by-16) det (tradition-19, a-17) amod (tradition-19, long-established-18) nmod:agent (reinforced-15, tradition-19) case (excellence-21, of-20) nmod:of (tradition-19, excellence-21) case (knitwear-24, in-22) amod (knitwear-24, outer-23) nmod:in (excellence-21, knitwear-24) punct (knitwear-24, ,-25) det (specialization-27, a-26) appos (knitwear-24, specialization-27) nsubj (includes-29, specialization-27) ref (specialization-27, that-28) acl:relcl (specialization-27, includes-29) dep (includes-29, knitted-30) dobj (knitted-30, underwear-31) punct (specialization-27, ,-32) nmod:poss (hosiery-38, men-33) case (men-33, 's-34) cc (men-33, and-35) conj:and (men-33, ladies-36) nmod:poss (hosiery-38, ladies-36) case (ladies-36, '-37) appos (knitwear-24, hosiery-38) conj:and (specialization-27, hosiery-38) nsubj (includes-29, hosiery-38) punct (specialization-27, ,-39) cc (specialization-27, and-40) appos (knitwear-24, coverage-41) conj:and (specialization-27, coverage-41) nsubj (includes-29, coverage-41) case (7211/o-43, of-42) nmod:of (coverage-41, 7211/o-43) case (production-46, of-44) amod (production-46, worldwide-45) nmod:of (7211/o-43, production-46) case (stockings-50, of-47) nmod:poss (stockings-50, ladies-48) case (ladies-48, '-49) nmod:of (production-46, stockings-50) cc (stockings-50, and-51) nmod:of (production-46, tights-52) conj:and (stockings-50, tights-52) punct (starts-7, .-53) ",knitwear,6,"case (knitwear-6, of-4) amod (knitwear-6, Italian-5) nmod:of (creativity-3, knitwear-6) ",The famed creativity of Italian knitwear starts with this variety of,NN,[],,,,,[],[],[],,"[('of', 'creativity', 3)]",['of'],[],['creativity'],[],[],[],[],[],[],[],['Italian'],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2002.txt_1.csv,0,0,0,0,unknown,,,,
"The famed creativity of Italian knitwear starts with this variety of materials and is reinforced by a long-established tradition of excellence in outer knitwear , a specialization that includes knitted underwear , men 's and ladies ' hosiery , and coverage of 7211/o of worldwide production of ladies ' stockings and tights .","The/the/DT famed/famed/JJ creativity/creativity/NN of/of/IN Italian/italian/JJ knitwear/knitwear/NN starts/start/VBZ with/with/IN this/this/DT variety/variety/NN of/of/IN materials/material/NNS and/and/CC is/be/VBZ reinforced/reinforce/VBN by/by/IN a/a/DT long-established/long-established/JJ tradition/tradition/NN of/of/IN excellence/excellence/NN in/in/IN outer/outer/JJ knitwear/knitwear/NN ,/,/, a/a/DT specialization/specialization/NN that/that/WDT includes/include/VBZ knitted/knit/VBN underwear/underwear/NN ,/,/, men/man/NNS 's/'s/POS and/and/CC ladies/lady/NNS '/'/POS hosiery/hosiery/NN ,/,/, and/and/CC coverage/coverage/NN of/of/IN 7211/o/7211/o/NN of/of/IN worldwide/worldwide/JJ production/production/NN of/of/IN ladies/lady/NNS '/'/POS stockings/stocking/NNS and/and/CC tights/tights/NNS ././. ","ROOT (ROOT-0, starts-7) det (creativity-3, The-1) amod (creativity-3, famed-2) nsubj (starts-7, creativity-3) nsubjpass (reinforced-15, creativity-3) case (knitwear-6, of-4) amod (knitwear-6, Italian-5) nmod:of (creativity-3, knitwear-6) case (variety-10, with-8) det (variety-10, this-9) nmod:with (starts-7, variety-10) case (materials-12, of-11) nmod:of (variety-10, materials-12) cc (starts-7, and-13) auxpass (reinforced-15, is-14) conj:and (starts-7, reinforced-15) case (tradition-19, by-16) det (tradition-19, a-17) amod (tradition-19, long-established-18) nmod:agent (reinforced-15, tradition-19) case (excellence-21, of-20) nmod:of (tradition-19, excellence-21) case (knitwear-24, in-22) amod (knitwear-24, outer-23) nmod:in (excellence-21, knitwear-24) punct (knitwear-24, ,-25) det (specialization-27, a-26) appos (knitwear-24, specialization-27) nsubj (includes-29, specialization-27) ref (specialization-27, that-28) acl:relcl (specialization-27, includes-29) dep (includes-29, knitted-30) dobj (knitted-30, underwear-31) punct (specialization-27, ,-32) nmod:poss (hosiery-38, men-33) case (men-33, 's-34) cc (men-33, and-35) conj:and (men-33, ladies-36) nmod:poss (hosiery-38, ladies-36) case (ladies-36, '-37) appos (knitwear-24, hosiery-38) conj:and (specialization-27, hosiery-38) nsubj (includes-29, hosiery-38) punct (specialization-27, ,-39) cc (specialization-27, and-40) appos (knitwear-24, coverage-41) conj:and (specialization-27, coverage-41) nsubj (includes-29, coverage-41) case (7211/o-43, of-42) nmod:of (coverage-41, 7211/o-43) case (production-46, of-44) amod (production-46, worldwide-45) nmod:of (7211/o-43, production-46) case (stockings-50, of-47) nmod:poss (stockings-50, ladies-48) case (ladies-48, '-49) nmod:of (production-46, stockings-50) cc (stockings-50, and-51) nmod:of (production-46, tights-52) conj:and (stockings-50, tights-52) punct (starts-7, .-53) ",knitwear,24,"case (knitwear-24, in-22) amod (knitwear-24, outer-23) nmod:in (excellence-21, knitwear-24) punct (knitwear-24, ,-25) appos (knitwear-24, specialization-27) appos (knitwear-24, hosiery-38) appos (knitwear-24, coverage-41) ","tradition of excellence in outer knitwear , a specialization that includes",NN,[],,,,,[],[],[],,"[('in', 'excellence', 21)]",['in'],[],['excellence'],[],[],[],[],[],[],[],['outer'],[0.02],[0.075],[0.005],[0.01125],[0.04125],[0.09],[0.020416666666666666],[0.0525],[0.105],[0.2914583333333333],[0.225],[0.050625],[0.0125],[],[],[],['in'],[],"['modified', 'specialization', 'modified', 'hosiery', 'modified', 'coverage']",[],"['specialization', 'hosiery', 'coverage']",[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2002.txt_1.csv,0,0,0,0,unknown,,,,
"The famed creativity of Italian knitwear starts with this variety of materials and is reinforced by a long established tradition of excellence in outer knitwear , a specialization that includes knitted underwear , men 's and ladies ' hosiery , and coverage of 72% of workable production of ladies ' stockings and tights .","The/the/DT famed/famed/JJ creativity/creativity/NN of/of/IN Italian/italian/JJ knitwear/knitwear/NN starts/start/VBZ with/with/IN this/this/DT variety/variety/NN of/of/IN materials/material/NNS and/and/CC is/be/VBZ reinforced/reinforce/VBN by/by/IN a/a/DT long/long/JJ established/established/JJ tradition/tradition/NN of/of/IN excellence/excellence/NN in/in/IN outer/outer/JJ knitwear/knitwear/NN ,/,/, a/a/DT specialization/specialization/NN that/that/WDT includes/include/VBZ knitted/knit/VBN underwear/underwear/NN ,/,/, men/man/NNS 's/'s/POS and/and/CC ladies/lady/NNS '/'/POS hosiery/hosiery/NN ,/,/, and/and/CC coverage/coverage/NN of/of/IN 72/72/CD %/%/NN of/of/IN workable/workable/JJ production/production/NN of/of/IN ladies/lady/NNS '/'/POS stockings/stocking/NNS and/and/CC tights/tights/NNS ././. ","ROOT (ROOT-0, starts-7) det (creativity-3, The-1) amod (creativity-3, famed-2) nsubj (starts-7, creativity-3) nsubjpass (reinforced-15, creativity-3) case (knitwear-6, of-4) amod (knitwear-6, Italian-5) nmod:of (creativity-3, knitwear-6) case (variety-10, with-8) det (variety-10, this-9) nmod:with (starts-7, variety-10) case (materials-12, of-11) nmod:of (variety-10, materials-12) cc (starts-7, and-13) auxpass (reinforced-15, is-14) conj:and (starts-7, reinforced-15) case (hosiery-39, by-16) det (hosiery-39, a-17) amod (hosiery-39, long-18) amod (tradition-20, established-19) dep (long-18, tradition-20) case (excellence-22, of-21) nmod:of (tradition-20, excellence-22) case (knitwear-25, in-23) amod (knitwear-25, outer-24) nmod:in (excellence-22, knitwear-25) punct (tradition-20, ,-26) det (specialization-28, a-27) appos (tradition-20, specialization-28) nsubj (includes-30, specialization-28) ref (specialization-28, that-29) acl:relcl (specialization-28, includes-30) dep (includes-30, knitted-31) dobj (knitted-31, underwear-32) punct (underwear-32, ,-33) appos (underwear-32, men-34) case (men-34, 's-35) cc (men-34, and-36) appos (underwear-32, ladies-37) conj:and (men-34, ladies-37) case (ladies-37, '-38) nmod:agent (reinforced-15, hosiery-39) punct (hosiery-39, ,-40) cc (hosiery-39, and-41) nmod:agent (reinforced-15, coverage-42) conj:and (hosiery-39, coverage-42) case (%-45, of-43) nummod (%-45, 72-44) nmod:of (coverage-42, %-45) case (production-48, of-46) amod (production-48, workable-47) nmod:of (%-45, production-48) case (stockings-52, of-49) nmod:poss (stockings-52, ladies-50) case (ladies-50, '-51) nmod:of (production-48, stockings-52) cc (stockings-52, and-53) nmod:of (production-48, tights-54) conj:and (stockings-52, tights-54) punct (starts-7, .-55) ",knitwear,6,"case (knitwear-6, of-4) amod (knitwear-6, Italian-5) nmod:of (creativity-3, knitwear-6) ",The famed creativity of Italian knitwear starts with this variety of,NN,[],,,,,[],[],[],,"[('of', 'creativity', 3)]",['of'],[],['creativity'],[],[],[],[],[],[],[],['Italian'],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2002.txt_1.csv,0,0,0,0,unknown,,,,
"The famed creativity of Italian knitwear starts with this variety of materials and is reinforced by a long established tradition of excellence in outer knitwear , a specialization that includes knitted underwear , men 's and ladies ' hosiery , and coverage of 72% of workable production of ladies ' stockings and tights .","The/the/DT famed/famed/JJ creativity/creativity/NN of/of/IN Italian/italian/JJ knitwear/knitwear/NN starts/start/VBZ with/with/IN this/this/DT variety/variety/NN of/of/IN materials/material/NNS and/and/CC is/be/VBZ reinforced/reinforce/VBN by/by/IN a/a/DT long/long/JJ established/established/JJ tradition/tradition/NN of/of/IN excellence/excellence/NN in/in/IN outer/outer/JJ knitwear/knitwear/NN ,/,/, a/a/DT specialization/specialization/NN that/that/WDT includes/include/VBZ knitted/knit/VBN underwear/underwear/NN ,/,/, men/man/NNS 's/'s/POS and/and/CC ladies/lady/NNS '/'/POS hosiery/hosiery/NN ,/,/, and/and/CC coverage/coverage/NN of/of/IN 72/72/CD %/%/NN of/of/IN workable/workable/JJ production/production/NN of/of/IN ladies/lady/NNS '/'/POS stockings/stocking/NNS and/and/CC tights/tights/NNS ././. ","ROOT (ROOT-0, starts-7) det (creativity-3, The-1) amod (creativity-3, famed-2) nsubj (starts-7, creativity-3) nsubjpass (reinforced-15, creativity-3) case (knitwear-6, of-4) amod (knitwear-6, Italian-5) nmod:of (creativity-3, knitwear-6) case (variety-10, with-8) det (variety-10, this-9) nmod:with (starts-7, variety-10) case (materials-12, of-11) nmod:of (variety-10, materials-12) cc (starts-7, and-13) auxpass (reinforced-15, is-14) conj:and (starts-7, reinforced-15) case (hosiery-39, by-16) det (hosiery-39, a-17) amod (hosiery-39, long-18) amod (tradition-20, established-19) dep (long-18, tradition-20) case (excellence-22, of-21) nmod:of (tradition-20, excellence-22) case (knitwear-25, in-23) amod (knitwear-25, outer-24) nmod:in (excellence-22, knitwear-25) punct (tradition-20, ,-26) det (specialization-28, a-27) appos (tradition-20, specialization-28) nsubj (includes-30, specialization-28) ref (specialization-28, that-29) acl:relcl (specialization-28, includes-30) dep (includes-30, knitted-31) dobj (knitted-31, underwear-32) punct (underwear-32, ,-33) appos (underwear-32, men-34) case (men-34, 's-35) cc (men-34, and-36) appos (underwear-32, ladies-37) conj:and (men-34, ladies-37) case (ladies-37, '-38) nmod:agent (reinforced-15, hosiery-39) punct (hosiery-39, ,-40) cc (hosiery-39, and-41) nmod:agent (reinforced-15, coverage-42) conj:and (hosiery-39, coverage-42) case (%-45, of-43) nummod (%-45, 72-44) nmod:of (coverage-42, %-45) case (production-48, of-46) amod (production-48, workable-47) nmod:of (%-45, production-48) case (stockings-52, of-49) nmod:poss (stockings-52, ladies-50) case (ladies-50, '-51) nmod:of (production-48, stockings-52) cc (stockings-52, and-53) nmod:of (production-48, tights-54) conj:and (stockings-52, tights-54) punct (starts-7, .-55) ",knitwear,25,"case (knitwear-25, in-23) amod (knitwear-25, outer-24) nmod:in (excellence-22, knitwear-25) ","tradition of excellence in outer knitwear , a specialization that includes",NN,[],,,,,[],[],[],,"[('in', 'excellence', 22)]",['in'],[],['excellence'],[],[],[],[],[],[],[],['outer'],[0.02],[0.075],[0.005],[0.01125],[0.04125],[0.09],[0.020416666666666666],[0.0525],[0.105],[0.2914583333333333],[0.225],[0.050625],[0.0125],[],[],[],['in'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2002.txt_1.csv,0,0,0,0,unknown,,,,
The knitwear on these pages is by KD dance .,The/the/DT knitwear/knitwear/NN on/on/IN these/these/DT pages/page/NNS is/be/VBZ by/by/IN KD/kd/NN dance/dance/NN ././. ,"ROOT (ROOT-0, dance-9) det (knitwear-2, The-1) nsubj (dance-9, knitwear-2) case (pages-5, on-3) det (pages-5, these-4) nmod:on (knitwear-2, pages-5) cop (dance-9, is-6) case (dance-9, by-7) compound (dance-9, KD-8) punct (dance-9, .-10) ",knitwear,2,"det (knitwear-2, The-1) nsubj (dance-9, knitwear-2) nmod:on (knitwear-2, pages-5) ",The knitwear on these pages is by,NN,[],is-6,,VBZ,CopSubject,[],[],[],NN,"[('on', 'pages', 5)]",['on'],['pages'],[],['The'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2002.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"CLOTHES : Giorgio Armani designs organic-denim jeans and organic-cotton knitwear , and Serfontaine ( serfontaine.com ) makes beautiful organic jeans .","CLOTHES/clothes/NNS :/:/: Giorgio/Giorgio/NNP Armani/Armani/NNP designs/design/VBZ organic-denim/organic-denim/JJ jeans/jeans/NNS and/and/CC organic-cotton/organic-cotton/JJ knitwear/knitwear/NN ,/,/, and/and/CC Serfontaine/serfontaine/NN -LRB-/-lrb-/-LRB- serfontaine.com/serfontaine.com/NN -RRB-/-rrb-/-RRB- makes/make/VBZ beautiful/beautiful/JJ organic/organic/JJ jeans/jeans/NNS ././. ","ROOT (ROOT-0, CLOTHES-1) punct (CLOTHES-1, :-2) compound (Armani-4, Giorgio-3) nsubj (designs-5, Armani-4) appos (CLOTHES-1, designs-5) amod (jeans-7, organic-denim-6) dobj (designs-5, jeans-7) cc (jeans-7, and-8) amod (knitwear-10, organic-cotton-9) dobj (designs-5, knitwear-10) conj:and (jeans-7, knitwear-10) punct (designs-5, ,-11) cc (designs-5, and-12) nsubj (makes-17, Serfontaine-13) punct (serfontaine.com-15, (-14) appos (Serfontaine-13, serfontaine.com-15) punct (serfontaine.com-15, )-16) appos (CLOTHES-1, makes-17) conj:and (designs-5, makes-17) amod (jeans-20, beautiful-18) amod (jeans-20, organic-19) dobj (makes-17, jeans-20) punct (CLOTHES-1, .-21) ",knitwear,10,"amod (knitwear-10, organic-cotton-9) dobj (designs-5, knitwear-10) conj:and (jeans-7, knitwear-10) ","designs organic-denim jeans and organic-cotton knitwear , and Serfontaine ( serfontaine.com",NN,[],designs-5,design,VBZ,object,[],[],[],,[],[],[],[],[],[],"[('and', 'jeans', 7)]",['and'],[jeans-7],[],[],['organic-cotton'],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2005.txt_1.csv,0,0,0,0,unknown,,,,
