Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"For instance , large-scale investment in petrochemicals on the mainland might be opposed on the grounds that investors in other industries that use these products as inputs , such as luggage and handbags , will follow suit .","For/for/IN instance/instance/NN ,/,/, large-scale/large-scale/JJ investment/investment/NN in/in/IN petrochemicals/petrochemical/NNS on/on/IN the/the/DT mainland/mainland/NN might/might/MD be/be/VB opposed/oppose/VBN on/on/IN the/the/DT grounds/grounds/NNS that/that/IN investors/investor/NNS in/in/IN other/other/JJ industries/industry/NNS that/that/WDT use/use/VBP these/these/DT products/product/NNS as/as/IN inputs/input/NNS ,/,/, such/such/JJ as/as/IN luggage/luggage/NN and/and/CC handbags/handbag/NNS ,/,/, will/will/MD follow/follow/VB suit/suit/NN ././. ","ROOT (ROOT-0, opposed-13) case (instance-2, For-1) nmod:for (opposed-13, instance-2) punct (opposed-13, ,-3) amod (investment-5, large-scale-4) nsubjpass (opposed-13, investment-5) case (petrochemicals-7, in-6) nmod:in (investment-5, petrochemicals-7) case (mainland-10, on-8) det (mainland-10, the-9) nmod:on (petrochemicals-7, mainland-10) aux (opposed-13, might-11) auxpass (opposed-13, be-12) case (grounds-16, on-14) det (grounds-16, the-15) nmod:on (opposed-13, grounds-16) mark (follow-36, that-17) nsubj (follow-36, investors-18) case (industries-21, in-19) amod (industries-21, other-20) nmod:in (investors-18, industries-21) nsubj (use-23, industries-21) ref (industries-21, that-22) acl:relcl (industries-21, use-23) det (products-25, these-24) dobj (use-23, products-25) case (inputs-27, as-26) nmod:as (use-23, inputs-27) punct (inputs-27, ,-28) case (luggage-31, such-29) mwe (such-29, as-30) nmod:such_as (inputs-27, luggage-31) cc (luggage-31, and-32) nmod:such_as (inputs-27, handbags-33) conj:and (luggage-31, handbags-33) punct (inputs-27, ,-34) aux (follow-36, will-35) ccomp (opposed-13, follow-36) dobj (follow-36, suit-37) punct (opposed-13, .-38) ",luggage,31,"case (luggage-31, such-29) nmod:such_as (inputs-27, luggage-31) cc (luggage-31, and-32) conj:and (luggage-31, handbags-33) ","as inputs , such as luggage and handbags , will follow",NN,[],,,,,[],[],[],,"[('such_as', 'inputs', 27)]",['such_as'],[],['inputs'],[],[],"[('and', 'handbags', 33)]",['and'],[handbags-33],[],[],[],,,,,,,,,,,,,,[],[],[],['such'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
"Important documents such as passports , credential files , teaching certificates , health records , birth certificates , and children 's school records should be hand carried , preferably in carry-on luggage .","Important/important/JJ documents/document/NNS such/such/JJ as/as/IN passports/passport/NNS ,/,/, credential/credential/NN files/file/NNS ,/,/, teaching/teach/VBG certificates/certificate/NNS ,/,/, health/health/NN records/record/NNS ,/,/, birth/birth/NN certificates/certificate/NNS ,/,/, and/and/CC children/child/NNS 's/'s/POS school/school/NN records/record/NNS should/should/MD be/be/VB hand/hand/NN carried/carry/VBD ,/,/, preferably/preferably/RB in/in/IN carry-on/carry-on/JJ luggage/luggage/NN ././. ","ROOT (ROOT-0, hand-26) amod (documents-2, Important-1) nsubj (hand-26, documents-2) case (passports-5, such-3) mwe (such-3, as-4) nmod:such_as (documents-2, passports-5) punct (passports-5, ,-6) compound (files-8, credential-7) appos (passports-5, files-8) punct (hand-26, ,-9) advcl (hand-26, teaching-10) dobj (teaching-10, certificates-11) punct (hand-26, ,-12) compound (records-14, health-13) nsubj (hand-26, records-14) punct (records-14, ,-15) compound (certificates-17, birth-16) appos (records-14, certificates-17) punct (records-14, ,-18) cc (records-14, and-19) nmod:poss (records-23, children-20) case (children-20, 's-21) compound (records-23, school-22) conj:and (records-14, records-23) nsubj (hand-26, records-23) aux (hand-26, should-24) cop (hand-26, be-25) acl:relcl (hand-26, carried-27) punct (hand-26, ,-28) advmod (luggage-32, preferably-29) case (luggage-32, in-30) amod (luggage-32, carry-on-31) nmod:in (hand-26, luggage-32) punct (hand-26, .-33) ",luggage,32,"advmod (luggage-32, preferably-29) case (luggage-32, in-30) amod (luggage-32, carry-on-31) nmod:in (hand-26, luggage-32) ","carried , preferably in carry-on luggage .",NN,[],,,,,[],[],[],,"[('in', 'hand', 26)]",['in'],[],['hand'],[],[],[],[],[],[],[],['carry-on'],,,,,,,,,,,,,,[],[],[],['in'],['preferably'],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,,,,
"The platform was jammed with luggage held together with string and men wearing dark , ill-fitting raincoats , which suggested a convention of spies .","The/the/DT platform/platform/NN was/be/VBD jammed/jam/VBN with/with/IN luggage/luggage/NN held/hold/VBN together/together/RB with/with/IN string/string/NN and/and/CC men/man/NNS wearing/wear/VBG dark/dark/JJ ,/,/, ill-fitting/ill-fitting/JJ raincoats/raincoat/NNS ,/,/, which/which/WDT suggested/suggest/VBD a/a/DT convention/convention/NN of/of/IN spies/spy/NNS ././. ","ROOT (ROOT-0, jammed-4) det (platform-2, The-1) nsubjpass (jammed-4, platform-2) auxpass (jammed-4, was-3) case (luggage-6, with-5) nmod:with (jammed-4, luggage-6) acl (luggage-6, held-7) advmod (held-7, together-8) case (string-10, with-9) nmod:with (held-7, string-10) cc (string-10, and-11) nmod:with (held-7, men-12) conj:and (string-10, men-12) xcomp (held-7, wearing-13) amod (raincoats-17, dark-14) punct (raincoats-17, ,-15) amod (raincoats-17, ill-fitting-16) dobj (wearing-13, raincoats-17) nsubj (suggested-20, raincoats-17) punct (raincoats-17, ,-18) ref (raincoats-17, which-19) acl:relcl (raincoats-17, suggested-20) det (convention-22, a-21) dobj (suggested-20, convention-22) case (spies-24, of-23) nmod:of (convention-22, spies-24) punct (jammed-4, .-25) ",luggage,6,"case (luggage-6, with-5) nmod:with (jammed-4, luggage-6) acl (luggage-6, held-7) ",The platform was jammed with luggage held together with string and,NN,[],,,,,[],[],[],,"[('with', 'jammed', 4)]",['with'],[],['jammed'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['with'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_1.csv,0,0,0,0,unknown,,,,
"Items subject to reduced rates include cut flowers , leather handbags , luggage and vegetables .","Items/item/NNS subject/subject/JJ to/to/TO reduced/reduce/VBN rates/rate/NNS include/include/VBP cut/cut/VBN flowers/flower/NNS ,/,/, leather/leather/NN handbags/handbag/NNS ,/,/, luggage/luggage/NN and/and/CC vegetables/vegetable/NNS ././. ","ROOT (ROOT-0, include-6) nsubj (include-6, Items-1) amod (Items-1, subject-2) case (rates-5, to-3) amod (rates-5, reduced-4) nmod:to (subject-2, rates-5) dep (include-6, cut-7) dobj (cut-7, flowers-8) punct (flowers-8, ,-9) compound (handbags-11, leather-10) dobj (cut-7, handbags-11) conj:and (flowers-8, handbags-11) punct (flowers-8, ,-12) dobj (cut-7, luggage-13) conj:and (flowers-8, luggage-13) cc (flowers-8, and-14) dobj (cut-7, vegetables-15) conj:and (flowers-8, vegetables-15) punct (include-6, .-16) ",luggage,13,"dobj (cut-7, luggage-13) conj:and (flowers-8, luggage-13) ","flowers , leather handbags , luggage and vegetables .",NN,[],cut-7,cut,VBN,object,[],[],[],,[],[],[],[],[],[],"[('and', 'flowers', 8)]",['and'],[flowers-8],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_2.csv,0,0,0,0,unknown,,,,
"It 's hard to carry large instruments to practice , so many players use airline luggage carts or grocery carts .","It/it/PRP 's/be/VBZ hard/hard/JJ to/to/TO carry/carry/VB large/large/JJ instruments/instrument/NNS to/to/TO practice/practice/VB ,/,/, so/so/RB many/many/JJ players/player/NNS use/use/VBP airline/airline/NN luggage/luggage/NN carts/cart/NNS or/or/CC grocery/grocery/NN carts/cart/NNS ././. ","ROOT (ROOT-0, hard-3) nsubj (hard-3, It-1) nsubj:xsubj (carry-5, It-1) cop (hard-3, 's-2) mark (carry-5, to-4) xcomp (hard-3, carry-5) amod (instruments-7, large-6) dobj (carry-5, instruments-7) mark (practice-9, to-8) advcl:to (carry-5, practice-9) punct (hard-3, ,-10) advmod (hard-3, so-11) amod (players-13, many-12) nsubj (use-14, players-13) parataxis (hard-3, use-14) compound (carts-17, airline-15) compound (carts-17, luggage-16) dobj (use-14, carts-17) cc (carts-17, or-18) compound (carts-20, grocery-19) dobj (use-14, carts-20) conj:or (carts-17, carts-20) punct (hard-3, .-21) ",luggage,16,"compound (carts-17, luggage-16) ",so many players use airline luggage carts or grocery carts .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['carts'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_3.csv,0,0,0,0,unknown,,,,
"The airline man , aged to lose his luggage and , unfortunately , he had the slides for his public talk in his suitcase .","The/the/DT airline/airline/NN man/man/NN ,/,/, aged/age/VBN to/to/TO lose/lose/VB his/he/PRP$ luggage/luggage/NN and/and/CC ,/,/, unfortunately/unfortunately/RB ,/,/, he/he/PRP had/have/VBD the/the/DT slides/slide/NNS for/for/IN his/he/PRP$ public/public/JJ talk/talk/NN in/in/IN his/he/PRP$ suitcase/suitcase/NN ././. ","ROOT (ROOT-0, aged-5) det (man-3, The-1) compound (man-3, airline-2) nsubj (aged-5, man-3) nsubj:xsubj (lose-7, man-3) punct (man-3, ,-4) mark (lose-7, to-6) xcomp (aged-5, lose-7) nmod:poss (luggage-9, his-8) dobj (lose-7, luggage-9) cc (aged-5, and-10) punct (aged-5, ,-11) advmod (had-15, unfortunately-12) punct (had-15, ,-13) nsubj (had-15, he-14) conj:and (aged-5, had-15) det (slides-17, the-16) dobj (had-15, slides-17) case (talk-21, for-18) nmod:poss (talk-21, his-19) amod (talk-21, public-20) nmod:for (slides-17, talk-21) case (suitcase-24, in-22) nmod:poss (suitcase-24, his-23) nmod:in (had-15, suitcase-24) punct (aged-5, .-25) ",luggage,9,"nmod:poss (luggage-9, his-8) dobj (lose-7, luggage-9) ",", aged to lose his luggage and , unfortunately , he",NN,[],lose-7,lose,VB,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,['his'],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_3.csv,0,0,0,0,unknown,,,,
"The doors opening and the porters handling the luggage are electrically charged anticipatory movements , a strategic prelude to an eagerly awaited star 's entrance on the scene .","The/the/DT doors/door/NNS opening/open/VBG and/and/CC the/the/DT porters/porter/NNS handling/handle/VBG the/the/DT luggage/luggage/NN are/be/VBP electrically/electrically/RB charged/charge/VBN anticipatory/anticipatory/JJ movements/movement/NNS ,/,/, a/a/DT strategic/strategic/JJ prelude/prelude/NN to/to/TO an/a/DT eagerly/eagerly/RB awaited/await/VBN star/star/NN 's/'s/POS entrance/entrance/NN on/on/IN the/the/DT scene/scene/NN ././. ","ROOT (ROOT-0, opening-3) det (doors-2, The-1) nsubj (opening-3, doors-2) cc (opening-3, and-4) det (porters-6, the-5) nsubjpass (charged-12, porters-6) acl (porters-6, handling-7) det (luggage-9, the-8) dobj (handling-7, luggage-9) auxpass (charged-12, are-10) advmod (charged-12, electrically-11) conj:and (opening-3, charged-12) amod (movements-14, anticipatory-13) dobj (charged-12, movements-14) punct (movements-14, ,-15) det (prelude-18, a-16) amod (prelude-18, strategic-17) appos (movements-14, prelude-18) case (entrance-25, to-19) det (star-23, an-20) advmod (awaited-22, eagerly-21) amod (star-23, awaited-22) nmod:poss (entrance-25, star-23) case (star-23, 's-24) nmod:to (prelude-18, entrance-25) case (scene-28, on-26) det (scene-28, the-27) nmod:on (charged-12, scene-28) punct (opening-3, .-29) ",luggage,9,"det (luggage-9, the-8) dobj (handling-7, luggage-9) ",and the porters handling the luggage are electrically charged anticipatory movements,NN,[],handling-7,handle,VBG,object,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"she can start again from point zero , she says , with her memories as luggage .","she/she/PRP can/can/MD start/start/VB again/again/RB from/from/IN point/point/NN zero/zero/CD ,/,/, she/she/PRP says/say/VBZ ,/,/, with/with/IN her/she/PRP$ memories/memory/NNS as/as/IN luggage/luggage/NN ././. ","ROOT (ROOT-0, says-10) nsubj (start-3, she-1) aux (start-3, can-2) ccomp (says-10, start-3) advmod (start-3, again-4) case (point-6, from-5) nmod:from (start-3, point-6) nummod (point-6, zero-7) punct (says-10, ,-8) nsubj (says-10, she-9) punct (says-10, ,-11) case (memories-14, with-12) nmod:poss (memories-14, her-13) nmod:with (says-10, memories-14) case (luggage-16, as-15) nmod:as (says-10, luggage-16) punct (says-10, .-17) ",luggage,16,"case (luggage-16, as-15) nmod:as (says-10, luggage-16) ",", with her memories as luggage .",NN,[],,,,,[],[],[],,"[('as', 'says', 10)]",['as'],[],['says'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['as'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,,,,
"At length , the luggage was all on board , and the Germans and all the other Philistines , safely stowed forward in the hold . ''","At/at/IN length/length/NN ,/,/, the/the/DT luggage/luggage/NN was/be/VBD all/all/DT on/on/IN board/board/NN ,/,/, and/and/CC the/the/DT Germans/Germans/NNPS and/and/CC all/all/PDT the/the/DT other/other/JJ Philistines/philistine/NNS ,/,/, safely/safely/RB stowed/stow/VBD forward/forward/RB in/in/IN the/the/DT hold/hold/NN ././. ''/''/'' ","ROOT (ROOT-0, stowed-21) case (length-2, At-1) nmod:at (stowed-21, length-2) punct (all-7, ,-3) det (luggage-5, the-4) nsubj (all-7, luggage-5) cop (all-7, was-6) parataxis (stowed-21, all-7) case (board-9, on-8) nmod:on (all-7, board-9) punct (all-7, ,-10) cc (all-7, and-11) det (Germans-13, the-12) conj:and (all-7, Germans-13) parataxis (stowed-21, Germans-13) cc (Germans-13, and-14) det:predet (Philistines-18, all-15) det (Philistines-18, the-16) amod (Philistines-18, other-17) conj:and (all-7, Philistines-18) conj:and (Germans-13, Philistines-18) punct (all-7, ,-19) advmod (stowed-21, safely-20) advmod (stowed-21, forward-22) case (hold-25, in-23) det (hold-25, the-24) nmod:in (stowed-21, hold-25) punct (stowed-21, .-26) punct (stowed-21, ''-27) ",luggage,5,"det (luggage-5, the-4) nsubj (all-7, luggage-5) ","At length , the luggage was all on board ,",NN,[],was-6,,VBD,CopSubject,[],[],[],DT,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
While we were waiting on the landing stage there came down a lot of German emigrants to the number of 200 or 300 and it being the 1st lot of Germans whom I had seen they interested me very much for you see they do not take large boxes same as us English people but carry all their luggage on their shoulders in carpet bags and to show you what kind of people they are in one sense I will just relate 1 or 2 little instances that came under my own observation .,While/while/IN we/we/PRP were/be/VBD waiting/wait/VBG on/on/IN the/the/DT landing/landing/NN stage/stage/NN there/there/RB came/come/VBD down/down/RP a/a/DT lot/lot/NN of/of/IN German/german/JJ emigrants/emigrant/NNS to/to/TO the/the/DT number/number/NN of/of/IN 200/200/CD or/or/CC 300/300/CD and/and/CC it/it/PRP being/be/VBG the/the/DT 1st/1st/JJ lot/lot/NN of/of/IN Germans/Germans/NNPS whom/whom/WP I/I/PRP had/have/VBD seen/see/VBN they/they/PRP interested/interested/JJ me/I/PRP very/very/RB much/much/RB for/for/IN you/you/PRP see/see/VBP they/they/PRP do/do/VBP not/not/RB take/take/VB large/large/JJ boxes/box/NNS same/same/JJ as/as/IN us/we/PRP English/english/JJ people/people/NNS but/but/CC carry/carry/VBP all/all/PDT their/they/PRP$ luggage/luggage/NN on/on/IN their/they/PRP$ shoulders/shoulder/NNS in/in/IN carpet/carpet/NN bags/bag/NNS and/and/CC to/to/TO show/show/VB you/you/PRP what/what/WDT kind/kind/NN of/of/IN people/people/NNS they/they/PRP are/be/VBP in/in/IN one/one/CD sense/sense/NN I/I/PRP will/will/MD just/just/RB relate/relate/VB 1/1/CD or/or/CC 2/2/CD little/little/JJ instances/instance/NNS that/that/WDT came/come/VBD under/under/IN my/my/PRP$ own/own/JJ observation/observation/NN ././. ,"ROOT (ROOT-0, came-10) mark (waiting-4, While-1) nsubj (waiting-4, we-2) aux (waiting-4, were-3) advcl:while (came-10, waiting-4) case (stage-8, on-5) det (stage-8, the-6) compound (stage-8, landing-7) nmod:on (waiting-4, stage-8) advmod (came-10, there-9) compound:prt (came-10, down-11) det:qmod (emigrants-16, a-12) mwe (a-12, lot-13) mwe (a-12, of-14) amod (emigrants-16, German-15) dobj (came-10, emigrants-16) case (number-19, to-17) det (number-19, the-18) nmod:to (came-10, number-19) case (200-21, of-20) nmod:of (number-19, 200-21) cc (200-21, or-22) nmod:of (number-19, 300-23) conj:or (200-21, 300-23) cc (came-10, and-24) nsubj (lot-29, it-25) cop (lot-29, being-26) det (lot-29, the-27) amod (lot-29, 1st-28) conj:and (came-10, lot-29) case (Germans-31, of-30) nmod:of (lot-29, Germans-31) dobj (seen-35, whom-32) nsubj (seen-35, I-33) nsubj (carry-56, I-33) aux (seen-35, had-34) dep (came-10, seen-35) nsubj (interested-37, they-36) ccomp (seen-35, interested-37) nsubj (see-43, me-38) advmod (much-40, very-39) dep (see-43, much-40) mark (see-43, for-41) nsubj (see-43, you-42) xcomp (interested-37, see-43) nsubj (take-47, they-44) aux (take-47, do-45) neg (take-47, not-46) ccomp (see-43, take-47) amod (boxes-49, large-48) iobj (take-47, boxes-49) amod (people-54, same-50) case (us-52, as-51) nmod:as (same-50, us-52) amod (people-54, English-53) dobj (take-47, people-54) cc (seen-35, but-55) dep (came-10, carry-56) conj:but (seen-35, carry-56) det:predet (luggage-59, all-57) nmod:poss (luggage-59, their-58) dobj (carry-56, luggage-59) case (shoulders-62, on-60) nmod:poss (shoulders-62, their-61) nmod:on (carry-56, shoulders-62) case (bags-65, in-63) compound (bags-65, carpet-64) nmod:in (shoulders-62, bags-65) cc (came-10, and-66) mark (show-68, to-67) dep (relate-82, show-68) dobj (show-68, you-69) det (kind-71, what-70) dobj (sense-78, kind-71) case (people-73, of-72) nmod:of (kind-71, people-73) nsubj (sense-78, they-74) cop (sense-78, are-75) case (sense-78, in-76) nummod (sense-78, one-77) dep (show-68, sense-78) nsubj (relate-82, I-79) aux (relate-82, will-80) advmod (relate-82, just-81) conj:and (came-10, relate-82) nummod (instances-87, 1-83) cc (1-83, or-84) conj:or (1-83, 2-85) nummod (instances-87, 2-85) amod (instances-87, little-86) dobj (relate-82, instances-87) nsubj (came-89, instances-87) ref (instances-87, that-88) acl:relcl (instances-87, came-89) case (observation-93, under-90) nmod:poss (observation-93, my-91) amod (observation-93, own-92) nmod:under (came-89, observation-93) punct (came-10, .-94) ",luggage,59,"det:predet (luggage-59, all-57) nmod:poss (luggage-59, their-58) dobj (carry-56, luggage-59) ",people but carry all their luggage on their shoulders in carpet,NN,[],carry-56,carry,VBP,object,[],[],[],,[],[],[],[],['all'],['quantifier'],[],[],[],[],[],[],,,,,,,,,,,,,,['their'],[],[],[],[],[],[],[],[],[],singular,linked,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1993.txt_1.csv,0,0,0,0,unknown,,,,
