Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Politicians often entitle their legislation in terms of the hoped-for result ( e.g. , the Paperwork Reduction Act ) ; social critics must avoid this way of thinking .","Politicians/politician/NNS often/often/RB entitle/entitle/VBP their/they/PRP$ legislation/legislation/NN in/in/IN terms/term/NNS of/of/IN the/the/DT hoped-for/hoped-for/JJ result/result/NN -LRB-/-lrb-/-LRB- e.g./e.g./FW ,/,/, the/the/DT Paperwork/Paperwork/NNP Reduction/Reduction/NNP Act/Act/NNP -RRB-/-rrb-/-RRB- ;/;/: social/social/JJ critics/critic/NNS must/must/MD avoid/avoid/VB this/this/DT way/way/NN of/of/IN thinking/thinking/NN ././. ","ROOT (ROOT-0, entitle-3) nsubj (entitle-3, Politicians-1) advmod (entitle-3, often-2) nmod:poss (legislation-5, their-4) dobj (entitle-3, legislation-5) case (terms-7, in-6) nmod:in (entitle-3, terms-7) case (result-11, of-8) det (result-11, the-9) amod (result-11, hoped-for-10) nmod:of (terms-7, result-11) punct (e.g.-13, (-12) dep (result-11, e.g.-13) punct (e.g.-13, ,-14) det (Act-18, the-15) compound (Act-18, Paperwork-16) compound (Act-18, Reduction-17) appos (e.g.-13, Act-18) punct (e.g.-13, )-19) punct (entitle-3, ;-20) amod (critics-22, social-21) nsubj (avoid-24, critics-22) aux (avoid-24, must-23) parataxis (entitle-3, avoid-24) det (way-26, this-25) dobj (avoid-24, way-26) case (thinking-28, of-27) nmod:of (way-26, thinking-28) punct (entitle-3, .-29) ",Paperwork,16,"compound (Act-18, Paperwork-16) ","result ( e.g. , the Paperwork Reduction Act ) ; social",NNP,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['Act'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"Knowing that there was little likelihood that the Ecuadorean state would expropriate any large property that was proven to be producing efficiently , Solano demonstrated , via a massive amount of paperwork , that production on his hacienda surpassed '' national development goals . ''","Knowing/know/VBG that/that/IN there/there/EX was/be/VBD little/little/JJ likelihood/likelihood/NN that/that/IN the/the/DT Ecuadorean/ecuadorean/JJ state/state/NN would/would/MD expropriate/expropriate/VB any/any/DT large/large/JJ property/property/NN that/that/WDT was/be/VBD proven/prove/VBN to/to/TO be/be/VB producing/produce/VBG efficiently/efficiently/RB ,/,/, Solano/Solano/NNP demonstrated/demonstrate/VBD ,/,/, via/via/IN a/a/DT massive/massive/JJ amount/amount/NN of/of/IN paperwork/paperwork/NN ,/,/, that/that/IN production/production/NN on/on/IN his/he/PRP$ hacienda/hacienda/NN surpassed/surpass/VBD ''/''/'' national/national/JJ development/development/NN goals/goal/NNS ././. ''/''/'' ","ROOT (ROOT-0, Knowing-1) mark (was-4, that-2) expl (was-4, there-3) ccomp (Knowing-1, was-4) amod (likelihood-6, little-5) nsubj (was-4, likelihood-6) mark (expropriate-12, that-7) det (state-10, the-8) amod (state-10, Ecuadorean-9) nsubj (expropriate-12, state-10) aux (expropriate-12, would-11) ccomp (was-4, expropriate-12) det (property-15, any-13) amod (property-15, large-14) nmod:tmod (expropriate-12, property-15) nsubjpass (proven-18, property-15) nsubj:xsubj (producing-21, property-15) ref (property-15, that-16) auxpass (proven-18, was-17) acl:relcl (property-15, proven-18) mark (producing-21, to-19) aux (producing-21, be-20) xcomp (proven-18, producing-21) advmod (demonstrated-25, efficiently-22) punct (demonstrated-25, ,-23) nsubj (demonstrated-25, Solano-24) ccomp (producing-21, demonstrated-25) punct (demonstrated-25, ,-26) case (amount-30, via-27) det (amount-30, a-28) amod (amount-30, massive-29) nmod:via (demonstrated-25, amount-30) case (paperwork-32, of-31) nmod:of (amount-30, paperwork-32) punct (demonstrated-25, ,-33) mark (surpassed-39, that-34) nsubj (surpassed-39, production-35) case (hacienda-38, on-36) nmod:poss (hacienda-38, his-37) nmod:on (production-35, hacienda-38) ccomp (demonstrated-25, surpassed-39) punct (demonstrated-25, ''-40) amod (goals-43, national-41) compound (goals-43, development-42) dep (property-15, goals-43) punct (Knowing-1, .-44) punct (Knowing-1, ''-45) ",paperwork,32,"case (paperwork-32, of-31) nmod:of (amount-30, paperwork-32) ","via a massive amount of paperwork , that production on his",NN,[],,,,,[],[],[],,"[('of', 'amount', 30)]",['of'],[],['amount'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"Decisions , plans , and paperwork among hospital professionals also must be coordinated .","Decisions/decision/NNS ,/,/, plans/plan/NNS ,/,/, and/and/CC paperwork/paperwork/NN among/among/IN hospital/hospital/NN professionals/professional/NNS also/also/RB must/must/MD be/be/VB coordinated/coordinate/VBN ././. ","ROOT (ROOT-0, coordinated-13) nsubjpass (coordinated-13, Decisions-1) punct (Decisions-1, ,-2) conj:and (Decisions-1, plans-3) nsubjpass (coordinated-13, plans-3) punct (Decisions-1, ,-4) cc (Decisions-1, and-5) conj:and (Decisions-1, paperwork-6) nsubjpass (coordinated-13, paperwork-6) case (professionals-9, among-7) compound (professionals-9, hospital-8) nmod:among (paperwork-6, professionals-9) advmod (coordinated-13, also-10) aux (coordinated-13, must-11) auxpass (coordinated-13, be-12) punct (coordinated-13, .-14) ",paperwork,6,"conj:and (Decisions-1, paperwork-6) nsubjpass (coordinated-13, paperwork-6) nmod:among (paperwork-6, professionals-9) ","Decisions , plans , and paperwork among hospital professionals also must",NN,[],coordinated-13,coordinate,VBN,passive,['also'],[],['must'],,"[('among', 'professionals', 9)]",['among'],['professionals'],[],[],[],"[('and', 'Decisions', 1)]",['and'],[Decisions-1],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],must,[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"The category would have great utility for international businesses , who would be able to transfer key executives and managers with little time delay or paperwork .","The/the/DT category/category/NN would/would/MD have/have/VB great/great/JJ utility/utility/NN for/for/IN international/international/JJ businesses/business/NNS ,/,/, who/who/WP would/would/MD be/be/VB able/able/JJ to/to/TO transfer/transfer/VB key/key/JJ executives/executive/NNS and/and/CC managers/manager/NNS with/with/IN little/little/JJ time/time/NN delay/delay/NN or/or/CC paperwork/paperwork/NN ././. ","ROOT (ROOT-0, have-4) det (category-2, The-1) nsubj (have-4, category-2) aux (have-4, would-3) amod (utility-6, great-5) dobj (have-4, utility-6) case (businesses-9, for-7) amod (businesses-9, international-8) nmod:for (utility-6, businesses-9) nsubj (able-14, businesses-9) nsubj:xsubj (transfer-16, businesses-9) punct (businesses-9, ,-10) ref (businesses-9, who-11) aux (able-14, would-12) cop (able-14, be-13) acl:relcl (businesses-9, able-14) mark (transfer-16, to-15) xcomp (able-14, transfer-16) amod (executives-18, key-17) dobj (transfer-16, executives-18) cc (executives-18, and-19) dobj (transfer-16, managers-20) conj:and (executives-18, managers-20) case (delay-24, with-21) amod (delay-24, little-22) compound (delay-24, time-23) nmod:with (transfer-16, delay-24) cc (delay-24, or-25) nmod:with (transfer-16, paperwork-26) conj:or (delay-24, paperwork-26) punct (have-4, .-27) ",paperwork,26,"nmod:with (transfer-16, paperwork-26) conj:or (delay-24, paperwork-26) ",with little time delay or paperwork .,NN,[],,,,,[],[],[],,"[('with', 'transfer', 16)]",['with'],[],['transfer'],[],[],"[('or', 'delay', 24)]",['or'],[delay-24],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
The inclusion of outside parties in the procedure is certain to create additional expense and paperwork for an employer seeking to hire a foreign national .,The/the/DT inclusion/inclusion/NN of/of/IN outside/outside/JJ parties/party/NNS in/in/IN the/the/DT procedure/procedure/NN is/be/VBZ certain/certain/JJ to/to/TO create/create/VB additional/additional/JJ expense/expense/NN and/and/CC paperwork/paperwork/NN for/for/IN an/a/DT employer/employer/NN seeking/seek/VBG to/to/TO hire/hire/VB a/a/DT foreign/foreign/JJ national/national/JJ ././. ,"ROOT (ROOT-0, certain-10) det (inclusion-2, The-1) nsubj (certain-10, inclusion-2) nsubj:xsubj (create-12, inclusion-2) case (parties-5, of-3) amod (parties-5, outside-4) nmod:of (inclusion-2, parties-5) case (procedure-8, in-6) det (procedure-8, the-7) nmod:in (parties-5, procedure-8) cop (certain-10, is-9) mark (create-12, to-11) xcomp (certain-10, create-12) amod (expense-14, additional-13) dobj (create-12, expense-14) cc (expense-14, and-15) dobj (create-12, paperwork-16) conj:and (expense-14, paperwork-16) case (employer-19, for-17) det (employer-19, an-18) nmod:for (create-12, employer-19) acl (employer-19, seeking-20) mark (hire-22, to-21) xcomp (seeking-20, hire-22) det (national-25, a-23) amod (national-25, foreign-24) dobj (hire-22, national-25) punct (certain-10, .-26) ",paperwork,16,"dobj (create-12, paperwork-16) conj:and (expense-14, paperwork-16) ",to create additional expense and paperwork for an employer seeking to,NN,[],create-12,create,VB,object,[],[],[],,[],[],[],[],[],[],"[('and', 'expense', 14)]",['and'],[expense-14],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
In essence managers were managing managers through an unprecedented amount of paperwork thus the term '' bean counters '' emerged .,In/in/IN essence/essence/NN managers/manager/NNS were/be/VBD managing/manage/VBG managers/manager/NNS through/through/IN an/a/DT unprecedented/unprecedented/JJ amount/amount/NN of/of/IN paperwork/paperwork/NN thus/thus/RB the/the/DT term/term/NN ''/''/'' bean/bean/NN counters/counter/NNS ''/''/'' emerged/emerge/VBD ././. ,"ROOT (ROOT-0, emerged-20) case (essence-2, In-1) nmod:in (managing-5, essence-2) nsubj (managing-5, managers-3) aux (managing-5, were-4) ccomp (emerged-20, managing-5) dobj (managing-5, managers-6) case (amount-10, through-7) det (amount-10, an-8) amod (amount-10, unprecedented-9) nmod:through (managing-5, amount-10) case (paperwork-12, of-11) nmod:of (amount-10, paperwork-12) advmod (managing-5, thus-13) det (term-15, the-14) nmod:npmod (thus-13, term-15) punct (managing-5, ''-16) compound (counters-18, bean-17) dobj (managing-5, counters-18) punct (emerged-20, ''-19) punct (emerged-20, .-21) ",paperwork,12,"case (paperwork-12, of-11) nmod:of (amount-10, paperwork-12) ",through an unprecedented amount of paperwork thus the term '' bean,NN,[],,,,,[],[],[],,"[('of', 'amount', 10)]",['of'],[],['amount'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
Enhancing existing procedures necessitates maximum involvement from teachers in the AG Program and school based support personnel for administering group tests and managing records and paperwork utilized in exceptional children procedures .,Enhancing/enhancing/NN existing/exist/VBG procedures/procedure/NNS necessitates/necessitate/VBZ maximum/maximum/NN involvement/involvement/NN from/from/IN teachers/teacher/NNS in/in/IN the/the/DT AG/AG/NNP Program/Program/NNP and/and/CC school/school/NN based/base/VBN support/support/NN personnel/personnel/NNS for/for/IN administering/administer/VBG group/group/NN tests/test/NNS and/and/CC managing/managing/NN records/record/NNS and/and/CC paperwork/paperwork/NN utilized/utilize/VBD in/in/IN exceptional/exceptional/JJ children/child/NNS procedures/procedure/NNS ././. ,"ROOT (ROOT-0, utilized-27) nsubj (utilized-27, Enhancing-1) amod (procedures-3, existing-2) nsubj (necessitates-4, procedures-3) acl:relcl (Enhancing-1, necessitates-4) compound (involvement-6, maximum-5) dobj (necessitates-4, involvement-6) case (teachers-8, from-7) nmod:from (necessitates-4, teachers-8) case (Program-12, in-9) det (Program-12, the-10) compound (Program-12, AG-11) nmod:in (teachers-8, Program-12) cc (teachers-8, and-13) nmod:from (necessitates-4, school-14) conj:and (teachers-8, school-14) acl (school-14, based-15) compound (personnel-17, support-16) dobj (based-15, personnel-17) mark (administering-19, for-18) advcl:for (based-15, administering-19) compound (tests-21, group-20) dobj (administering-19, tests-21) cc (tests-21, and-22) compound (records-24, managing-23) dobj (administering-19, records-24) conj:and (tests-21, records-24) cc (tests-21, and-25) dobj (administering-19, paperwork-26) conj:and (tests-21, paperwork-26) case (procedures-31, in-28) amod (procedures-31, exceptional-29) compound (procedures-31, children-30) nmod:in (utilized-27, procedures-31) punct (utilized-27, .-32) ",paperwork,26,"dobj (administering-19, paperwork-26) conj:and (tests-21, paperwork-26) ",tests and managing records and paperwork utilized in exceptional children procedures,NN,[],administering-19,administer,VBG,object,[],[],[],,[],[],[],[],[],[],"[('and', 'tests', 21)]",['and'],[tests-21],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],for,singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"More attention needs to be given to the ' paperwork ' part of teaching , and the way teachers must deal with parents , '' one chapter suggested .","More/more/JJR attention/attention/NN needs/need/VBZ to/to/TO be/be/VB given/give/VBN to/to/TO the/the/DT '/'/'' paperwork/paperwork/NN '/'/'' part/part/NN of/of/IN teaching/teaching/NN ,/,/, and/and/CC the/the/DT way/way/NN teachers/teacher/NNS must/must/MD deal/deal/VB with/with/IN parents/parent/NNS ,/,/, ''/''/'' one/one/CD chapter/chapter/NN suggested/suggest/VBD ././. ","ROOT (ROOT-0, suggested-28) amod (attention-2, More-1) nsubj (needs-3, attention-2) nsubjpass:xsubj (given-6, attention-2) ccomp (suggested-28, needs-3) mark (given-6, to-4) auxpass (given-6, be-5) xcomp (needs-3, given-6) case (the-8, to-7) nmod:to (given-6, the-8) punct (the-8, '-9) compound (part-12, paperwork-10) punct (part-12, '-11) nsubj (deal-21, part-12) case (teaching-14, of-13) nmod:of (part-12, teaching-14) punct (teaching-14, ,-15) cc (teaching-14, and-16) det (teachers-19, the-17) compound (teachers-19, way-18) nmod:of (part-12, teachers-19) conj:and (teaching-14, teachers-19) aux (deal-21, must-20) acl:relcl (the-8, deal-21) case (parents-23, with-22) nmod:with (deal-21, parents-23) punct (suggested-28, ,-24) punct (suggested-28, ''-25) nummod (chapter-27, one-26) nsubj (suggested-28, chapter-27) punct (suggested-28, .-29) ",paperwork,10,"compound (part-12, paperwork-10) ","be given to the ' paperwork ' part of teaching ,",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['part'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
DNR attributes some of the success of the program to its keeping paperwork to a minimum ; the agency processed applications over the telephone and developed one-page forms for both applicants and banks.,DNR/dnr/NN attributes/attribute/VBZ some/some/DT of/of/IN the/the/DT success/success/NN of/of/IN the/the/DT program/program/NN to/to/TO its/its/PRP$ keeping/keep/VBG paperwork/paperwork/NN to/to/TO a/a/DT minimum/minimum/NN ;/;/: the/the/DT agency/agency/NN processed/process/VBN applications/application/NNS over/over/IN the/the/DT telephone/telephone/NN and/and/CC developed/develop/VBD one-page/one-page/JJ forms/form/NNS for/for/IN both/both/DT applicants/applicant/NNS and/and/CC banks/bank/NNS ././. ,"ROOT (ROOT-0, attributes-2) nsubj (attributes-2, DNR-1) nsubj (developed-26, DNR-1) det:qmod (success-6, some-3) mwe (some-3, of-4) det (success-6, the-5) dobj (attributes-2, success-6) case (program-9, of-7) det (program-9, the-8) nmod:of (success-6, program-9) case (paperwork-13, to-10) nmod:poss (paperwork-13, its-11) amod (paperwork-13, keeping-12) nmod:to (program-9, paperwork-13) case (minimum-16, to-14) det (minimum-16, a-15) nmod:to (paperwork-13, minimum-16) punct (paperwork-13, ;-17) det (applications-21, the-18) compound (applications-21, agency-19) amod (applications-21, processed-20) dep (paperwork-13, applications-21) case (telephone-24, over-22) det (telephone-24, the-23) nmod:over (applications-21, telephone-24) cc (attributes-2, and-25) conj:and (attributes-2, developed-26) amod (forms-28, one-page-27) dobj (developed-26, forms-28) case (applicants-31, for-29) cc:preconj (applicants-31, both-30) nmod:for (developed-26, applicants-31) cc (applicants-31, and-32) nmod:for (developed-26, banks-33) conj:and (applicants-31, banks-33) punct (attributes-2, .-34) ",paperwork,13,"case (paperwork-13, to-10) nmod:poss (paperwork-13, its-11) amod (paperwork-13, keeping-12) nmod:to (program-9, paperwork-13) nmod:to (paperwork-13, minimum-16) punct (paperwork-13, ;-17) dep (paperwork-13, applications-21) ",the program to its keeping paperwork to a minimum ; the,NN,[],,,,,[],[],[],,"[('to', 'program', 9), ('to', 'minimum', 16)]","['to', 'to']",['minimum'],['program'],[],[],[],[],[],[],[],['keeping'],[0.0575],[0.05875],[0.0925],[0.075],[0.103125],[0.0575],[0.03583333333333333],[0.1625],[0.11],[0.11833333333333332],[0.05916666666666666],[0.06],[0.009791666666666666],['its'],[],[],['to'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_2.csv,0,0,0,0,unknown,,,,
"51 Still others offer penetrating analyses , not just of NEPA 's social impacts review requirements , but of the whole NEPA process , finding that it results in mounds of useless paperwork , degrades science , and increases contention.","51/51/CD Still/still/RB others/other/NNS offer/offer/VBP penetrating/penetrate/VBG analyses/analysis/NNS ,/,/, not/not/RB just/just/RB of/of/IN NEPA/NEPA/NNP 's/'s/POS social/social/JJ impacts/impact/NNS review/review/NN requirements/requirement/NNS ,/,/, but/but/CC of/of/IN the/the/DT whole/whole/JJ NEPA/nepa/NN process/process/NN ,/,/, finding/find/VBG that/that/IN it/it/PRP results/result/VBZ in/in/IN mounds/mound/NNS of/of/IN useless/useless/JJ paperwork/paperwork/NN ,/,/, degrades/degrade/VBZ science/science/NN ,/,/, and/and/CC increases/increase/VBZ contention/contention/NN ././. ","ROOT (ROOT-0, offer-4) nmod:tmod (offer-4, 51-1) advmod (51-1, Still-2) nsubj (offer-4, others-3) nsubj (degrades-35, others-3) xcomp (offer-4, penetrating-5) dobj (penetrating-5, analyses-6) punct (analyses-6, ,-7) neg (just-9, not-8) dep (analyses-6, just-9) dep (just-9, of-10) nmod:poss (impacts-14, NEPA-11) case (NEPA-11, 's-12) amod (impacts-14, social-13) conj (analyses-6, impacts-14) compound (requirements-16, review-15) dep (impacts-14, requirements-16) punct (offer-4, ,-17) cc (offer-4, but-18) case (process-23, of-19) det (process-23, the-20) amod (process-23, whole-21) compound (process-23, NEPA-22) nmod:of (degrades-35, process-23) punct (degrades-35, ,-24) dep (degrades-35, finding-25) mark (results-28, that-26) nsubj (results-28, it-27) ccomp (finding-25, results-28) case (mounds-30, in-29) nmod:in (results-28, mounds-30) case (paperwork-33, of-31) amod (paperwork-33, useless-32) nmod:of (mounds-30, paperwork-33) punct (degrades-35, ,-34) conj:but (offer-4, degrades-35) dobj (degrades-35, science-36) punct (degrades-35, ,-37) cc (degrades-35, and-38) conj:but (offer-4, increases-39) conj:and (degrades-35, increases-39) dobj (increases-39, contention-40) punct (offer-4, .-41) ",paperwork,33,"case (paperwork-33, of-31) amod (paperwork-33, useless-32) nmod:of (mounds-30, paperwork-33) ","results in mounds of useless paperwork , degrades science , and",NN,[],,,,,[],[],[],,"[('of', 'mounds', 30)]",['of'],[],['mounds'],[],[],[],[],[],[],[],['useless'],[0.09375],[0.08],[0.30791666666666667],[0.0425],[0.0475],[0.025],[0.05270833333333333],[0.0475],[0.0275],[0.075],[0.040625],[0.1275],[0.0325],[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_2.csv,0,0,0,0,unknown,,,,
