Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
Seating will allow for up to two students per workstation .,Seating/seating/NN will/will/MD allow/allow/VB for/for/IN up/up/RB to/to/TO two/two/CD students/student/NNS per/per/IN workstation/workstation/NN ././. ,"ROOT (ROOT-0, allow-3) nsubj (allow-3, Seating-1) aux (allow-3, will-2) case (students-8, for-4) advmod (two-7, up-5) dep (two-7, to-6) nummod (students-8, two-7) nmod:for (allow-3, students-8) case (workstation-10, per-9) nmod:per (students-8, workstation-10) punct (allow-3, .-11) ",seating,1,"nsubj (allow-3, Seating-1) ",Seating will allow for up to,NN,[],allow-3,allow,VB,subject,[],[],['will'],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],will,[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"There are no rules regulating Assembly seating , but politicos always sit together in party groups .","There/there/EX are/be/VBP no/no/DT rules/rule/NNS regulating/regulate/VBG Assembly/assembly/NN seating/seating/NN ,/,/, but/but/CC politicos/politicos/NNP always/always/RB sit/sit/VBP together/together/RB in/in/IN party/party/NN groups/group/NNS ././. ","ROOT (ROOT-0, are-2) expl (are-2, There-1) neg (rules-4, no-3) nsubj (are-2, rules-4) acl (rules-4, regulating-5) compound (seating-7, Assembly-6) dobj (regulating-5, seating-7) punct (are-2, ,-8) cc (are-2, but-9) nsubj (sit-12, politicos-10) advmod (sit-12, always-11) conj:but (are-2, sit-12) advmod (sit-12, together-13) case (groups-16, in-14) compound (groups-16, party-15) nmod:in (sit-12, groups-16) punct (are-2, .-17) ",seating,7,"compound (seating-7, Assembly-6) dobj (regulating-5, seating-7) ","are no rules regulating Assembly seating , but politicos always sit",NN,[],regulating-5,regulate,VBG,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],['Assembly'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"They designed and drew plans for an entire Redskins complex , complete with such innovations as a Redskins hotel with stadium-front rooms , a seating area that slowly revolves to allow everyone a 50-yard-line view of the game , individual trash receptacles that vacuum trash away .","They/they/PRP designed/design/VBD and/and/CC drew/draw/VBD plans/plan/NNS for/for/IN an/a/DT entire/entire/JJ Redskins/redskin/NNS complex/complex/NN ,/,/, complete/complete/JJ with/with/IN such/such/JJ innovations/innovation/NNS as/as/IN a/a/DT Redskins/Redskins/NNP hotel/hotel/NN with/with/IN stadium-front/stadium-front/JJ rooms/room/NNS ,/,/, a/a/DT seating/seating/NN area/area/NN that/that/WDT slowly/slowly/RB revolves/revolve/VBZ to/to/TO allow/allow/VB everyone/everyone/NN a/a/DT 50-yard-line/50-yard-line/JJ view/view/NN of/of/IN the/the/DT game/game/NN ,/,/, individual/individual/JJ trash/trash/NN receptacles/receptacle/NNS that/that/WDT vacuum/vacuum/VBP trash/trash/NN away/away/RB ././. ","ROOT (ROOT-0, designed-2) nsubj (designed-2, They-1) nsubj (drew-4, They-1) cc (designed-2, and-3) conj:and (designed-2, drew-4) dobj (designed-2, plans-5) case (complex-10, for-6) det (complex-10, an-7) amod (complex-10, entire-8) compound (complex-10, Redskins-9) nmod:for (plans-5, complex-10) punct (plans-5, ,-11) dep (plans-5, complete-12) case (innovations-15, with-13) amod (innovations-15, such-14) nmod:with (complete-12, innovations-15) case (hotel-19, as-16) det (hotel-19, a-17) compound (hotel-19, Redskins-18) nmod:as (innovations-15, hotel-19) case (rooms-22, with-20) amod (rooms-22, stadium-front-21) nmod:with (complete-12, rooms-22) punct (plans-5, ,-23) det (area-26, a-24) compound (area-26, seating-25) appos (plans-5, area-26) nsubj (revolves-29, area-26) nsubj:xsubj (allow-31, area-26) ref (area-26, that-27) advmod (revolves-29, slowly-28) acl:relcl (area-26, revolves-29) mark (allow-31, to-30) xcomp (revolves-29, allow-31) iobj (allow-31, everyone-32) det (view-35, a-33) amod (view-35, 50-yard-line-34) dobj (allow-31, view-35) case (game-38, of-36) det (game-38, the-37) nmod:of (view-35, game-38) punct (game-38, ,-39) amod (receptacles-42, individual-40) compound (receptacles-42, trash-41) appos (game-38, receptacles-42) nsubj (vacuum-44, receptacles-42) ref (receptacles-42, that-43) acl:relcl (receptacles-42, vacuum-44) dobj (vacuum-44, trash-45) advmod (vacuum-44, away-46) punct (designed-2, .-47) ",seating,25,"compound (area-26, seating-25) ","with stadium-front rooms , a seating area that slowly revolves to",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['area'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"Does the device have special features to enhance comfort ( e.g. , a special seating system or shock absorbers in the case of a wheelchair ) ?","Does/do/VBZ the/the/DT device/device/NN have/have/VBP special/special/JJ features/feature/NNS to/to/TO enhance/enhance/VB comfort/comfort/NN -LRB-/-lrb-/-LRB- e.g./e.g./FW ,/,/, a/a/DT special/special/JJ seating/seating/NN system/system/NN or/or/CC shock/shock/NN absorbers/absorber/NNS in/in/IN the/the/DT case/case/NN of/of/IN a/a/DT wheelchair/wheelchair/NN -RRB-/-rrb-/-RRB- ?/?/. ","ROOT (ROOT-0, Does-1) det (device-3, the-2) nsubj (have-4, device-3) ccomp (Does-1, have-4) amod (features-6, special-5) dobj (have-4, features-6) mark (enhance-8, to-7) acl:to (features-6, enhance-8) dobj (enhance-8, comfort-9) punct (e.g.-11, (-10) dep (comfort-9, e.g.-11) punct (e.g.-11, ,-12) det (system-16, a-13) amod (system-16, special-14) compound (system-16, seating-15) dep (comfort-9, system-16) conj:or (e.g.-11, system-16) cc (e.g.-11, or-17) compound (absorbers-19, shock-18) dep (comfort-9, absorbers-19) conj:or (e.g.-11, absorbers-19) case (case-22, in-20) det (case-22, the-21) nmod:in (absorbers-19, case-22) case (wheelchair-25, of-23) det (wheelchair-25, a-24) nmod:of (case-22, wheelchair-25) punct (e.g.-11, )-26) punct (Does-1, ?-27) ",seating,15,"compound (system-16, seating-15) ","( e.g. , a special seating system or shock absorbers in",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['system'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"The manual briefly covers seating and positioning , biomechanics , sports medicine concerns , nutrition , and training programs .","The/the/DT manual/manual/NN briefly/briefly/NN covers/cover/VBZ seating/seating/NN and/and/CC positioning/positioning/NN ,/,/, biomechanics/biomechanic/NNS ,/,/, sports/sport/NNS medicine/medicine/NN concerns/concern/NNS ,/,/, nutrition/nutrition/NN ,/,/, and/and/CC training/training/NN programs/program/NNS ././. ","ROOT (ROOT-0, covers-4) det (manual-2, The-1) nsubj (covers-4, manual-2) advmod (covers-4, briefly-3) dobj (covers-4, seating-5) cc (seating-5, and-6) dobj (covers-4, positioning-7) conj:and (seating-5, positioning-7) punct (seating-5, ,-8) dobj (covers-4, biomechanics-9) conj:and (seating-5, biomechanics-9) punct (seating-5, ,-10) compound (concerns-13, sports-11) compound (concerns-13, medicine-12) dobj (covers-4, concerns-13) conj:and (seating-5, concerns-13) punct (seating-5, ,-14) dobj (covers-4, nutrition-15) conj:and (seating-5, nutrition-15) punct (seating-5, ,-16) cc (seating-5, and-17) compound (programs-19, training-18) dobj (covers-4, programs-19) conj:and (seating-5, programs-19) punct (covers-4, .-20) ",seating,5,"dobj (covers-4, seating-5) cc (seating-5, and-6) conj:and (seating-5, positioning-7) punct (seating-5, ,-8) conj:and (seating-5, biomechanics-9) punct (seating-5, ,-10) conj:and (seating-5, concerns-13) punct (seating-5, ,-14) conj:and (seating-5, nutrition-15) punct (seating-5, ,-16) cc (seating-5, and-17) conj:and (seating-5, programs-19) ","The manual briefly covers seating and positioning , biomechanics ,",NN,[],covers-4,cover,VBZ,object,['briefly'],[],[],,[],[],[],[],[],[],"[('and', 'positioning', 7), ('and', 'biomechanics', 9), ('and', 'concerns', 13), ('and', 'nutrition', 15), ('and', 'programs', 19)]","['and', 'and', 'and', 'and', 'and']","[positioning-7, biomechanics-9, concerns-13, nutrition-15, programs-19]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
Respondents were particularly interested in cleanliness and improved seating .,Respondents/respondent/NNS were/be/VBD particularly/particularly/RB interested/interested/JJ in/in/IN cleanliness/cleanliness/NN and/and/CC improved/improve/VBD seating/seating/NN ././. ,"ROOT (ROOT-0, interested-4) nsubj (interested-4, Respondents-1) nsubj (improved-8, Respondents-1) cop (interested-4, were-2) advmod (interested-4, particularly-3) case (cleanliness-6, in-5) nmod:in (interested-4, cleanliness-6) cc (interested-4, and-7) conj:and (interested-4, improved-8) dobj (improved-8, seating-9) punct (interested-4, .-10) ",seating,9,"dobj (improved-8, seating-9) ",interested in cleanliness and improved seating .,NN,[],improved-8,improve,VBD,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,,,,
"Procedure  Subjects were met by a female experimenter in a small seating room , and were directed to a laboratory where they were asked to take one of several seats placed in a semicircle at the end of a rectangular desk .","Procedure/procedure/NN Subjects/subject/NNS were/be/VBD met/meet/VBN by/by/IN a/a/DT female/female/JJ experimenter/experimenter/NN in/in/IN a/a/DT small/small/JJ seating/seating/NN room/room/NN ,/,/, and/and/CC were/be/VBD directed/direct/VBN to/to/TO a/a/DT laboratory/laboratory/NN where/where/WRB they/they/PRP were/be/VBD asked/ask/VBN to/to/TO take/take/VB one/one/CD of/of/IN several/several/JJ seats/seat/NNS placed/place/VBN in/in/IN a/a/DT semicircle/semicircle/NN at/at/IN the/the/DT end/end/NN of/of/IN a/a/DT rectangular/rectangular/JJ desk/desk/NN ././. ","ROOT (ROOT-0, met-4) compound (Subjects-2, Procedure-1) nsubjpass (met-4, Subjects-2) nsubjpass (directed-17, Subjects-2) auxpass (met-4, were-3) case (experimenter-8, by-5) det (experimenter-8, a-6) amod (experimenter-8, female-7) nmod:agent (met-4, experimenter-8) case (room-13, in-9) det (room-13, a-10) amod (room-13, small-11) compound (room-13, seating-12) nmod:in (experimenter-8, room-13) punct (met-4, ,-14) cc (met-4, and-15) auxpass (directed-17, were-16) conj:and (met-4, directed-17) case (laboratory-20, to-18) det (laboratory-20, a-19) nmod:to (directed-17, laboratory-20) advmod (asked-24, where-21) nsubjpass (asked-24, they-22) nsubj:xsubj (take-26, they-22) auxpass (asked-24, were-23) acl:relcl (laboratory-20, asked-24) mark (take-26, to-25) xcomp (asked-24, take-26) dobj (take-26, one-27) case (seats-30, of-28) amod (seats-30, several-29) nmod:of (one-27, seats-30) acl (seats-30, placed-31) case (semicircle-34, in-32) det (semicircle-34, a-33) nmod:in (placed-31, semicircle-34) case (end-37, at-35) det (end-37, the-36) nmod:at (semicircle-34, end-37) case (desk-41, of-38) det (desk-41, a-39) amod (desk-41, rectangular-40) nmod:of (end-37, desk-41) punct (met-4, .-42) ",seating,12,"compound (room-13, seating-12) ","female experimenter in a small seating room , and were directed",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['room'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
"If the answer is healthy minds and bodies and high achievement , contact teachers at the schools that have tried providing alternative seating for their charges ( see page 374 ) and discuss with them the results of their efforts .","If/if/IN the/the/DT answer/answer/NN is/be/VBZ healthy/healthy/JJ minds/mind/NNS and/and/CC bodies/body/NNS and/and/CC high/high/JJ achievement/achievement/NN ,/,/, contact/contact/NN teachers/teacher/NNS at/at/IN the/the/DT schools/school/NNS that/that/WDT have/have/VBP tried/try/VBN providing/provide/VBG alternative/alternative/JJ seating/seating/NN for/for/IN their/they/PRP$ charges/charge/NNS -LRB-/-lrb-/-LRB- see/see/VB page/page/NN 374/374/CD -RRB-/-rrb-/-RRB- and/and/CC discuss/discuss/VB with/with/IN them/they/PRP the/the/DT results/result/NNS of/of/IN their/they/PRP$ efforts/effort/NNS ././. ","ROOT (ROOT-0, teachers-14) mark (minds-6, If-1) det (answer-3, the-2) nsubj (minds-6, answer-3) cop (minds-6, is-4) amod (minds-6, healthy-5) advcl:if (teachers-14, minds-6) cc (minds-6, and-7) conj:and (minds-6, bodies-8) advcl:if (teachers-14, bodies-8) cc (minds-6, and-9) amod (achievement-11, high-10) conj:and (minds-6, achievement-11) advcl:if (teachers-14, achievement-11) punct (teachers-14, ,-12) compound (teachers-14, contact-13) case (schools-17, at-15) det (schools-17, the-16) nmod:at (teachers-14, schools-17) nsubj (tried-20, schools-17) ref (schools-17, that-18) aux (tried-20, have-19) acl:relcl (schools-17, tried-20) xcomp (tried-20, providing-21) amod (seating-23, alternative-22) dobj (providing-21, seating-23) case (charges-26, for-24) nmod:poss (charges-26, their-25) nmod:for (providing-21, charges-26) punct (see-28, (-27) dep (teachers-14, see-28) dobj (see-28, page-29) nummod (page-29, 374-30) punct (see-28, )-31) cc (teachers-14, and-32) conj:and (teachers-14, discuss-33) case (them-35, with-34) nmod:with (discuss-33, them-35) det (results-37, the-36) dep (them-35, results-37) case (efforts-40, of-38) nmod:poss (efforts-40, their-39) nmod:of (results-37, efforts-40) punct (teachers-14, .-41) ",seating,23,"amod (seating-23, alternative-22) dobj (providing-21, seating-23) ",that have tried providing alternative seating for their charges ( see,NN,[],providing-21,provide,VBG,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],['alternative'],[0.020416666666666666],[0.06870833333333333],[0.025],[0.02],[0.11199999999999999],[0.0325],[0.102875],[0.065],[0.0525],[0.15525],[0.2202797619047619],[0.09833333333333334],[0.02713690476190476],[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,,,,
The seating in my orchestra 's string sections has always been according to the '' best player is first chair '' setup .,The/the/DT seating/seating/NN in/in/IN my/my/PRP$ orchestra/orchestra/NN 's/'s/POS string/string/NN sections/section/NNS has/have/VBZ always/always/RB been/be/VBN according/accord/VBG to/to/TO the/the/DT ''/''/'' best/best/JJS player/player/NN is/be/VBZ first/first/JJ chair/chair/NN ''/''/'' setup/setup/NN ././. ,"ROOT (ROOT-0, the-14) det (seating-2, The-1) nsubj (the-14, seating-2) case (sections-8, in-3) nmod:poss (orchestra-5, my-4) nmod:poss (sections-8, orchestra-5) case (orchestra-5, 's-6) compound (sections-8, string-7) nmod:in (seating-2, sections-8) aux (the-14, has-9) advmod (the-14, always-10) cop (the-14, been-11) case (the-14, according-12) mwe (according-12, to-13) punct (the-14, ''-15) amod (player-17, best-16) nsubj (chair-20, player-17) cop (chair-20, is-18) amod (chair-20, first-19) acl:relcl (the-14, chair-20) punct (chair-20, ''-21) dep (chair-20, setup-22) punct (the-14, .-23) ",seating,2,"det (seating-2, The-1) nsubj (the-14, seating-2) nmod:in (seating-2, sections-8) ",The seating in my orchestra 's string,NN,[],been-11,,VBN,CopSubject,[],[],['has'],DT,"[('in', 'sections', 8)]",['in'],['sections'],[],['The'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
Try seating your best players in the outside seats so that there is one excellent player on each part .,Try/try/VB seating/seating/NN your/you/PRP$ best/best/JJS players/player/NNS in/in/IN the/the/DT outside/outside/JJ seats/seat/NNS so/so/IN that/that/IN there/there/EX is/be/VBZ one/one/CD excellent/excellent/JJ player/player/NN on/on/IN each/each/DT part/part/NN ././. ,"ROOT (ROOT-0, Try-1) nsubj (players-5, seating-2) nmod:poss (players-5, your-3) amod (players-5, best-4) xcomp (Try-1, players-5) case (seats-9, in-6) det (seats-9, the-7) amod (seats-9, outside-8) nmod:in (players-5, seats-9) mark (is-13, so-10) mwe (so-10, that-11) expl (is-13, there-12) advcl:so_that (Try-1, is-13) nummod (player-16, one-14) amod (player-16, excellent-15) nsubj (is-13, player-16) case (part-19, on-17) det (part-19, each-18) nmod:on (player-16, part-19) punct (Try-1, .-20) ",seating,2,"nsubj (players-5, seating-2) ",Try seating your best players in the,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,,,,
