Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
27 The swags are attached with fluttering ribbons to bucrania .,27/27/CD The/the/DT swags/swag/NNS are/be/VBP attached/attach/VBN with/with/IN fluttering/flutter/VBG ribbons/ribbon/NNS to/to/TO bucrania/bucrania/NN ././. ,"ROOT (ROOT-0, attached-5) nsubjpass (attached-5, 27-1) det (swags-3, The-2) dep (27-1, swags-3) auxpass (attached-5, are-4) mark (fluttering-7, with-6) advcl:with (attached-5, fluttering-7) dobj (fluttering-7, ribbons-8) case (bucrania-10, to-9) nmod:to (fluttering-7, bucrania-10) punct (attached-5, .-11) ",swag,3,"det (swags-3, The-2) dep (27-1, swags-3) ",27 The swags are attached with fluttering ribbons,NNS,[],,,,,[],[],[],,[],[],[],[],['The'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],plural,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"The facades were next as the city planners began to retrieve or reconstruct the old window frames , the gargoyles , swags of fruit and flowers , fountains , and other ornaments from the original architectural drawings .","The/the/DT facades/facade/NNS were/be/VBD next/next/JJ as/as/IN the/the/DT city/city/NN planners/planner/NNS began/begin/VBD to/to/TO retrieve/retrieve/VB or/or/CC reconstruct/reconstruct/VB the/the/DT old/old/JJ window/window/NN frames/frame/NNS ,/,/, the/the/DT gargoyles/gargoyle/NNS ,/,/, swags/swag/NNS of/of/IN fruit/fruit/NN and/and/CC flowers/flower/NNS ,/,/, fountains/fountain/NNS ,/,/, and/and/CC other/other/JJ ornaments/ornament/NNS from/from/IN the/the/DT original/original/JJ architectural/architectural/JJ drawings/drawing/NNS ././. ","ROOT (ROOT-0, next-4) det (facades-2, The-1) nsubj (next-4, facades-2) cop (next-4, were-3) mark (began-9, as-5) det (planners-8, the-6) compound (planners-8, city-7) nsubj (began-9, planners-8) nsubj:xsubj (retrieve-11, planners-8) nsubj:xsubj (reconstruct-13, planners-8) advcl:as (next-4, began-9) mark (retrieve-11, to-10) xcomp (began-9, retrieve-11) cc (retrieve-11, or-12) xcomp (began-9, reconstruct-13) conj:or (retrieve-11, reconstruct-13) det (window-16, the-14) amod (window-16, old-15) dobj (retrieve-11, window-16) dep (window-16, frames-17) punct (window-16, ,-18) det (gargoyles-20, the-19) dobj (retrieve-11, gargoyles-20) conj:and (window-16, gargoyles-20) punct (gargoyles-20, ,-21) appos (gargoyles-20, swags-22) case (fruit-24, of-23) nmod:of (swags-22, fruit-24) cc (window-16, and-25) dobj (retrieve-11, flowers-26) conj:and (window-16, flowers-26) punct (flowers-26, ,-27) conj:and (window-16, fountains-28) conj:and (flowers-26, fountains-28) punct (flowers-26, ,-29) cc (flowers-26, and-30) amod (ornaments-32, other-31) conj:and (window-16, ornaments-32) conj:and (flowers-26, ornaments-32) case (drawings-37, from-33) det (drawings-37, the-34) amod (drawings-37, original-35) amod (drawings-37, architectural-36) nmod:from (retrieve-11, drawings-37) punct (next-4, .-38) ",swag,22,"appos (gargoyles-20, swags-22) nmod:of (swags-22, fruit-24) ","frames , the gargoyles , swags of fruit and flowers ,",NNS,[],,,,,[],[],[],,"[('of', 'fruit', 24)]",['of'],['fruit'],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],"['modifier', 'gargoyles']",['gargoyles'],[],[],[],plural,bare plural,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_1.csv,0,0,0,0,unknown,,,,
"The arrangement of the attic is related , with small statues of mourners , candelabra , and swags in each .","The/the/DT arrangement/arrangement/NN of/of/IN the/the/DT attic/attic/NN is/be/VBZ related/related/JJ ,/,/, with/with/IN small/small/JJ statues/statue/NNS of/of/IN mourners/mourner/NNS ,/,/, candelabra/candelabra/NN ,/,/, and/and/CC swags/swag/NNS in/in/IN each/each/DT ././. ","ROOT (ROOT-0, related-7) det (arrangement-2, The-1) nsubj (related-7, arrangement-2) case (attic-5, of-3) det (attic-5, the-4) nmod:of (arrangement-2, attic-5) cop (related-7, is-6) punct (related-7, ,-8) case (statues-11, with-9) amod (statues-11, small-10) nmod:with (related-7, statues-11) case (mourners-13, of-12) nmod:of (statues-11, mourners-13) punct (mourners-13, ,-14) nmod:of (statues-11, candelabra-15) conj:and (mourners-13, candelabra-15) punct (mourners-13, ,-16) cc (mourners-13, and-17) nmod:of (statues-11, swags-18) conj:and (mourners-13, swags-18) case (each-20, in-19) nmod:in (swags-18, each-20) punct (related-7, .-21) ",swag,18,"nmod:of (statues-11, swags-18) conj:and (mourners-13, swags-18) nmod:in (swags-18, each-20) ","mourners , candelabra , and swags in each .",NNS,[],,,,,[],[],[],,"[('of', 'statues', 11), ('in', 'each', 20)]","['of', 'in']",['each'],['statues'],[],[],"[('and', 'mourners', 13)]",['and'],[mourners-13],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],plural,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_3.csv,0,0,0,0,unknown,,,,
"And there are reprises of the triangular theme : the sloping lines of the Annunciation reliefs , and in the finial zone , the succession of curves formed by the swags , the youths , the cherub , and the topmost vase .","And/and/CC there/there/EX are/be/VBP reprises/reprise/NNS of/of/IN the/the/DT triangular/triangular/JJ theme/theme/NN :/:/: the/the/DT sloping/sloping/NN lines/line/NNS of/of/IN the/the/DT Annunciation/Annunciation/NNP reliefs/relief/NNS ,/,/, and/and/CC in/in/IN the/the/DT finial/finial/JJ zone/zone/NN ,/,/, the/the/DT succession/succession/NN of/of/IN curves/curve/NNS formed/form/VBN by/by/IN the/the/DT swags/swag/NNS ,/,/, the/the/DT youths/youth/NNS ,/,/, the/the/DT cherub/cherub/NN ,/,/, and/and/CC the/the/DT topmost/topmost/JJS vase/vase/NN ././. ","ROOT (ROOT-0, are-3) cc (are-3, And-1) expl (are-3, there-2) nsubj (are-3, reprises-4) case (theme-8, of-5) det (theme-8, the-6) amod (theme-8, triangular-7) nmod:of (reprises-4, theme-8) punct (reprises-4, :-9) det (lines-12, the-10) compound (lines-12, sloping-11) nsubj (are-3, lines-12) conj:and (reprises-4, lines-12) case (reliefs-16, of-13) det (reliefs-16, the-14) compound (reliefs-16, Annunciation-15) nmod:of (lines-12, reliefs-16) punct (reprises-4, ,-17) cc (reprises-4, and-18) case (zone-22, in-19) det (zone-22, the-20) amod (zone-22, finial-21) nsubj (are-3, zone-22) conj:and (reprises-4, zone-22) punct (zone-22, ,-23) det (succession-25, the-24) appos (zone-22, succession-25) case (curves-27, of-26) nmod:of (zone-22, curves-27) acl (curves-27, formed-28) case (swags-31, by-29) det (swags-31, the-30) nmod:by (formed-28, swags-31) punct (swags-31, ,-32) det (youths-34, the-33) nmod:by (formed-28, youths-34) conj:and (swags-31, youths-34) punct (swags-31, ,-35) det (cherub-37, the-36) nmod:by (formed-28, cherub-37) conj:and (swags-31, cherub-37) punct (swags-31, ,-38) cc (swags-31, and-39) det (vase-42, the-40) amod (vase-42, topmost-41) nmod:by (formed-28, vase-42) conj:and (swags-31, vase-42) punct (are-3, .-43) ",swag,31,"case (swags-31, by-29) det (swags-31, the-30) nmod:by (formed-28, swags-31) punct (swags-31, ,-32) conj:and (swags-31, youths-34) punct (swags-31, ,-35) conj:and (swags-31, cherub-37) punct (swags-31, ,-38) cc (swags-31, and-39) conj:and (swags-31, vase-42) ","of curves formed by the swags , the youths , the",NNS,[],,,,,[],[],[],,"[('by', 'formed', 28)]",['by'],[],['formed'],['the'],['definite article'],"[('and', 'youths', 34), ('and', 'cherub', 37), ('and', 'vase', 42)]","['and', 'and', 'and']","[youths-34, cherub-37, vase-42]",[],[],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],plural,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Like the swag of dark cloth that swings across the upper right-hand corner of the painting , it belongs to that class of textile that flows around antique figures and floats through Renaissance and Baroque paintings , which Anne Hollander has labeled '' drapery . ''","Like/like/IN the/the/DT swag/swag/NN of/of/IN dark/dark/JJ cloth/cloth/NN that/that/WDT swings/swing/VBZ across/across/IN the/the/DT upper/upper/JJ right-hand/right-hand/JJ corner/corner/NN of/of/IN the/the/DT painting/painting/NN ,/,/, it/it/PRP belongs/belong/VBZ to/to/TO that/that/DT class/class/NN of/of/IN textile/textile/NN that/that/WDT flows/flow/VBZ around/around/IN antique/antique/JJ figures/figure/NNS and/and/CC floats/float/VBZ through/through/IN Renaissance/Renaissance/NNP and/and/CC Baroque/Baroque/NNP paintings/painting/NNS ,/,/, which/which/WDT Anne/Anne/NNP Hollander/Hollander/NNP has/have/VBZ labeled/label/VBN ''/''/'' drapery/drapery/NN ././. ''/''/'' ","ROOT (ROOT-0, belongs-19) case (swag-3, Like-1) det (swag-3, the-2) nsubj (swings-8, swag-3) nmod:like (belongs-19, swag-3) case (cloth-6, of-4) amod (cloth-6, dark-5) nmod:of (swag-3, cloth-6) ref (swag-3, that-7) acl:relcl (swag-3, swings-8) case (corner-13, across-9) det (corner-13, the-10) amod (corner-13, upper-11) amod (corner-13, right-hand-12) nmod:across (swings-8, corner-13) case (painting-16, of-14) det (painting-16, the-15) nmod:of (corner-13, painting-16) punct (belongs-19, ,-17) nsubj (belongs-19, it-18) case (class-22, to-20) det (class-22, that-21) nmod:to (belongs-19, class-22) nsubj (flows-26, class-22) nsubj (floats-31, class-22) case (textile-24, of-23) nmod:of (class-22, textile-24) ref (class-22, that-25) acl:relcl (class-22, flows-26) case (figures-29, around-27) amod (figures-29, antique-28) nmod:around (flows-26, figures-29) cc (flows-26, and-30) acl:relcl (class-22, floats-31) conj:and (flows-26, floats-31) case (paintings-36, through-32) compound (paintings-36, Renaissance-33) cc (Renaissance-33, and-34) conj:and (Renaissance-33, Baroque-35) compound (paintings-36, Baroque-35) nmod:through (floats-31, paintings-36) dobj (labeled-42, paintings-36) punct (paintings-36, ,-37) ref (paintings-36, which-38) compound (Hollander-40, Anne-39) nsubj (labeled-42, Hollander-40) aux (labeled-42, has-41) acl:relcl (paintings-36, labeled-42) punct (labeled-42, ''-43) dobj (labeled-42, drapery-44) punct (belongs-19, .-45) punct (belongs-19, ''-46) ",swag,3,"case (swag-3, Like-1) det (swag-3, the-2) nsubj (swings-8, swag-3) nmod:like (belongs-19, swag-3) nmod:of (swag-3, cloth-6) ref (swag-3, that-7) acl:relcl (swag-3, swings-8) ",Like the swag of dark cloth that swings,NN,[],swings-8,swing,VBZ,subject,[],[],[],,"[('like', 'belongs', 19), ('of', 'cloth', 6)]","['like', 'of']",['cloth'],['belongs'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['Like'],[],[],[],[],[],[],singular,linked,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2007.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Her rich garb and the swag of red cloth behind her denote her elite status , while the carnation symbolizes her betrothal to Christ , and her fan identifies her as a modest and chaste and , therefore , honorable woman.","Her/she/PRP$ rich/rich/JJ garb/garb/NN and/and/CC the/the/DT swag/swag/NN of/of/IN red/red/JJ cloth/cloth/NN behind/behind/IN her/she/PRP$ denote/denote/VB her/she/PRP$ elite/elite/NN status/status/NN ,/,/, while/while/IN the/the/DT carnation/carnation/NN symbolizes/symbolize/VBZ her/she/PRP$ betrothal/betrothal/NN to/to/TO Christ/Christ/NNP ,/,/, and/and/CC her/she/PRP$ fan/fan/NN identifies/identify/VBZ her/she/PRP$ as/as/IN a/a/DT modest/modest/JJ and/and/CC chaste/chaste/JJ and/and/CC ,/,/, therefore/therefore/RB ,/,/, honorable/honorable/JJ woman/woman/NN ././. ","ROOT (ROOT-0, denote-12) nmod:poss (garb-3, Her-1) amod (garb-3, rich-2) nsubj (denote-12, garb-3) cc (garb-3, and-4) det (swag-6, the-5) conj:and (garb-3, swag-6) nsubj (denote-12, swag-6) case (cloth-9, of-7) amod (cloth-9, red-8) nmod:of (swag-6, cloth-9) case (her-11, behind-10) nmod:behind (cloth-9, her-11) nmod:poss (status-15, her-13) compound (status-15, elite-14) dobj (denote-12, status-15) punct (denote-12, ,-16) mark (symbolizes-20, while-17) det (carnation-19, the-18) nsubj (symbolizes-20, carnation-19) advcl:while (denote-12, symbolizes-20) nmod:poss (betrothal-22, her-21) dobj (symbolizes-20, betrothal-22) case (Christ-24, to-23) nmod:to (symbolizes-20, Christ-24) punct (denote-12, ,-25) cc (denote-12, and-26) nmod:poss (fan-28, her-27) nsubj (identifies-29, fan-28) conj:and (denote-12, identifies-29) dobj (identifies-29, her-30) case (woman-41, as-31) det (woman-41, a-32) amod (woman-41, modest-33) cc (modest-33, and-34) conj:and (modest-33, chaste-35) amod (woman-41, chaste-35) cc (modest-33, and-36) punct (therefore-38, ,-37) dep (modest-33, therefore-38) punct (therefore-38, ,-39) conj:and (modest-33, honorable-40) amod (woman-41, honorable-40) nmod:as (identifies-29, woman-41) punct (denote-12, .-42) ",swag,6,"det (swag-6, the-5) conj:and (garb-3, swag-6) nsubj (denote-12, swag-6) nmod:of (swag-6, cloth-9) ",Her rich garb and the swag of red cloth behind her,NN,[],denote-12,denote,VB,subject,[],[],[],,"[('of', 'cloth', 9)]",['of'],['cloth'],[],['the'],['definite article'],"[('and', 'garb', 3)]",['and'],[garb-3],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"They 'd rented it from a Canadian man with youthful aspirations to pop music stardom , and the house was the final resting place for an old hi-fi , tasteless records , big leather couches , macrame hanging planters , and a swag lamp that Edward had disassembled for safety 's sake .","They/they/PRP 'd/would/MD rented/rent/VBD it/it/PRP from/from/IN a/a/DT Canadian/canadian/JJ man/man/NN with/with/IN youthful/youthful/JJ aspirations/aspiration/NNS to/to/TO pop/pop/VB music/music/NN stardom/stardom/NN ,/,/, and/and/CC the/the/DT house/house/NN was/be/VBD the/the/DT final/final/JJ resting/rest/VBG place/place/NN for/for/IN an/a/DT old/old/JJ hi-fi/hi-fi/NN ,/,/, tasteless/tasteless/JJ records/record/NNS ,/,/, big/big/JJ leather/leather/NN couches/couch/NNS ,/,/, macrame/macrame/NN hanging/hang/VBG planters/planter/NNS ,/,/, and/and/CC a/a/DT swag/swag/NN lamp/lamp/NN that/that/WDT Edward/Edward/NNP had/have/VBD disassembled/disassemble/VBN for/for/IN safety/safety/NN 's/'s/POS sake/sake/NN ././. ","ROOT (ROOT-0, rented-3) nsubj (rented-3, They-1) aux (rented-3, 'd-2) dobj (rented-3, it-4) case (man-8, from-5) det (man-8, a-6) amod (man-8, Canadian-7) nmod:from (rented-3, man-8) case (aspirations-11, with-9) amod (aspirations-11, youthful-10) nmod:with (man-8, aspirations-11) mark (pop-13, to-12) advcl:to (rented-3, pop-13) compound (stardom-15, music-14) dobj (pop-13, stardom-15) punct (rented-3, ,-16) cc (rented-3, and-17) det (house-19, the-18) nsubj (place-24, house-19) cop (place-24, was-20) det (place-24, the-21) amod (place-24, final-22) amod (place-24, resting-23) conj:and (rented-3, place-24) case (hi-fi-28, for-25) det (hi-fi-28, an-26) amod (hi-fi-28, old-27) nmod:for (place-24, hi-fi-28) punct (place-24, ,-29) amod (records-31, tasteless-30) conj:and (rented-3, records-31) conj:and (place-24, records-31) punct (place-24, ,-32) amod (couches-35, big-33) compound (couches-35, leather-34) conj:and (rented-3, couches-35) conj:and (place-24, couches-35) punct (place-24, ,-36) conj:and (rented-3, macrame-37) conj:and (place-24, macrame-37) acl (macrame-37, hanging-38) dobj (hanging-38, planters-39) punct (place-24, ,-40) cc (place-24, and-41) det (lamp-44, a-42) compound (lamp-44, swag-43) conj:and (rented-3, lamp-44) conj:and (place-24, lamp-44) dobj (disassembled-48, lamp-44) ref (lamp-44, that-45) nsubj (disassembled-48, Edward-46) aux (disassembled-48, had-47) acl:relcl (lamp-44, disassembled-48) case (sake-52, for-49) nmod:poss (sake-52, safety-50) case (safety-50, 's-51) nmod:for (disassembled-48, sake-52) punct (rented-3, .-53) ",swag,43,"compound (lamp-44, swag-43) ","hanging planters , and a swag lamp that Edward had disassembled",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['lamp'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1998.txt_1.csv,0,0,0,0,unknown,,,,
One of them paused to munch on a swag of Christmas greenery decking the front of the florist 's .,One/one/CD of/of/IN them/they/PRP paused/pause/VBD to/to/TO munch/munch/VB on/on/IN a/a/DT swag/swag/NN of/of/IN Christmas/Christmas/NNP greenery/greenery/NN decking/deck/VBG the/the/DT front/front/NN of/of/IN the/the/DT florist/florist/NN 's/'s/POS ././. ,"ROOT (ROOT-0, paused-4) det:qmod (them-3, One-1) nsubj:xsubj (munch-6, One-1) mwe (One-1, of-2) nsubj (paused-4, them-3) nsubj:xsubj (munch-6, them-3) mark (munch-6, to-5) xcomp (paused-4, munch-6) mark (decking-13, on-7) det (swag-9, a-8) nsubj (decking-13, swag-9) case (greenery-12, of-10) compound (greenery-12, Christmas-11) nmod:of (swag-9, greenery-12) advcl:on (munch-6, decking-13) det (front-15, the-14) dobj (decking-13, front-15) case (florist-18, of-16) det (florist-18, the-17) nmod:'s (front-15, florist-18) case (florist-18, 's-19) punct (paused-4, .-20) ",swag,9,"det (swag-9, a-8) nsubj (decking-13, swag-9) nmod:of (swag-9, greenery-12) ",paused to munch on a swag of Christmas greenery decking the,NN,[],decking-13,deck,VBG,subject,[],[],[],,"[('of', 'greenery', 12)]",['of'],['greenery'],[],['a'],['indefinite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],on,singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1999.txt_1.csv,1,0,0,0,countable,a,unit,a/an,small
"He hurries home swinging his swag , and what should be between tree and he ?","He/he/PRP hurries/hurry/VBZ home/home/NN swinging/swing/VBG his/he/PRP$ swag/swag/NN ,/,/, and/and/CC what/what/WP should/should/MD be/be/VB between/between/IN tree/tree/NN and/and/CC he/he/PRP ?/?/. ","ROOT (ROOT-0, hurries-2) nsubj (hurries-2, He-1) dobj (hurries-2, home-3) acl (home-3, swinging-4) nmod:poss (swag-6, his-5) dobj (swinging-4, swag-6) punct (home-3, ,-7) cc (home-3, and-8) nsubj (tree-13, what-9) aux (tree-13, should-10) cop (tree-13, be-11) case (tree-13, between-12) dobj (hurries-2, tree-13) conj:and (home-3, tree-13) cc (tree-13, and-14) conj:and (home-3, he-15) conj:and (tree-13, he-15) punct (hurries-2, ?-16) ",swag,6,"nmod:poss (swag-6, his-5) dobj (swinging-4, swag-6) ","He hurries home swinging his swag , and what should be",NN,[],swinging-4,swing,VBG,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,['his'],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1999.txt_1.csv,0,0,0,0,unknown,,,,
"She used her hands to show J.J. the hills and gullies , the uncivilized trails , the swoop and drop , swag and pitch that come with running through fields .","She/she/PRP used/use/VBD her/she/PRP$ hands/hand/NNS to/to/TO show/show/VB J.J./J.J./NNP the/the/DT hills/hill/NNS and/and/CC gullies/gully/NNS ,/,/, the/the/DT uncivilized/uncivilized/JJ trails/trail/VBZ ,/,/, the/the/DT swoop/swoop/NN and/and/CC drop/drop/NN ,/,/, swag/swag/NN and/and/CC pitch/pitch/NN that/that/WDT come/come/VBP with/with/IN running/run/VBG through/through/IN fields/field/NNS ././. ","ROOT (ROOT-0, trails-15) nsubj (used-2, She-1) ccomp (trails-15, used-2) nmod:poss (hands-4, her-3) dobj (used-2, hands-4) mark (show-6, to-5) advcl:to (used-2, show-6) nsubj (hills-9, J.J.-7) det (hills-9, the-8) xcomp (show-6, hills-9) cc (hills-9, and-10) xcomp (show-6, gullies-11) conj:and (hills-9, gullies-11) punct (trails-15, ,-12) det (uncivilized-14, the-13) nsubj (trails-15, uncivilized-14) punct (trails-15, ,-16) det (swoop-18, the-17) dobj (trails-15, swoop-18) cc (swoop-18, and-19) dobj (trails-15, drop-20) conj:and (swoop-18, drop-20) nsubj (come-26, drop-20) punct (drop-20, ,-21) conj:and (swoop-18, swag-22) conj:and (drop-20, swag-22) nsubj (come-26, swag-22) cc (drop-20, and-23) conj:and (swoop-18, pitch-24) conj:and (drop-20, pitch-24) nsubj (come-26, pitch-24) ref (drop-20, that-25) acl:relcl (drop-20, come-26) mark (running-28, with-27) advcl:with (come-26, running-28) case (fields-30, through-29) nmod:through (running-28, fields-30) punct (trails-15, .-31) ",swag,22,"conj:and (swoop-18, swag-22) conj:and (drop-20, swag-22) nsubj (come-26, swag-22) ","the swoop and drop , swag and pitch that come with",NN,[],come-26,come,VBP,subject,[],[],[],,[],[],[],[],[],[],"[('and', 'swoop', 18), ('and', 'drop', 20)]","['and', 'and']","[swoop-18, drop-20]",[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1997.txt_1.csv,0,0,0,0,unknown,,,,
