Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"PHOTO ( COLOR ) : Figures 8 : Several Jamaican businesses , such as this fast food takeaway , are found in the Ellington West area of Toronto .","PHOTO/photo/NN -LRB-/-lrb-/-LRB- COLOR/color/NN -RRB-/-rrb-/-RRB- :/:/: Figures/figure/NNS 8/8/CD :/:/: Several/several/JJ Jamaican/jamaican/JJ businesses/business/NNS ,/,/, such/such/JJ as/as/IN this/this/DT fast/fast/JJ food/food/NN takeaway/takeaway/NN ,/,/, are/be/VBP found/find/VBN in/in/IN the/the/DT Ellington/Ellington/NNP West/West/NNP area/area/NN of/of/IN Toronto/Toronto/NNP ././. ","ROOT (ROOT-0, PHOTO-1) punct (COLOR-3, (-2) appos (PHOTO-1, COLOR-3) punct (COLOR-3, )-4) punct (PHOTO-1, :-5) dep (PHOTO-1, Figures-6) nummod (Figures-6, 8-7) punct (Figures-6, :-8) amod (businesses-11, Several-9) amod (businesses-11, Jamaican-10) nsubjpass (found-21, businesses-11) punct (businesses-11, ,-12) case (takeaway-18, such-13) mwe (such-13, as-14) det (takeaway-18, this-15) amod (takeaway-18, fast-16) compound (takeaway-18, food-17) nmod:such_as (businesses-11, takeaway-18) punct (businesses-11, ,-19) auxpass (found-21, are-20) dep (Figures-6, found-21) case (area-26, in-22) det (area-26, the-23) compound (area-26, Ellington-24) compound (area-26, West-25) nmod:in (found-21, area-26) case (Toronto-28, of-27) nmod:of (area-26, Toronto-28) punct (PHOTO-1, .-29) ",takeaway,18,"case (takeaway-18, such-13) det (takeaway-18, this-15) amod (takeaway-18, fast-16) compound (takeaway-18, food-17) nmod:such_as (businesses-11, takeaway-18) ","such as this fast food takeaway , are found in the",NN,[],,,,,[],[],[],,"[('such_as', 'businesses', 11)]",['such_as'],[],['businesses'],['this'],['demonstrative'],[],[],[],[],['food'],['fast'],[0.0075],[0.0175],[0.005],[0.01],[0.025],[0.02],[0.017499999999999998],[0.0225],[0.0325],[0.08458333333333332],[0.0325],[0.7141666666666667],[0.01125],[],[],[],['such'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2007.txt_2.csv,0,0,0,0,unknown,this,non-Denumerator,non quantificational,
It was the takeaway lesson .,It/it/PRP was/be/VBD the/the/DT takeaway/takeaway/NN lesson/lesson/NN ././. ,"ROOT (ROOT-0, lesson-5) nsubj (lesson-5, It-1) cop (lesson-5, was-2) det (lesson-5, the-3) compound (lesson-5, takeaway-4) punct (lesson-5, .-6) ",takeaway,4,"compound (lesson-5, takeaway-4) ",It was the takeaway lesson .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['lesson'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2009.txt_2.csv,0,0,0,0,unknown,,,,
"When she was a 14-year-old , she worked Saturdays in a supermarket standing at a portable grill near the exit , where she took sizzling lengths of sausage and spread a good gob of mustard , ready for half rolls deftly slapped in takeaway containers .","When/when/WRB she/she/PRP was/be/VBD a/a/DT 14-year-old/14-year-old/JJ ,/,/, she/she/PRP worked/work/VBD Saturdays/Saturdays/NNP in/in/IN a/a/DT supermarket/supermarket/NN standing/standing/NN at/at/IN a/a/DT portable/portable/JJ grill/grill/NN near/near/IN the/the/DT exit/exit/NN ,/,/, where/where/WRB she/she/PRP took/take/VBD sizzling/sizzle/VBG lengths/length/NNS of/of/IN sausage/sausage/NN and/and/CC spread/spread/VBD a/a/DT good/good/JJ gob/gob/NN of/of/IN mustard/mustard/NN ,/,/, ready/ready/JJ for/for/IN half/half/DT rolls/roll/NNS deftly/deftly/RB slapped/slap/VBD in/in/IN takeaway/takeaway/NN containers/container/NNS ././. ","ROOT (ROOT-0, worked-8) advmod (14-year-old-5, When-1) nsubj (14-year-old-5, she-2) cop (14-year-old-5, was-3) det (14-year-old-5, a-4) advcl (worked-8, 14-year-old-5) punct (worked-8, ,-6) nsubj (worked-8, she-7) dobj (worked-8, Saturdays-9) case (standing-13, in-10) det (standing-13, a-11) compound (standing-13, supermarket-12) nmod:in (Saturdays-9, standing-13) case (grill-17, at-14) det (grill-17, a-15) amod (grill-17, portable-16) nmod:at (worked-8, grill-17) case (exit-20, near-18) det (exit-20, the-19) nmod:near (grill-17, exit-20) punct (worked-8, ,-21) advmod (took-24, where-22) nsubj (took-24, she-23) nsubj (spread-30, she-23) advcl (worked-8, took-24) amod (lengths-26, sizzling-25) dobj (took-24, lengths-26) case (sausage-28, of-27) nmod:of (lengths-26, sausage-28) cc (took-24, and-29) advcl (worked-8, spread-30) conj:and (took-24, spread-30) det (gob-33, a-31) amod (gob-33, good-32) dobj (spread-30, gob-33) case (mustard-35, of-34) nmod:of (gob-33, mustard-35) punct (took-24, ,-36) amod (rolls-40, ready-37) case (half-39, for-38) nmod:for (ready-37, half-39) nmod:npmod (deftly-41, rolls-40) advmod (took-24, deftly-41) dep (took-24, slapped-42) case (containers-45, in-43) compound (containers-45, takeaway-44) nmod:in (slapped-42, containers-45) punct (worked-8, .-46) ",takeaway,44,"compound (containers-45, takeaway-44) ",half rolls deftly slapped in takeaway containers .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['containers'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_1.csv,0,0,0,0,unknown,,,,
</p> My takeaway : what a difference a decade had made .,</p>/</p>/NN My/my/PRP$ takeaway/takeaway/NN :/:/: what/what/WP a/a/DT difference/difference/NN a/a/DT decade/decade/NN had/have/VBD made/make/VBN ././. ,"ROOT (ROOT-0, </p>-1) det (difference-7, </p>-1) nmod:poss (takeaway-3, My-2) dep (</p>-1, takeaway-3) punct (</p>-1, :-4) ref (</p>-1, what-5) det (difference-7, a-6) dobj (made-11, difference-7) det (decade-9, a-8) nsubj (made-11, decade-9) aux (made-11, had-10) acl:relcl (</p>-1, made-11) punct (</p>-1, .-12) ",takeaway,3,"nmod:poss (takeaway-3, My-2) dep (</p>-1, takeaway-3) ",</p> My takeaway : what a difference a,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,['My'],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_2011.txt_1.csv,0,0,0,0,unknown,,,,
"He was watching the football while he pored over financial papers , the remains of a beer and a takeaway Chinese on the floor by his feet .","He/he/PRP was/be/VBD watching/watch/VBG the/the/DT football/football/NN while/while/IN he/he/PRP pored/pore/VBD over/over/IN financial/financial/JJ papers/papers/NNS ,/,/, the/the/DT remains/remains/NNS of/of/IN a/a/DT beer/beer/NN and/and/CC a/a/DT takeaway/takeaway/NN Chinese/chinese/JJ on/on/IN the/the/DT floor/floor/NN by/by/IN his/he/PRP$ feet/foot/NNS ././. ","ROOT (ROOT-0, watching-3) nsubj (watching-3, He-1) aux (watching-3, was-2) det (football-5, the-4) dobj (watching-3, football-5) mark (pored-8, while-6) nsubj (pored-8, he-7) advcl:while (watching-3, pored-8) case (papers-11, over-9) amod (papers-11, financial-10) nmod:over (pored-8, papers-11) punct (papers-11, ,-12) det (remains-14, the-13) nmod:over (pored-8, remains-14) conj:and (papers-11, remains-14) case (beer-17, of-15) det (beer-17, a-16) nmod:of (remains-14, beer-17) cc (papers-11, and-18) det (takeaway-20, a-19) nmod:over (pored-8, takeaway-20) conj:and (papers-11, takeaway-20) amod (takeaway-20, Chinese-21) case (floor-24, on-22) det (floor-24, the-23) nmod:on (takeaway-20, floor-24) case (feet-27, by-25) nmod:poss (feet-27, his-26) nmod:by (pored-8, feet-27) punct (watching-3, .-28) ",takeaway,20,"det (takeaway-20, a-19) nmod:over (pored-8, takeaway-20) conj:and (papers-11, takeaway-20) amod (takeaway-20, Chinese-21) nmod:on (takeaway-20, floor-24) ",of a beer and a takeaway Chinese on the floor by,NN,[],,,,,[],[],[],,"[('over', 'pored', 8), ('on', 'floor', 24)]","['over', 'on']",['floor'],['pored'],['a'],['indefinite article'],"[('and', 'papers', 11)]",['and'],[papers-11],[],[],['Chinese'],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_1995.txt_2.csv,1,0,0,0,countable,a,unit,a/an,small
"She 'd made it to America in a cargo container , and now owned her own takeaway shop .","She/she/PRP 'd/would/MD made/make/VBN it/it/PRP to/to/TO America/America/NNP in/in/IN a/a/DT cargo/cargo/NN container/container/NN ,/,/, and/and/CC now/now/RB owned/own/VBN her/she/PRP$ own/own/JJ takeaway/takeaway/NN shop/shop/NN ././. ","ROOT (ROOT-0, made-3) nsubj (made-3, She-1) nsubj (owned-14, She-1) aux (made-3, 'd-2) dobj (made-3, it-4) case (America-6, to-5) nmod:to (made-3, America-6) case (container-10, in-7) det (container-10, a-8) compound (container-10, cargo-9) nmod:in (made-3, container-10) punct (made-3, ,-11) cc (made-3, and-12) advmod (owned-14, now-13) conj:and (made-3, owned-14) nmod:poss (shop-18, her-15) amod (shop-18, own-16) compound (shop-18, takeaway-17) dobj (owned-14, shop-18) punct (made-3, .-19) ",takeaway,17,"compound (shop-18, takeaway-17) ",and now owned her own takeaway shop .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['shop'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_2005.txt_2.csv,0,0,0,0,unknown,,,,
"In fact , as she jogged up the concrete steps to the entrance to her building , holding level a white foam takeaway container from a deli she 'd stopped at on her way home , a middle-aged man walking past gave her a lingering look and a hopeful smile .","In/in/IN fact/fact/NN ,/,/, as/as/IN she/she/PRP jogged/jog/VBD up/up/RP the/the/DT concrete/concrete/JJ steps/step/NNS to/to/TO the/the/DT entrance/entrance/NN to/to/TO her/she/PRP$ building/building/NN ,/,/, holding/hold/VBG level/level/NN a/a/DT white/white/JJ foam/foam/NN takeaway/takeaway/NN container/container/NN from/from/IN a/a/DT deli/deli/NNS she/she/PRP 'd/would/MD stopped/stop/VBD at/at/IN on/on/IN her/she/PRP$ way/way/NN home/home/NN ,/,/, a/a/DT middle-aged/middle-aged/JJ man/man/NN walking/walk/VBG past/past/JJ gave/give/VBD her/she/PRP a/a/DT lingering/linger/VBG look/look/NN and/and/CC a/a/DT hopeful/hopeful/JJ smile/smile/NN ././. ","ROOT (ROOT-0, gave-42) case (fact-2, In-1) nmod:in (gave-42, fact-2) punct (gave-42, ,-3) mark (jogged-6, as-4) nsubj (jogged-6, she-5) advcl:as (gave-42, jogged-6) compound:prt (jogged-6, up-7) det (steps-10, the-8) amod (steps-10, concrete-9) dobj (jogged-6, steps-10) case (entrance-13, to-11) det (entrance-13, the-12) nmod:to (jogged-6, entrance-13) case (building-16, to-14) nmod:poss (building-16, her-15) nmod:to (jogged-6, building-16) punct (jogged-6, ,-17) advcl (jogged-6, holding-18) dobj (holding-18, level-19) det (container-24, a-20) amod (container-24, white-21) compound (container-24, foam-22) compound (container-24, takeaway-23) nmod:from (holding-18, container-24) case (container-24, from-25) det (deli-27, a-26) dep (container-24, deli-27) nsubj (stopped-30, she-28) aux (stopped-30, 'd-29) acl:relcl (deli-27, stopped-30) advmod (stopped-30, at-31) case (home-35, on-32) nmod:poss (home-35, her-33) compound (home-35, way-34) nmod:on (stopped-30, home-35) punct (gave-42, ,-36) det (man-39, a-37) amod (man-39, middle-aged-38) nsubj (gave-42, man-39) acl (man-39, walking-40) dobj (walking-40, past-41) iobj (gave-42, her-43) det (look-46, a-44) amod (look-46, lingering-45) dobj (gave-42, look-46) cc (look-46, and-47) det (smile-50, a-48) amod (smile-50, hopeful-49) dobj (gave-42, smile-50) conj:and (look-46, smile-50) punct (gave-42, .-51) ",takeaway,23,"compound (container-24, takeaway-23) ",holding level a white foam takeaway container from a deli she,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['container'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_2011.txt_1.csv,0,0,0,0,unknown,,,,
"After ascertaining that Wing Dings were not something he could get from the Chinese takeaway , he sent his new salesgirl , a pretty Panamanian named Stella , to get chocolate bombs from Cuppa Joe 's .","After/after/IN ascertaining/ascertain/VBG that/that/IN Wing/wing/NN Dings/ding/NNS were/be/VBD not/not/RB something/something/NN he/he/PRP could/could/MD get/get/VB from/from/IN the/the/DT Chinese/chinese/JJ takeaway/takeaway/NN ,/,/, he/he/PRP sent/send/VBD his/he/PRP$ new/new/JJ salesgirl/salesgirl/NN ,/,/, a/a/DT pretty/pretty/RB Panamanian/panamanian/JJ named/name/VBN Stella/Stella/NNP ,/,/, to/to/TO get/get/VB chocolate/chocolate/NN bombs/bomb/NNS from/from/IN Cuppa/cuppa/NN Joe/Joe/NNP 's/'s/POS ././. ","ROOT (ROOT-0, sent-18) mark (ascertaining-2, After-1) advcl:after (sent-18, ascertaining-2) mark (something-8, that-3) compound (Dings-5, Wing-4) nsubj (something-8, Dings-5) cop (something-8, were-6) neg (something-8, not-7) ccomp (ascertaining-2, something-8) nsubj (get-11, he-9) aux (get-11, could-10) acl:relcl (something-8, get-11) case (takeaway-15, from-12) det (takeaway-15, the-13) amod (takeaway-15, Chinese-14) nmod:from (get-11, takeaway-15) punct (sent-18, ,-16) nsubj (sent-18, he-17) nmod:poss (salesgirl-21, his-19) amod (salesgirl-21, new-20) dobj (sent-18, salesgirl-21) punct (salesgirl-21, ,-22) det (Panamanian-25, a-23) advmod (Panamanian-25, pretty-24) appos (salesgirl-21, Panamanian-25) acl (Panamanian-25, named-26) xcomp (named-26, Stella-27) punct (named-26, ,-28) mark (get-30, to-29) xcomp (named-26, get-30) compound (bombs-32, chocolate-31) dobj (get-30, bombs-32) case (Cuppa-34, from-33) nmod:from (get-30, Cuppa-34) nmod:poss (Cuppa-34, Joe-35) case (Joe-35, 's-36) punct (sent-18, .-37) ",takeaway,15,"case (takeaway-15, from-12) det (takeaway-15, the-13) amod (takeaway-15, Chinese-14) nmod:from (get-11, takeaway-15) ","could get from the Chinese takeaway , he sent his new",NN,[],,,,,[],[],[],,"[('from', 'get', 11)]",['from'],[],['get'],['the'],['definite article'],[],[],[],[],[],['Chinese'],,,,,,,,,,,,,,[],[],[],['from'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_2011.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"They do n't look at the two strangers , clearly Englishmen out in the wilds for some instant takeaway folklore .","They/they/PRP do/do/VBP n't/not/RB look/look/VB at/at/IN the/the/DT two/two/CD strangers/stranger/NNS ,/,/, clearly/clearly/RB Englishmen/Englishmen/NNP out/out/RP in/in/IN the/the/DT wilds/wild/NNS for/for/IN some/some/DT instant/instant/JJ takeaway/takeaway/NN folklore/folklore/NN ././. ","ROOT (ROOT-0, look-4) nsubj (look-4, They-1) aux (look-4, do-2) neg (look-4, n't-3) case (strangers-8, at-5) det (strangers-8, the-6) nummod (strangers-8, two-7) nmod:at (look-4, strangers-8) punct (strangers-8, ,-9) advmod (Englishmen-11, clearly-10) appos (strangers-8, Englishmen-11) advmod (look-4, out-12) case (wilds-15, in-13) det (wilds-15, the-14) nmod:in (out-12, wilds-15) case (folklore-20, for-16) det (folklore-20, some-17) amod (folklore-20, instant-18) compound (folklore-20, takeaway-19) nmod:for (wilds-15, folklore-20) punct (look-4, .-21) ",takeaway,19,"compound (folklore-20, takeaway-19) ",the wilds for some instant takeaway folklore .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['folklore'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/fiction/w_fic_2002.txt_1.csv,0,0,0,0,unknown,,,,
"Including two fumble recoveries , the Rams had eight takeaways .","Including/include/VBG two/two/CD fumble/fumble/JJ recoveries/recovery/NNS ,/,/, the/the/DT Rams/Rams/NNPS had/have/VBD eight/eight/CD takeaways/takeaway/NNS ././. ","ROOT (ROOT-0, had-8) case (recoveries-4, Including-1) nummod (recoveries-4, two-2) amod (recoveries-4, fumble-3) nmod:including (had-8, recoveries-4) punct (had-8, ,-5) det (Rams-7, the-6) nsubj (had-8, Rams-7) nummod (takeaways-10, eight-9) dobj (had-8, takeaways-10) punct (had-8, .-11) ",takeaway,10,"nummod (takeaways-10, eight-9) dobj (had-8, takeaways-10) ",", the Rams had eight takeaways .",NNS,[],had-8,have,VBD,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],['eight'],[],[],[],[],[],[],[],plural,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/mag/w_mag_2002.txt_2.csv,0,0,0,1,unknown,eight,other,number,small
