Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"The presence of Uneme smiths , with their added involvement in woodwork , thus provides another dimension of unity to the entire region , more wide ranging than the distribution of Oje pottery , although it is a unity standing in ironic contrast to their status as locally perceived .","The/the/DT presence/presence/NN of/of/IN Uneme/Uneme/NNP smiths/smith/NNS ,/,/, with/with/IN their/they/PRP$ added/add/VBN involvement/involvement/NN in/in/IN woodwork/woodwork/NN ,/,/, thus/thus/RB provides/provide/VBZ another/another/DT dimension/dimension/NN of/of/IN unity/unity/NN to/to/TO the/the/DT entire/entire/JJ region/region/NN ,/,/, more/more/JJR wide/wide/JJ ranging/range/VBG than/than/IN the/the/DT distribution/distribution/NN of/of/IN Oje/Oje/NNP pottery/pottery/NN ,/,/, although/although/IN it/it/PRP is/be/VBZ a/a/DT unity/unity/NN standing/standing/NN in/in/IN ironic/ironic/JJ contrast/contrast/NN to/to/TO their/they/PRP$ status/status/NN as/as/IN locally/locally/RB perceived/perceive/VBN ././. ","ROOT (ROOT-0, provides-15) det (presence-2, The-1) nsubj (provides-15, presence-2) case (smiths-5, of-3) compound (smiths-5, Uneme-4) nmod:of (presence-2, smiths-5) punct (presence-2, ,-6) case (involvement-10, with-7) nmod:poss (involvement-10, their-8) amod (involvement-10, added-9) nmod:with (presence-2, involvement-10) case (woodwork-12, in-11) nmod:in (involvement-10, woodwork-12) punct (presence-2, ,-13) advmod (provides-15, thus-14) det (dimension-17, another-16) dobj (provides-15, dimension-17) case (unity-19, of-18) nmod:of (dimension-17, unity-19) case (region-23, to-20) det (region-23, the-21) amod (region-23, entire-22) nmod:to (provides-15, region-23) punct (region-23, ,-24) appos (region-23, more-25) amod (more-25, wide-26) acl (more-25, ranging-27) case (distribution-30, than-28) det (distribution-30, the-29) nmod:than (ranging-27, distribution-30) case (pottery-33, of-31) compound (pottery-33, Oje-32) nmod:of (distribution-30, pottery-33) punct (provides-15, ,-34) mark (standing-40, although-35) nsubj (standing-40, it-36) cop (standing-40, is-37) det (standing-40, a-38) compound (standing-40, unity-39) advcl:although (provides-15, standing-40) case (contrast-43, in-41) amod (contrast-43, ironic-42) nmod:in (standing-40, contrast-43) case (status-46, to-44) nmod:poss (status-46, their-45) nmod:to (contrast-43, status-46) mark (perceived-49, as-47) advmod (perceived-49, locally-48) dep (standing-40, perceived-49) punct (provides-15, .-50) ",woodwork,12,"case (woodwork-12, in-11) nmod:in (involvement-10, woodwork-12) ","with their added involvement in woodwork , thus provides another dimension",NN,[],,,,,[],[],[],,"[('in', 'involvement', 10)]",['in'],[],['involvement'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['in'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,,,,
"In his classic 1860 book of desert lore , The Great Sahara , the British omithologist H. B. Tristam gave the first inkling of the existence of this conifer to Western science : '' To judge from the woodwork of the saddles and the handies of weapons which I obtained from Touareg , manufactured in the Dj .","In/in/IN his/he/PRP$ classic/classic/JJ 1860/1860/CD book/book/NN of/of/IN desert/desert/NN lore/lore/NN ,/,/, The/the/DT Great/great/JJ Sahara/Sahara/NNP ,/,/, the/the/DT British/british/JJ omithologist/omithologist/NN H./H./NNP B./B./NNP Tristam/Tristam/NNP gave/give/VBD the/the/DT first/first/JJ inkling/inkling/NN of/of/IN the/the/DT existence/existence/NN of/of/IN this/this/DT conifer/conifer/NN to/to/TO Western/western/JJ science/science/NN :/:/: ''/''/'' To/to/TO judge/judge/VB from/from/IN the/the/DT woodwork/woodwork/NN of/of/IN the/the/DT saddles/saddle/NNS and/and/CC the/the/DT handies/handy/NNS of/of/IN weapons/weapon/NNS which/which/WDT I/I/PRP obtained/obtain/VBD from/from/IN Touareg/Touareg/NNP ,/,/, manufactured/manufacture/VBN in/in/IN the/the/DT Dj/dj/NN ././. ","ROOT (ROOT-0, gave-20) case (book-5, In-1) nmod:poss (book-5, his-2) amod (book-5, classic-3) nummod (book-5, 1860-4) nmod:in (gave-20, book-5) case (lore-8, of-6) compound (lore-8, desert-7) nmod:of (book-5, lore-8) punct (lore-8, ,-9) det (Sahara-12, The-10) amod (Sahara-12, Great-11) appos (lore-8, Sahara-12) punct (gave-20, ,-13) det (Tristam-19, the-14) amod (Tristam-19, British-15) compound (Tristam-19, omithologist-16) compound (Tristam-19, H.-17) compound (Tristam-19, B.-18) nsubj (gave-20, Tristam-19) det (inkling-23, the-21) amod (inkling-23, first-22) dobj (gave-20, inkling-23) case (existence-26, of-24) det (existence-26, the-25) nmod:of (inkling-23, existence-26) case (conifer-29, of-27) det (conifer-29, this-28) nmod:of (existence-26, conifer-29) case (science-32, to-30) amod (science-32, Western-31) nmod:to (gave-20, science-32) punct (gave-20, :-33) punct (gave-20, ''-34) mark (judge-36, To-35) parataxis (gave-20, judge-36) case (woodwork-39, from-37) det (woodwork-39, the-38) nmod:from (judge-36, woodwork-39) case (saddles-42, of-40) det (saddles-42, the-41) nmod:of (woodwork-39, saddles-42) cc (woodwork-39, and-43) det (handies-45, the-44) nmod:from (judge-36, handies-45) conj:and (woodwork-39, handies-45) case (weapons-47, of-46) nmod:of (handies-45, weapons-47) dobj (obtained-50, which-48) nsubj (obtained-50, I-49) ccomp (judge-36, obtained-50) case (Touareg-52, from-51) nmod:from (obtained-50, Touareg-52) punct (judge-36, ,-53) parataxis (judge-36, manufactured-54) case (Dj-57, in-55) det (Dj-57, the-56) nmod:in (manufactured-54, Dj-57) punct (gave-20, .-58) ",woodwork,39,"case (woodwork-39, from-37) det (woodwork-39, the-38) nmod:from (judge-36, woodwork-39) nmod:of (woodwork-39, saddles-42) cc (woodwork-39, and-43) conj:and (woodwork-39, handies-45) ",'' To judge from the woodwork of the saddles and the,NN,[],,,,,[],[],[],,"[('from', 'judge', 36), ('of', 'saddles', 42)]","['from', 'of']",['saddles'],['judge'],['the'],['definite article'],"[('and', 'handies', 45)]",['and'],[handies-45],[],[],[],,,,,,,,,,,,,,[],[],[],['from'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"No two chroniclers ( or survivors ) of the past several decades in arts education are likely to agree on a cast of characters or a given chain of events that made the term arts education seem inevitable and , though the standards document is an undeniable reality , there are more than a few curmudgeons in the professional woodwork who still insist that '' arts education '' is a misnomer because there is no such discipline as '' the arts . ''","No/no/DT two/two/CD chroniclers/chronicler/NNS -LRB-/-lrb-/-LRB- or/or/CC survivors/survivor/NNS -RRB-/-rrb-/-RRB- of/of/IN the/the/DT past/past/JJ several/several/JJ decades/decade/NNS in/in/IN arts/art/NNS education/education/NN are/be/VBP likely/likely/JJ to/to/TO agree/agree/VB on/on/IN a/a/DT cast/cast/NN of/of/IN characters/character/NNS or/or/CC a/a/DT given/give/VBN chain/chain/NN of/of/IN events/event/NNS that/that/WDT made/make/VBD the/the/DT term/term/NN arts/art/NNS education/education/NN seem/seem/VBP inevitable/inevitable/JJ and/and/CC ,/,/, though/though/IN the/the/DT standards/standard/NNS document/document/NN is/be/VBZ an/a/DT undeniable/undeniable/JJ reality/reality/NN ,/,/, there/there/EX are/be/VBP more/more/JJR than/than/IN a/a/DT few/few/JJ curmudgeons/curmudgeon/NNS in/in/IN the/the/DT professional/professional/JJ woodwork/woodwork/NN who/who/WP still/still/RB insist/insist/VBP that/that/DT ''/''/'' arts/art/NNS education/education/NN ''/''/'' is/be/VBZ a/a/DT misnomer/misnomer/NN because/because/IN there/there/EX is/be/VBZ no/no/DT such/such/JJ discipline/discipline/NN as/as/IN ''/''/'' the/the/DT arts/art/NNS ././. ''/''/'' ","ROOT (ROOT-0, is-69) neg (chroniclers-3, No-1) nummod (chroniclers-3, two-2) nsubj (is-69, chroniclers-3) punct (chroniclers-3, (-4) cc (chroniclers-3, or-5) conj:or (chroniclers-3, survivors-6) nsubj (is-69, survivors-6) punct (chroniclers-3, )-7) case (decades-12, of-8) det (decades-12, the-9) amod (decades-12, past-10) amod (decades-12, several-11) nmod:of (likely-17, decades-12) case (education-15, in-13) compound (education-15, arts-14) nmod:in (decades-12, education-15) cop (likely-17, are-16) dep (is-69, likely-17) mark (agree-19, to-18) xcomp (likely-17, agree-19) case (cast-22, on-20) det (cast-22, a-21) nmod:on (agree-19, cast-22) case (characters-24, of-23) nmod:of (cast-22, characters-24) cc (cast-22, or-25) det (chain-28, a-26) amod (chain-28, given-27) nmod:on (agree-19, chain-28) conj:or (cast-22, chain-28) case (events-30, of-29) nmod:of (chain-28, events-30) nsubj (made-32, that-31) ccomp (agree-19, made-32) det (education-36, the-33) compound (education-36, term-34) compound (education-36, arts-35) nsubj (seem-37, education-36) dep (made-32, seem-37) xcomp (seem-37, inevitable-38) cc (seem-37, and-39) punct (are-51, ,-40) mark (reality-48, though-41) det (document-44, the-42) compound (document-44, standards-43) nsubj (reality-48, document-44) cop (reality-48, is-45) det (reality-48, an-46) amod (reality-48, undeniable-47) advcl:though (are-51, reality-48) punct (are-51, ,-49) expl (are-51, there-50) dep (made-32, are-51) conj:and (seem-37, are-51) advmod (few-55, more-52) mwe (more-52, than-53) advmod (few-55, a-54) nummod (curmudgeons-56, few-55) nsubj (are-51, curmudgeons-56) case (woodwork-60, in-57) det (woodwork-60, the-58) amod (woodwork-60, professional-59) nmod:in (curmudgeons-56, woodwork-60) nsubj (insist-63, woodwork-60) ref (woodwork-60, who-61) advmod (insist-63, still-62) acl:relcl (woodwork-60, insist-63) dobj (insist-63, that-64) punct (agree-19, ''-65) compound (education-67, arts-66) dobj (agree-19, education-67) punct (agree-19, ''-68) det (misnomer-71, a-70) dep (is-69, misnomer-71) mark (is-74, because-72) expl (is-74, there-73) advcl:because (is-69, is-74) neg (discipline-77, no-75) amod (discipline-77, such-76) nsubj (is-74, discipline-77) case (arts-81, as-78) punct (arts-81, ''-79) det (arts-81, the-80) nmod:as (discipline-77, arts-81) punct (is-69, .-82) punct (is-69, ''-83) ",woodwork,60,"case (woodwork-60, in-57) det (woodwork-60, the-58) amod (woodwork-60, professional-59) nmod:in (curmudgeons-56, woodwork-60) nsubj (insist-63, woodwork-60) ref (woodwork-60, who-61) acl:relcl (woodwork-60, insist-63) ",few curmudgeons in the professional woodwork who still insist that '',NN,[],insist-63,insist,VBP,subject,['still'],[],[],,"[('in', 'curmudgeons', 56)]",['in'],[],['curmudgeons'],['the'],['definite article'],[],[],[],[],[],['professional'],[0.06941666666666667],[0.0975],[0.0375],[0.12],[0.0875],[0.03],[0.044583333333333336],[0.0725],[0.0825],[0.068125],[0.09083333333333334],[0.19120833333333334],[0.008333333333333333],[],[],[],['in'],[],[],[],[],[],[],singular,linked,plural,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1994.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
People have disappeared into the woodwork . '',People/people/NNS have/have/VBP disappeared/disappear/VBN into/into/IN the/the/DT woodwork/woodwork/NN ././. ''/''/'' ,"ROOT (ROOT-0, disappeared-3) nsubj (disappeared-3, People-1) aux (disappeared-3, have-2) case (woodwork-6, into-4) det (woodwork-6, the-5) nmod:into (disappeared-3, woodwork-6) punct (disappeared-3, .-7) punct (disappeared-3, ''-8) ",woodwork,6,"case (woodwork-6, into-4) det (woodwork-6, the-5) nmod:into (disappeared-3, woodwork-6) ",People have disappeared into the woodwork . '',NN,[],,,,,[],[],[],,"[('into', 'disappeared', 3)]",['into'],[],['disappeared'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['into'],[],[],[],[],[],[],singular,linked,,"[2, True, False, 1, 0.5, 0] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
Years of Anguish  Fleming did not disappear into the woodwork .,Years/year/NNS of/of/IN Anguish/Anguish/NNP Fleming/Fleming/NNP did/do/VBD not/not/RB disappear/disappear/VB into/into/IN the/the/DT woodwork/woodwork/NN ././. ,"ROOT (ROOT-0, disappear-7) nsubj (disappear-7, Years-1) case (Fleming-4, of-2) compound (Fleming-4, Anguish-3) nmod:of (Years-1, Fleming-4) aux (disappear-7, did-5) neg (disappear-7, not-6) case (woodwork-10, into-8) det (woodwork-10, the-9) nmod:into (disappear-7, woodwork-10) punct (disappear-7, .-11) ",woodwork,10,"case (woodwork-10, into-8) det (woodwork-10, the-9) nmod:into (disappear-7, woodwork-10) ",did not disappear into the woodwork .,NN,[],,,,,[],[],[],,"[('into', 'disappear', 7)]",['into'],[],['disappear'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['into'],[],[],[],[],[],[],singular,linked,,"[2, False, False, 2, 1.0, 1] ",False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
His absorption in teaching woodwork to the village boys brings his erotic life to an end ( 216-22 ) .,His/he/PRP$ absorption/absorption/NN in/in/IN teaching/teaching/NN woodwork/woodwork/NN to/to/TO the/the/DT village/village/NN boys/boy/NNS brings/bring/VBZ his/he/PRP$ erotic/erotic/JJ life/life/NN to/to/TO an/a/DT end/end/NN -LRB-/-lrb-/-LRB- 216-22/216-22/CD -RRB-/-rrb-/-RRB- ././. ,"ROOT (ROOT-0, brings-10) nmod:poss (absorption-2, His-1) nsubj (brings-10, absorption-2) case (woodwork-5, in-3) compound (woodwork-5, teaching-4) nmod:in (absorption-2, woodwork-5) case (boys-9, to-6) det (boys-9, the-7) compound (boys-9, village-8) nmod:to (woodwork-5, boys-9) nmod:poss (life-13, his-11) amod (life-13, erotic-12) dobj (brings-10, life-13) case (end-16, to-14) det (end-16, an-15) nmod:to (brings-10, end-16) punct (216-22-18, (-17) appos (end-16, 216-22-18) punct (216-22-18, )-19) punct (brings-10, .-20) ",woodwork,5,"case (woodwork-5, in-3) compound (woodwork-5, teaching-4) nmod:in (absorption-2, woodwork-5) nmod:to (woodwork-5, boys-9) ",His absorption in teaching woodwork to the village boys brings,NN,[],,,,,[],[],[],,"[('in', 'absorption', 2), ('to', 'boys', 9)]","['in', 'to']",['boys'],['absorption'],[],[],[],[],[],[],['teaching'],[],,,,,,,,,,,,,,[],[],[],['in'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1996.txt_3.csv,0,0,0,0,unknown,,,,
The potential but unproved '' woodwork '' effect ( whereby families who had been providing unpaid care would '' come out of the woodwork '' to take advantage of public programs ) is one source of anxiety .,The/the/DT potential/potential/JJ but/but/CC unproved/unproved/JJ ''/''/'' woodwork/woodwork/NN ''/''/'' effect/effect/NN -LRB-/-lrb-/-LRB- whereby/whereby/WRB families/family/NNS who/who/WP had/have/VBD been/be/VBN providing/provide/VBG unpaid/unpaid/JJ care/care/NN would/would/MD ''/''/'' come/come/VBN out/out/IN of/of/IN the/the/DT woodwork/woodwork/NN ''/''/'' to/to/TO take/take/VB advantage/advantage/NN of/of/IN public/public/JJ programs/program/NNS -RRB-/-rrb-/-RRB- is/be/VBZ one/one/CD source/source/NN of/of/IN anxiety/anxiety/NN ././. ,"ROOT (ROOT-0, source-35) det (potential-2, The-1) nsubj (source-35, potential-2) case (unproved-4, but-3) nmod:but (potential-2, unproved-4) punct (potential-2, ''-5) compound (effect-8, woodwork-6) punct (effect-8, ''-7) dep (potential-2, effect-8) punct (come-20, (-9) advmod (come-20, whereby-10) nsubj (providing-15, families-11) nsubj (come-20, families-11) ref (families-11, who-12) aux (providing-15, had-13) aux (providing-15, been-14) acl:relcl (families-11, providing-15) amod (care-17, unpaid-16) dobj (providing-15, care-17) acl:relcl (care-17, would-18) punct (providing-15, ''-19) dep (potential-2, come-20) case (woodwork-24, out-21) mwe (out-21, of-22) det (woodwork-24, the-23) nmod:out_of (come-20, woodwork-24) punct (woodwork-24, ''-25) mark (take-27, to-26) acl:to (woodwork-24, take-27) dobj (take-27, advantage-28) case (programs-31, of-29) amod (programs-31, public-30) nmod:of (advantage-28, programs-31) punct (come-20, )-32) cop (source-35, is-33) nummod (source-35, one-34) case (anxiety-37, of-36) nmod:of (source-35, anxiety-37) punct (source-35, .-38) ",woodwork,6,"compound (effect-8, woodwork-6) ",The potential but unproved '' woodwork '' effect ( whereby families,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['effect'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1998.txt_2.csv,0,0,0,0,unknown,,,,
The potential but unproved '' woodwork '' effect ( whereby families who had been providing unpaid care would '' come out of the woodwork '' to take advantage of public programs ) is one source of anxiety .,The/the/DT potential/potential/JJ but/but/CC unproved/unproved/JJ ''/''/'' woodwork/woodwork/NN ''/''/'' effect/effect/NN -LRB-/-lrb-/-LRB- whereby/whereby/WRB families/family/NNS who/who/WP had/have/VBD been/be/VBN providing/provide/VBG unpaid/unpaid/JJ care/care/NN would/would/MD ''/''/'' come/come/VBN out/out/IN of/of/IN the/the/DT woodwork/woodwork/NN ''/''/'' to/to/TO take/take/VB advantage/advantage/NN of/of/IN public/public/JJ programs/program/NNS -RRB-/-rrb-/-RRB- is/be/VBZ one/one/CD source/source/NN of/of/IN anxiety/anxiety/NN ././. ,"ROOT (ROOT-0, source-35) det (potential-2, The-1) nsubj (source-35, potential-2) case (unproved-4, but-3) nmod:but (potential-2, unproved-4) punct (potential-2, ''-5) compound (effect-8, woodwork-6) punct (effect-8, ''-7) dep (potential-2, effect-8) punct (come-20, (-9) advmod (come-20, whereby-10) nsubj (providing-15, families-11) nsubj (come-20, families-11) ref (families-11, who-12) aux (providing-15, had-13) aux (providing-15, been-14) acl:relcl (families-11, providing-15) amod (care-17, unpaid-16) dobj (providing-15, care-17) acl:relcl (care-17, would-18) punct (providing-15, ''-19) dep (potential-2, come-20) case (woodwork-24, out-21) mwe (out-21, of-22) det (woodwork-24, the-23) nmod:out_of (come-20, woodwork-24) punct (woodwork-24, ''-25) mark (take-27, to-26) acl:to (woodwork-24, take-27) dobj (take-27, advantage-28) case (programs-31, of-29) amod (programs-31, public-30) nmod:of (advantage-28, programs-31) punct (come-20, )-32) cop (source-35, is-33) nummod (source-35, one-34) case (anxiety-37, of-36) nmod:of (source-35, anxiety-37) punct (source-35, .-38) ",woodwork,24,"case (woodwork-24, out-21) det (woodwork-24, the-23) nmod:out_of (come-20, woodwork-24) punct (woodwork-24, ''-25) acl:to (woodwork-24, take-27) ",'' come out of the woodwork '' to take advantage of,NN,[],,,,,[],[],[],,"[('out_of', 'come', 20)]",['out_of'],[],['come'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['out'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1998.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
This astronomical price had the effect of bringing another copy out of the woodwork .,This/this/DT astronomical/astronomical/JJ price/price/NN had/have/VBD the/the/DT effect/effect/NN of/of/IN bringing/bring/VBG another/another/DT copy/copy/NN out/out/IN of/of/IN the/the/DT woodwork/woodwork/NN ././. ,"ROOT (ROOT-0, had-4) det (price-3, This-1) amod (price-3, astronomical-2) nsubj (had-4, price-3) det (effect-6, the-5) dobj (had-4, effect-6) mark (bringing-8, of-7) acl:of (effect-6, bringing-8) det (copy-10, another-9) dobj (bringing-8, copy-10) compound:prt (bringing-8, out-11) case (woodwork-14, of-12) det (woodwork-14, the-13) nmod:of (bringing-8, woodwork-14) punct (had-4, .-15) ",woodwork,14,"case (woodwork-14, of-12) det (woodwork-14, the-13) nmod:of (bringing-8, woodwork-14) ",another copy out of the woodwork .,NN,[],,,,,[],[],[],,"[('of', 'bringing', 8)]",['of'],[],['bringing'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1999.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"This artisan carves '' santos '' ( wooden images of Christian and Spanish derived iconography ) , does woodwork , makes hammocks associated with the indigenous tradition , or carves coconut masks , associated with the African tradition , thereby reproducing the three legacies believed to constitute Puerto Rican identity .","This/this/DT artisan/artisan/NN carves/carve/VBZ ''/''/'' santos/santo/NNS ''/''/'' -LRB-/-lrb-/-LRB- wooden/wooden/JJ images/image/NNS of/of/IN Christian/christian/JJ and/and/CC Spanish/spanish/JJ derived/derive/VBN iconography/iconography/NN -RRB-/-rrb-/-RRB- ,/,/, does/do/VBZ woodwork/woodwork/NN ,/,/, makes/make/VBZ hammocks/hammock/NNS associated/associate/VBN with/with/IN the/the/DT indigenous/indigenous/JJ tradition/tradition/NN ,/,/, or/or/CC carves/carve/VBZ coconut/coconut/NN masks/mask/NNS ,/,/, associated/associate/VBN with/with/IN the/the/DT African/african/JJ tradition/tradition/NN ,/,/, thereby/thereby/RB reproducing/reproduce/VBG the/the/DT three/three/CD legacies/legacy/NNS believed/believe/VBN to/to/TO constitute/constitute/VB Puerto/Puerto/NNP Rican/Rican/NNP identity/identity/NN ././. ","ROOT (ROOT-0, carves-3) advmod (carves-3, This-1) nsubj (carves-3, artisan-2) punct (carves-3, ''-4) nsubj (does-18, santos-5) nsubj (makes-21, santos-5) nsubj (carves-30, santos-5) punct (santos-5, ''-6) punct (images-9, (-7) amod (images-9, wooden-8) dep (santos-5, images-9) case (Christian-11, of-10) nmod:of (images-9, Christian-11) cc (Christian-11, and-12) nmod:of (images-9, Spanish-13) conj:and (Christian-11, Spanish-13) acl (images-9, derived-14) dobj (derived-14, iconography-15) punct (images-9, )-16) punct (santos-5, ,-17) parataxis (carves-3, does-18) dobj (does-18, woodwork-19) punct (does-18, ,-20) parataxis (carves-3, makes-21) conj:or (does-18, makes-21) dobj (makes-21, hammocks-22) acl (hammocks-22, associated-23) case (tradition-27, with-24) det (tradition-27, the-25) amod (tradition-27, indigenous-26) nmod:with (associated-23, tradition-27) punct (does-18, ,-28) cc (does-18, or-29) parataxis (carves-3, carves-30) conj:or (does-18, carves-30) compound (masks-32, coconut-31) dobj (carves-30, masks-32) punct (masks-32, ,-33) acl (masks-32, associated-34) case (tradition-38, with-35) det (tradition-38, the-36) amod (tradition-38, African-37) nmod:with (associated-34, tradition-38) punct (masks-32, ,-39) advmod (reproducing-41, thereby-40) acl (masks-32, reproducing-41) det (legacies-44, the-42) nummod (legacies-44, three-43) dobj (reproducing-41, legacies-44) acl (legacies-44, believed-45) mark (constitute-47, to-46) xcomp (believed-45, constitute-47) compound (identity-50, Puerto-48) compound (identity-50, Rican-49) dobj (constitute-47, identity-50) punct (carves-3, .-51) ",woodwork,19,"dobj (does-18, woodwork-19) ","derived iconography ) , does woodwork , makes hammocks associated with",NN,[],does-18,do,VBZ,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,singular,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1999.txt_3.csv,0,0,0,0,unknown,,,,
