Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
"Where we perceive a chain of events , he sees one single catastrophe which keeps piling wreckage upon wreckage and hurls it in front of his feet .","Where/where/WRB we/we/PRP perceive/perceive/VBP a/a/DT chain/chain/NN of/of/IN events/event/NNS ,/,/, he/he/PRP sees/see/VBZ one/one/CD single/single/JJ catastrophe/catastrophe/NN which/which/WDT keeps/keep/VBZ piling/pile/VBG wreckage/wreckage/NN upon/upon/IN wreckage/wreckage/NN and/and/CC hurls/hurl/VBZ it/it/PRP in/in/IN front/front/NN of/of/IN his/he/PRP$ feet/foot/NNS ././. ","ROOT (ROOT-0, sees-10) advmod (perceive-3, Where-1) nsubj (perceive-3, we-2) advcl (sees-10, perceive-3) det (chain-5, a-4) dobj (perceive-3, chain-5) case (events-7, of-6) nmod:of (chain-5, events-7) punct (sees-10, ,-8) nsubj (sees-10, he-9) nummod (catastrophe-13, one-11) amod (catastrophe-13, single-12) dobj (sees-10, catastrophe-13) nsubj (keeps-15, catastrophe-13) nsubj (hurls-21, catastrophe-13) ref (catastrophe-13, which-14) acl:relcl (catastrophe-13, keeps-15) xcomp (keeps-15, piling-16) dobj (piling-16, wreckage-17) case (wreckage-19, upon-18) nmod:upon (piling-16, wreckage-19) cc (keeps-15, and-20) acl:relcl (catastrophe-13, hurls-21) conj:and (keeps-15, hurls-21) dobj (hurls-21, it-22) case (feet-27, in-23) mwe (in-23, front-24) mwe (in-23, of-25) nmod:poss (feet-27, his-26) nmod:in_front_of (hurls-21, feet-27) punct (sees-10, .-28) ",wreckage,17,"dobj (piling-16, wreckage-17) ",single catastrophe which keeps piling wreckage upon wreckage and hurls it,NN,[],piling-16,pile,VBG,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
"Where we perceive a chain of events , he sees one single catastrophe which keeps piling wreckage upon wreckage and hurls it in front of his feet .","Where/where/WRB we/we/PRP perceive/perceive/VBP a/a/DT chain/chain/NN of/of/IN events/event/NNS ,/,/, he/he/PRP sees/see/VBZ one/one/CD single/single/JJ catastrophe/catastrophe/NN which/which/WDT keeps/keep/VBZ piling/pile/VBG wreckage/wreckage/NN upon/upon/IN wreckage/wreckage/NN and/and/CC hurls/hurl/VBZ it/it/PRP in/in/IN front/front/NN of/of/IN his/he/PRP$ feet/foot/NNS ././. ","ROOT (ROOT-0, sees-10) advmod (perceive-3, Where-1) nsubj (perceive-3, we-2) advcl (sees-10, perceive-3) det (chain-5, a-4) dobj (perceive-3, chain-5) case (events-7, of-6) nmod:of (chain-5, events-7) punct (sees-10, ,-8) nsubj (sees-10, he-9) nummod (catastrophe-13, one-11) amod (catastrophe-13, single-12) dobj (sees-10, catastrophe-13) nsubj (keeps-15, catastrophe-13) nsubj (hurls-21, catastrophe-13) ref (catastrophe-13, which-14) acl:relcl (catastrophe-13, keeps-15) xcomp (keeps-15, piling-16) dobj (piling-16, wreckage-17) case (wreckage-19, upon-18) nmod:upon (piling-16, wreckage-19) cc (keeps-15, and-20) acl:relcl (catastrophe-13, hurls-21) conj:and (keeps-15, hurls-21) dobj (hurls-21, it-22) case (feet-27, in-23) mwe (in-23, front-24) mwe (in-23, of-25) nmod:poss (feet-27, his-26) nmod:in_front_of (hurls-21, feet-27) punct (sees-10, .-28) ",wreckage,19,"case (wreckage-19, upon-18) nmod:upon (piling-16, wreckage-19) ",which keeps piling wreckage upon wreckage and hurls it in front,NN,[],,,,,[],[],[],,"[('upon', 'piling', 16)]",['upon'],[],['piling'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['upon'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
"Just as the profane connects with the messianic by a seemingly backward move , a move in the opposite direction , similarly Benjamin 's angel of history in the '' Theses '' is blown backward into the future , fixing his gaze on the past as a catastrophe , not a chain of events , and gazing in pain as ruins and wreckage are piled at his feet .","Just/just/RB as/as/IN the/the/DT profane/profane/NN connects/connect/VBZ with/with/IN the/the/DT messianic/messianic/JJ by/by/IN a/a/DT seemingly/seemingly/RB backward/backward/RB move/move/VB ,/,/, a/a/DT move/move/NN in/in/IN the/the/DT opposite/opposite/JJ direction/direction/NN ,/,/, similarly/similarly/RB Benjamin/Benjamin/NNP 's/'s/POS angel/angel/NN of/of/IN history/history/NN in/in/IN the/the/DT ''/''/'' Theses/thesis/NNS ''/''/'' is/be/VBZ blown/blow/VBN backward/backward/RB into/into/IN the/the/DT future/future/NN ,/,/, fixing/fix/VBG his/he/PRP$ gaze/gaze/VBP on/on/IN the/the/DT past/past/NN as/as/IN a/a/DT catastrophe/catastrophe/NN ,/,/, not/not/RB a/a/DT chain/chain/NN of/of/IN events/event/NNS ,/,/, and/and/CC gazing/gaze/VBG in/in/IN pain/pain/NN as/as/IN ruins/ruin/NNS and/and/CC wreckage/wreckage/NN are/be/VBP piled/pile/VBN at/at/IN his/he/PRP$ feet/foot/NNS ././. ","ROOT (ROOT-0, blown-34) advmod (connects-5, Just-1) mark (connects-5, as-2) det (profane-4, the-3) nsubj (connects-5, profane-4) advcl:as (blown-34, connects-5) case (messianic-8, with-6) det (messianic-8, the-7) nmod:with (connects-5, messianic-8) case (backward-12, by-9) det (backward-12, a-10) advmod (backward-12, seemingly-11) nmod:by (connects-5, backward-12) dep (connects-5, move-13) punct (blown-34, ,-14) det (move-16, a-15) nsubjpass (blown-34, move-16) case (direction-20, in-17) det (direction-20, the-18) amod (direction-20, opposite-19) nmod:in (move-16, direction-20) punct (direction-20, ,-21) advmod (angel-25, similarly-22) nmod:poss (angel-25, Benjamin-23) case (Benjamin-23, 's-24) appos (direction-20, angel-25) case (history-27, of-26) nmod:of (angel-25, history-27) case (the-29, in-28) nmod:in (history-27, the-29) punct (direction-20, ''-30) dep (move-16, Theses-31) punct (move-16, ''-32) auxpass (blown-34, is-33) advmod (blown-34, backward-35) case (future-38, into-36) det (future-38, the-37) nmod:into (blown-34, future-38) punct (blown-34, ,-39) ccomp (blown-34, fixing-40) nsubj (gaze-42, his-41) ccomp (fixing-40, gaze-42) case (past-45, on-43) det (past-45, the-44) nmod:on (gaze-42, past-45) case (catastrophe-48, as-46) det (catastrophe-48, a-47) nmod:as (past-45, catastrophe-48) punct (catastrophe-48, ,-49) neg (chain-52, not-50) det (chain-52, a-51) appos (catastrophe-48, chain-52) case (events-54, of-53) nmod:of (chain-52, events-54) punct (catastrophe-48, ,-55) cc (fixing-40, and-56) ccomp (blown-34, gazing-57) conj:and (fixing-40, gazing-57) case (pain-59, in-58) nmod:in (gazing-57, pain-59) mark (piled-65, as-60) nsubjpass (piled-65, ruins-61) cc (ruins-61, and-62) conj:and (ruins-61, wreckage-63) nsubjpass (piled-65, wreckage-63) auxpass (piled-65, are-64) advcl:as (gazing-57, piled-65) case (feet-68, at-66) nmod:poss (feet-68, his-67) nmod:at (piled-65, feet-68) punct (blown-34, .-69) ",wreckage,63,"conj:and (ruins-61, wreckage-63) nsubjpass (piled-65, wreckage-63) ",in pain as ruins and wreckage are piled at his feet,NN,[],piled-65,pile,VBN,passive,[],[],[],,[],[],[],[],[],[],"[('and', 'ruins', 61)]",['and'],[ruins-61],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],as,singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,,,,
"Pilots , aching to strike at the enemy , in the air viewed the wreckage which until a few minutes before had been a strong air group of Marine fighters and bombers .","Pilots/pilot/NNS ,/,/, aching/ache/VBG to/to/TO strike/strike/VB at/at/IN the/the/DT enemy/enemy/NN ,/,/, in/in/IN the/the/DT air/air/NN viewed/view/VBD the/the/DT wreckage/wreckage/NN which/which/WDT until/until/IN a/a/DT few/few/JJ minutes/minute/NNS before/before/IN had/have/VBD been/be/VBN a/a/DT strong/strong/JJ air/air/NN group/group/NN of/of/IN Marine/Marine/NNP fighters/fighter/NNS and/and/CC bombers/bomber/NNS ././. ","ROOT (ROOT-0, viewed-13) nsubj (viewed-13, Pilots-1) punct (Pilots-1, ,-2) acl (Pilots-1, aching-3) mark (strike-5, to-4) xcomp (aching-3, strike-5) case (enemy-8, at-6) det (enemy-8, the-7) nmod:at (strike-5, enemy-8) punct (Pilots-1, ,-9) case (air-12, in-10) det (air-12, the-11) nmod:in (viewed-13, air-12) det (wreckage-15, the-14) dobj (viewed-13, wreckage-15) nsubj (group-27, wreckage-15) ref (wreckage-15, which-16) case (minutes-20, until-17) det (minutes-20, a-18) amod (minutes-20, few-19) advcl:until (group-27, minutes-20) case (minutes-20, before-21) aux (group-27, had-22) cop (group-27, been-23) det (group-27, a-24) amod (group-27, strong-25) compound (group-27, air-26) acl:relcl (wreckage-15, group-27) case (fighters-30, of-28) compound (fighters-30, Marine-29) nmod:of (group-27, fighters-30) cc (fighters-30, and-31) nmod:of (group-27, bombers-32) conj:and (fighters-30, bombers-32) punct (viewed-13, .-33) ",wreckage,15,"det (wreckage-15, the-14) dobj (viewed-13, wreckage-15) nsubj (group-27, wreckage-15) ref (wreckage-15, which-16) acl:relcl (wreckage-15, group-27) ",in the air viewed the wreckage which until a few minutes,NN,[],viewed-13,view,VBD,object,[],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_1.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Africans reportedly burned ships that went aground along the coast in order to extract nails and bits of metal from the wreckage ( do Couto 1898:224 ) , and this practice was quickly adopted by shipwreck survivors prior to abandoning their vessels .","Africans/african/NNS reportedly/reportedly/RB burned/burn/VBD ships/ship/NNS that/that/WDT went/go/VBD aground/aground/RB along/along/IN the/the/DT coast/coast/NN in/in/IN order/order/NN to/to/TO extract/extract/VB nails/nail/NNS and/and/CC bits/bit/NNS of/of/IN metal/metal/NN from/from/IN the/the/DT wreckage/wreckage/NN -LRB-/-lrb-/-LRB- do/do/VB Couto/Couto/NNP 1898:224/1898:224/CD -RRB-/-rrb-/-RRB- ,/,/, and/and/CC this/this/DT practice/practice/NN was/be/VBD quickly/quickly/RB adopted/adopt/VBN by/by/IN shipwreck/shipwreck/NN survivors/survivor/NNS prior/prior/RB to/to/TO abandoning/abandon/VBG their/they/PRP$ vessels/vessel/NNS ././. ","ROOT (ROOT-0, burned-3) nsubj (burned-3, Africans-1) advmod (burned-3, reportedly-2) dobj (burned-3, ships-4) nsubj (went-6, ships-4) ref (ships-4, that-5) acl:relcl (ships-4, went-6) advmod (went-6, aground-7) case (coast-10, along-8) det (coast-10, the-9) nmod:along (went-6, coast-10) mark (extract-14, in-11) mwe (in-11, order-12) mark (extract-14, to-13) advcl:in_order (went-6, extract-14) dobj (extract-14, nails-15) cc (nails-15, and-16) dobj (extract-14, bits-17) conj:and (nails-15, bits-17) case (metal-19, of-18) nmod:of (nails-15, metal-19) case (wreckage-22, from-20) det (wreckage-22, the-21) nmod:from (extract-14, wreckage-22) punct (do-24, (-23) dep (wreckage-22, do-24) dobj (do-24, Couto-25) nummod (Couto-25, 1898:224-26) punct (do-24, )-27) punct (burned-3, ,-28) cc (burned-3, and-29) det (practice-31, this-30) nsubjpass (adopted-34, practice-31) auxpass (adopted-34, was-32) advmod (adopted-34, quickly-33) conj:and (burned-3, adopted-34) case (survivors-37, by-35) compound (survivors-37, shipwreck-36) nmod:agent (adopted-34, survivors-37) advmod (adopted-34, prior-38) mark (abandoning-40, to-39) advcl:to (prior-38, abandoning-40) nmod:poss (vessels-42, their-41) dobj (abandoning-40, vessels-42) punct (burned-3, .-43) ",wreckage,22,"case (wreckage-22, from-20) det (wreckage-22, the-21) nmod:from (extract-14, wreckage-22) dep (wreckage-22, do-24) ",bits of metal from the wreckage ( do Couto 1898:224 ),NN,[],,,,,[],[],[],,"[('from', 'extract', 14)]",['from'],[],['extract'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['from'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Wearing a victor 's wreath around his skull , he rides across the barricade scornfully surveying the wreckage .","Wearing/wear/VBG a/a/DT victor/victor/NN 's/'s/POS wreath/wreath/NN around/around/IN his/he/PRP$ skull/skull/NN ,/,/, he/he/PRP rides/ride/NNS across/across/IN the/the/DT barricade/barricade/NN scornfully/scornfully/RB surveying/survey/VBG the/the/DT wreckage/wreckage/NN ././. ","ROOT (ROOT-0, Wearing-1) det (victor-3, a-2) nmod:poss (wreath-5, victor-3) case (victor-3, 's-4) dobj (Wearing-1, wreath-5) case (skull-8, around-6) nmod:poss (skull-8, his-7) nmod:around (Wearing-1, skull-8) punct (Wearing-1, ,-9) dep (rides-11, he-10) nsubj (surveying-16, rides-11) case (barricade-14, across-12) det (barricade-14, the-13) nmod:across (rides-11, barricade-14) advmod (surveying-16, scornfully-15) parataxis (Wearing-1, surveying-16) det (wreckage-18, the-17) dobj (surveying-16, wreckage-18) punct (Wearing-1, .-19) ",wreckage,18,"det (wreckage-18, the-17) dobj (surveying-16, wreckage-18) ",the barricade scornfully surveying the wreckage .,NN,[],surveying-16,survey,VBG,object,['scornfully'],[],[],,[],[],[],[],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,the,non-Denumerator,the,
A child looking through the railing at knee height spies me and tries to convince his mother that a man 's head is sticking out of the tangle of wreckage in the water beneath them .,A/a/DT child/child/NN looking/look/VBG through/through/IN the/the/DT railing/railing/NN at/at/IN knee/knee/NN height/height/NN spies/spy/NNS me/I/PRP and/and/CC tries/try/VBZ to/to/TO convince/convince/VB his/he/PRP$ mother/mother/NN that/that/IN a/a/DT man/man/NN 's/'s/POS head/head/NN is/be/VBZ sticking/stick/VBG out/out/IN of/of/IN the/the/DT tangle/tangle/NN of/of/IN wreckage/wreckage/NN in/in/IN the/the/DT water/water/NN beneath/beneath/IN them/they/PRP ././. ,"ROOT (ROOT-0, looking-3) det (child-2, A-1) nsubj (looking-3, child-2) nsubj (tries-13, child-2) nsubj:xsubj (convince-15, child-2) case (railing-6, through-4) det (railing-6, the-5) nmod:through (looking-3, railing-6) case (spies-10, at-7) compound (spies-10, knee-8) compound (spies-10, height-9) nmod:at (railing-6, spies-10) dobj (looking-3, me-11) cc (looking-3, and-12) conj:and (looking-3, tries-13) mark (convince-15, to-14) xcomp (tries-13, convince-15) nmod:poss (mother-17, his-16) dobj (convince-15, mother-17) mark (sticking-24, that-18) det (man-20, a-19) nmod:poss (head-22, man-20) case (man-20, 's-21) nsubj (sticking-24, head-22) aux (sticking-24, is-23) ccomp (convince-15, sticking-24) case (tangle-28, out-25) mwe (out-25, of-26) det (tangle-28, the-27) nmod:out_of (sticking-24, tangle-28) case (wreckage-30, of-29) nmod:of (tangle-28, wreckage-30) case (water-33, in-31) det (water-33, the-32) nmod:in (sticking-24, water-33) case (them-35, beneath-34) nmod:beneath (water-33, them-35) punct (looking-3, .-36) ",wreckage,30,"case (wreckage-30, of-29) nmod:of (tangle-28, wreckage-30) ",out of the tangle of wreckage in the water beneath them,NN,[],,,,,[],[],[],,"[('of', 'tangle', 28)]",['of'],[],['tangle'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1991.txt_3.csv,0,0,0,0,unknown,,,,
"According to the authors , the government recovered saucer wreckage and four bodies from a crash site in Roswell , New Mexico ; this has been kept Super Tippy-Top Secret since 1947 .","According/accord/VBG to/to/TO the/the/DT authors/author/NNS ,/,/, the/the/DT government/government/NN recovered/recover/VBD saucer/saucer/NN wreckage/wreckage/NN and/and/CC four/four/CD bodies/body/NNS from/from/IN a/a/DT crash/crash/NN site/site/NN in/in/IN Roswell/Roswell/NNP ,/,/, New/New/NNP Mexico/Mexico/NNP ;/;/: this/this/DT has/have/VBZ been/be/VBN kept/keep/VBN Super/Super/NNP Tippy-Top/Tippy-Top/NNP Secret/Secret/NNP since/since/IN 1947/1947/CD ././. ","ROOT (ROOT-0, recovered-8) case (authors-4, According-1) mwe (According-1, to-2) det (authors-4, the-3) nmod:according_to (recovered-8, authors-4) punct (recovered-8, ,-5) det (government-7, the-6) nsubj (recovered-8, government-7) compound (wreckage-10, saucer-9) dobj (recovered-8, wreckage-10) cc (wreckage-10, and-11) nummod (bodies-13, four-12) dobj (recovered-8, bodies-13) conj:and (wreckage-10, bodies-13) case (site-17, from-14) det (site-17, a-15) compound (site-17, crash-16) nmod:from (recovered-8, site-17) case (Roswell-19, in-18) nmod:in (recovered-8, Roswell-19) punct (Roswell-19, ,-20) compound (Mexico-22, New-21) appos (Roswell-19, Mexico-22) punct (recovered-8, ;-23) nsubjpass (kept-27, this-24) aux (kept-27, has-25) auxpass (kept-27, been-26) parataxis (recovered-8, kept-27) compound (Secret-30, Super-28) compound (Secret-30, Tippy-Top-29) dobj (kept-27, Secret-30) case (1947-32, since-31) nmod:since (Secret-30, 1947-32) punct (recovered-8, .-33) ",wreckage,10,"compound (wreckage-10, saucer-9) dobj (recovered-8, wreckage-10) cc (wreckage-10, and-11) conj:and (wreckage-10, bodies-13) ",", the government recovered saucer wreckage and four bodies from a",NN,[],recovered-8,recover,VBD,object,[],[],[],,[],[],[],[],[],[],"[('and', 'bodies', 13)]",['and'],[bodies-13],[],['saucer'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_1.csv,0,0,0,0,unknown,,,,
"Given the above confusion , it 's not surprising that photos of the collected debris are described as the '' actual '' wreckage in the Moore Berlitz book and faked wreckage in the Randle-Schmitt book .","Given/give/VBN the/the/DT above/above/JJ confusion/confusion/NN ,/,/, it/it/PRP 's/be/VBZ not/not/RB surprising/surprising/JJ that/that/IN photos/photo/NNS of/of/IN the/the/DT collected/collect/VBN debris/debris/NN are/be/VBP described/describe/VBN as/as/IN the/the/DT ''/''/'' actual/actual/JJ ''/''/'' wreckage/wreckage/NN in/in/IN the/the/DT Moore/Moore/NNP Berlitz/Berlitz/NNP book/book/NN and/and/CC faked/fake/VBD wreckage/wreckage/NN in/in/IN the/the/DT Randle-Schmitt/Randle-Schmitt/NNP book/book/NN ././. ","ROOT (ROOT-0, surprising-9) case (confusion-4, Given-1) det (confusion-4, the-2) amod (confusion-4, above-3) nmod:given (surprising-9, confusion-4) punct (surprising-9, ,-5) nsubj (surprising-9, it-6) cop (surprising-9, 's-7) neg (surprising-9, not-8) mark (described-17, that-10) nsubjpass (described-17, photos-11) case (debris-15, of-12) det (debris-15, the-13) amod (debris-15, collected-14) nmod:of (photos-11, debris-15) auxpass (described-17, are-16) ccomp (surprising-9, described-17) case (the-19, as-18) advmod (described-17, the-19) punct (described-17, ''-20) ccomp (described-17, actual-21) punct (actual-21, ''-22) nmod:in (actual-21, wreckage-23) case (wreckage-23, in-24) det (book-28, the-25) compound (book-28, Moore-26) compound (book-28, Berlitz-27) dep (wreckage-23, book-28) cc (actual-21, and-29) ccomp (described-17, faked-30) conj:and (actual-21, faked-30) dobj (faked-30, wreckage-31) case (book-35, in-32) det (book-35, the-33) compound (book-35, Randle-Schmitt-34) nmod:in (faked-30, book-35) punct (surprising-9, .-36) ",wreckage,23,"nmod:in (actual-21, wreckage-23) case (wreckage-23, in-24) dep (wreckage-23, book-28) ",as the '' actual '' wreckage in the Moore Berlitz book,NN,[],,,,,[],[],[],,"[('in', 'actual', 21)]",['in'],[],['actual'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['in'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_1.csv,0,0,0,0,unknown,,,,
"Given the above confusion , it 's not surprising that photos of the collected debris are described as the '' actual '' wreckage in the Moore Berlitz book and faked wreckage in the Randle-Schmitt book .","Given/give/VBN the/the/DT above/above/JJ confusion/confusion/NN ,/,/, it/it/PRP 's/be/VBZ not/not/RB surprising/surprising/JJ that/that/IN photos/photo/NNS of/of/IN the/the/DT collected/collect/VBN debris/debris/NN are/be/VBP described/describe/VBN as/as/IN the/the/DT ''/''/'' actual/actual/JJ ''/''/'' wreckage/wreckage/NN in/in/IN the/the/DT Moore/Moore/NNP Berlitz/Berlitz/NNP book/book/NN and/and/CC faked/fake/VBD wreckage/wreckage/NN in/in/IN the/the/DT Randle-Schmitt/Randle-Schmitt/NNP book/book/NN ././. ","ROOT (ROOT-0, surprising-9) case (confusion-4, Given-1) det (confusion-4, the-2) amod (confusion-4, above-3) nmod:given (surprising-9, confusion-4) punct (surprising-9, ,-5) nsubj (surprising-9, it-6) cop (surprising-9, 's-7) neg (surprising-9, not-8) mark (described-17, that-10) nsubjpass (described-17, photos-11) case (debris-15, of-12) det (debris-15, the-13) amod (debris-15, collected-14) nmod:of (photos-11, debris-15) auxpass (described-17, are-16) ccomp (surprising-9, described-17) case (the-19, as-18) advmod (described-17, the-19) punct (described-17, ''-20) ccomp (described-17, actual-21) punct (actual-21, ''-22) nmod:in (actual-21, wreckage-23) case (wreckage-23, in-24) det (book-28, the-25) compound (book-28, Moore-26) compound (book-28, Berlitz-27) dep (wreckage-23, book-28) cc (actual-21, and-29) ccomp (described-17, faked-30) conj:and (actual-21, faked-30) dobj (faked-30, wreckage-31) case (book-35, in-32) det (book-35, the-33) compound (book-35, Randle-Schmitt-34) nmod:in (faked-30, book-35) punct (surprising-9, .-36) ",wreckage,31,"dobj (faked-30, wreckage-31) ",Moore Berlitz book and faked wreckage in the Randle-Schmitt book .,NN,[],faked-30,fake,VBD,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1992.txt_1.csv,0,0,0,0,unknown,,,,
