Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
a-bomb,0.322580645,0,0,0,0.051,0.128,0.677419355,0.258064516,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0.677419355,0,1,0,57,0.123
a-level,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1
aa,0.192982456,0,0.01754386,0.333333333,0.8,0.032,0.368421053,0.087719298,0.157894737,0.280701754,0,0,0,0,0,0,0,0,0.035087719,0,0.315789474,0.105263158,1,0,1021,0.032
abacus,0.542857143,0,0,0,0.164,0.06,0.457142857,0.542857143,0,0,0,0,0,0,0,0,0,0,0,0,0.457142857,0,1,0,95,0.053
abandon,1,0,1,0,0.727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
abandonment,0.212328767,0,0,0.01369863,0.394,0.004,0.767123288,0.212328767,0,0.006849315,0,0,0,0,0,0.006849315,0,0,0.054794521,0,0.712328767,0.006849315,0,1,848,0.009
abasement,0,0,0,0,0.533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0
abatement,0.189189189,0,0,0,0.636,0.074,0.621621622,0.189189189,0,0,0,0,0,0,0,0,0,0,0.162162162,0,0.459459459,0.189189189,0,1,415,0.07
abattoir,0.583333333,0,0,0.083333333,0,0.25,0.333333333,0.583333333,0.083333333,0,0,0,0,0,0,0,0,0,0.083333333,0,0.25,0,1,0,24,0.333
abbe,0,0,0,0,0.711,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,81,0
abbess,0.107526882,0.010752688,0,0,0.119,0.025,0.88172043,0.107526882,0,0,0,0,0,0,0.010752688,0,0,0,0.010752688,0,0.870967742,0,1,0,125,0.064
abbey,0.063926941,0.00456621,0,0.04109589,0.528,0.014,0.890410959,0.063926941,0.03652968,0,0,0,0,0,0.00456621,0.00456621,0,0,0.01826484,0,0.872146119,0,1,0,797,0.035
abbot,0.077777778,0.022222222,0,0.016666667,0.2,0.058,0.877777778,0.077777778,0,0,0,0,0,0,0.022222222,0.016666667,0,0,0,0,0.877777778,0.005555556,1,0,337,0.139
